Id,Faixa idade,Gênero,Cor/raça/etnia,PCD,vive_no_brasil,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação
001b2d1qtli8t9z7oqgdhj001b2d4i0g,30-34,Masculino,Branca,Não,1,MG,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
0026aa3fwd78u0026asg7456tfkjg2cs,30-34,Masculino,Branca,Não,1,ES,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
00r21rb9pusd1b0v7ew00r21rw3dy69w,35-39,Feminino,Amarela,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
00urm3jf2cek12w6ygue00urm3jzd17j,22-24,Masculino,Preta,Não,1,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
00v0az4g792svil00vn6y1kfm9hq8vy9,30-34,Masculino,Branca,Não,1,MG,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
015qqbrh4rr015qje9gvkbsb7ti1n5df,30-34,Masculino,Branca,Não,1,RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
01810y9hweneb018to8t1p8ubyn1o04m,22-24,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01k1i8w42ljmgee01k1eay1n1283ot23,35-39,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
01n9nd73iv68k81iefenxv01n9nd7wjt,25-29,Masculino,Parda,Não,1,RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01v9nqn7mz93ace01v9ig2aswc6oy2zq,25-29,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01zusm1faol2k2601zlthh05cj7iqyit,25-29,Masculino,Preta,Sim,1,SE,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02cv39tv75nm2z9zhcv02cv379703hvs,45-49,Feminino,Parda,Não,1,PE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02yuxvtb6698rqwq8w02yuza594l7cut,30-34,Feminino,Preta,Não,1,RS,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
03hoy11ga4jko92xixsfb03hogk1wpa8,35-39,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,35-39,Masculino,Branca,Não,1,DF,Centro-oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
03zphd4wn92u78t7c03zph7kmu1pu8nw,35-39,Feminino,Branca,Não,1,MG,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04b8mbh28y4r0z04b8f42bs4j4ma44pl,25-29,Feminino,Branca,Não,1,RJ,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
04ellbzcl7lj3va9n1yx04eleu3mlvml,25-29,Feminino,Prefiro não informar,Não,1,MG,Sudeste,Mestrado,Outra opção
04mb6m64f1b9566fnjwz04mb6m6bmelv,25-29,Masculino,Parda,Não,1,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04oft971jvyonsl456b704oft97ssj7l,30-34,Masculino,Branca,Não,1,RJ,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
04qj1aoh18cgbwi04qj1aohkr325qe6z,35-39,Masculino,Parda,Não,1,PB,Nordeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
04qmbrvl35x33l4prch04qmbr7a5ee5j,35-39,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,25-29,Masculino,Branca,Não,1,PR,Sul,Graduação/Bacharelado,Outras Engenharias
05csrlllrg5xhyryv7i305csrl8hfybu,40-44,Feminino,Branca,Não,1,MG,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
05edmndszxd75nu8o05edmnbiuloulj9,25-29,Feminino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
06bekvb2fzxi6n0czi06bekvydrj06mi,35-39,Feminino,Parda,Não,1,MG,Sudeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
06ytc58mw53h90izzo306ytcpdc16w70,45-49,Masculino,Branca,Não,1,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
06zhqgd6dr4xjy06zhqg21con02zwy42,30-34,Feminino,Parda,Não,1,SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
076sddptnza0htgkwxmr1jr076sddptb,30-34,Masculino,Branca,Não,1,SP,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
07vxvpqgtstbdqapyq07vo5p9yky8rqh,35-39,Masculino,Parda,Não,1,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
083f331tparwm4083fxbusb0cps0rmwa,50-54,Masculino,Branca,Não,1,RS,Sul,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
08f7gp5stfs0txz08fn357e56e1co6sj,22-24,Masculino,Amarela,Prefiro não informar,1,SP,Sudeste,Estudante de Graduação,Outras Engenharias
091jp2ibksf49d1cgtz0091jp2bpsxzx,30-34,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
09esdc97ebk0609es03a7nf83pw1owqg,30-34,Feminino,Branca,Não,1,BA,Nordeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,35-39,Masculino,Branca,Não,1,SC,Sul,Mestrado,Outras Engenharias
0an4fvp64oeblyt70k00an4fvtn9vcle,25-29,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Outras Engenharias
