Nome,Estacao,Sigla
ARAPIRACA,A353,AL
CORURIPE,A355,AL
MACEIO,A303,AL
PALMEIRA DOS INDIOS,A327,AL
PAO DE ACUCAR,A323,AL
PIRANHAS,A371,AL
SAO LUIS DO QUITUNDE,A356,AL
ABROLHOS,A422,BA
AMARGOSA,A434,BA
AREMBEPE,A403,BA
BARRA,A429,BA
BARREIRAS,A402,BA
BELMONTE,A447,BA
BOM JESUS DA LAPA,A418,BA
BRUMADO,A433,BA
BURITIRAMA,A432,BA
CARAVELAS,A405,BA
CONDE,A431,BA
CORRENTINA,A416,BA
CRUZ DAS ALMAS,A406,BA
CURACA,A448,BA
DELFINO,A443,BA
EUCLIDES DA CUNHA,A442,BA
FEIRA DE SANTANA,A413,BA
FORMOSA DO RIO PRETO,A452,BA
GUANAMBI,A426,BA
IBOTIRAMA,A439,BA
ILHEUS,A410,BA
IPIAU,A445,BA
IRECE,A424,BA
ITABERABA,A408,BA
ITAMARAJU,A455,BA
ITAPETINGA,A446,BA
ITIRUCU,A407,BA
JACOBINA,A440,BA
JEREMOABO,A450,BA
LENCOIS,A425,BA
LUIZ EDUARDO MAGALHAES,A404,BA
MACAJUBA,A412,BA
MACAUBAS,A454,BA
MARAU,A438,BA
PAULO AFONSO,A411,BA
PIATA,A430,BA
PILAO ARCADO,A449,BA
PORTO SEGURO,A427,BA
QUEIMADAS,A436,BA
REMANSO,A423,BA
RIBEIRA DO AMPARO,A458,BA
SALVADOR,A401,BA
SALVADOR (RADIO FAROL),A456,BA
SANTA RITA DE CASSIA,A415,BA
SENHOR DO BONFIM,A428,BA
SERRINHA,A441,BA
UAUA,A435,BA
UNA,A437,BA
VALENCA,A444,BA
VITORIA DA CONQUISTA,A414,BA
ACARAU,A360,CE
BARBALHA,A315,CE
CAMPOS SALES,A347,CE
CRATEUS,A342,CE
FORTALEZA,A305,CE
GUARAMIRANGA,A314,CE
IGUATU,A319,CE
ITAPIPOCA,A359,CE
JAGUARIBE,A358,CE
JAGUARUANA,A339,CE
MORADA NOVA,A332,CE
QUIXADA,A369,CE
QUIXERAMOBIM,A325,CE
SOBRAL,A306,CE
TAUA,A324,CE
TIANGUA,A368,CE
ALTO PARNAIBA,A223,MA
BACABAL,A220,MA
BALSAS,A204,MA
BARRA DO CORDA,A221,MA
BURITICUPU,A238,MA
CAROLINA,A205,MA
CAXIAS,A237,MA
CHAPADINHA,A206,MA
COLINAS,A222,MA
ESTREITO,A224,MA
FAROL de SANTANA,A217,MA
GRAJAU,A207,MA
IMPERATRIZ,A225,MA
PREGUICAS,A218,MA
SAO LUIS,A203,MA
TURIACU,A219,MA
ZE DOCA,A255,MA
AREIA,A310,PB
CABACEIRAS,A348,PB
CAMARATUBA,A352,PB
CAMPINA GRANDE,A313,PB
ITAPORANGA,A373,PB
JOAO PESSOA,A320,PB
MONTEIRO,A334,PB
PATOS,A321,PB
SAO GONCALO,A333,PB
ARCO VERDE,A309,PE
CABROBO,A329,PE
CARUARU,A341,PE
FLORESTA,A351,PE
GARANHUNS,A322,PE
IBIMIRIM,A349,PE
OURICURI,A366,PE
PALMARES,A357,PE
PETROLINA,A307,PE
RECIFE,A301,PE
SALGUEIRO,A370,PE
SERRA TALHADA,A350,PE
SURUBIM,A328,PE
ALVORADA DO GURGUEIA,A336,PI
ANGICAL DO PIAUI,A377,PI
BAIXA GRANDE DO RIBEIRO,A375,PI
BOM JESUS DO PIAUI,A326,PI
CAMPO MAIOR,A376,PI
CANTO DO BURITI,A365,PI
CARACOL,A337,PI
CASTELO DO PIAUI,A361,PI
CORRENTE,A374,PI
ESPERANTINA,A338,PI
FLORIANO,A311,PI
GILBUES,A364,PI
OEIRAS,A354,PI
PARNAIBA,A308,PI
PAULISTANA,A330,PI
PICOS,A343,PI
PIRIPIRI,A335,PI
SAO JOAO DO PIAUI,A331,PI
SAO PEDRO DO PIAUI,A362,PI
SAO RAIMUNDO NONATO,A345,PI
TERESINA,A312,PI
URUCUI,A346,PI
VALENCA DO PIAUI,A363,PI
APODI,A340,RN
ARQ.SAO PEDRO E SAO PAULO,A302,RN
CAICO,A316,RN
CALCANHAR,A344,RN
IPANGUACU,A372,RN
MACAU,A317,RN
MOSSORO,A318,RN
NATAL,A304,RN
SANTA CRUZ,A367,RN
ARACAJU,A409,SE
BREJO GRANDE,A421,SE
CARIRA,A420,SE
ITABAIANA,A451,SE
ITABAIANINHA,A417,SE
NOSSA SENHORA DA GLORIA,A453,SE
POCO VERDE,A419,SE
