Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;30;60;997,6;26,2;7,2;1,7;
2010-02-28;28;18,2;996,8;26,6;8,5;1,7;
2010-03-31;30;9,8;997,4;27,1;6,3;1,7;
2010-04-30;24;218,4;997,6;26,7;6,4;1,5;
2010-05-31;4;13,4;997,8;27,3;6,6;1,3;
2010-06-30;0;0;999,6;27;6,6;1,4;
2010-07-31;0;0;999,2;27,1;5,5;1,4;
2010-08-31;0;0;999;27,4;5,5;1,6;
2010-09-30;0;0;997,6;27,8;6,1;1,9;
2010-10-31;0;0;997,2;27,8;6,3;1,9;
2010-11-30;0;0;995,9;27,1;6,5;1,7;
2010-12-31;0;0;995,6;26,3;6,4;1,6;
2011-01-31;null;null;996,6;25,4;8,1;1,7;
2011-02-28;null;null;997,5;25,5;8;1,6;
2011-03-31;8;145,8;997,3;25,7;8,2;1,7;
2011-04-30;28;582,2;997,8;25,8;8,4;1,5;
2011-05-31;20;346,2;997,8;26,4;4,8;1,4;
2011-06-30;6;40,2;998,9;26,9;6,3;1,5;
2011-07-31;6;79;999;26,6;5,3;1,4;
2011-08-31;5;68;999,1;26,9;5,9;1,6;
2011-09-30;4;18,6;998,8;27,6;5,9;1,9;
2011-10-31;9;102,2;996,4;27,2;6,4;1,8;
2011-11-30;1;null;null;null;5,7;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;17;null;null;24,9;7,6;null;
2012-03-31;28;676,8;998;25,8;null;null;
2012-04-30;11;null;null;26,6;null;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;12;44,2;999,8;25,7;4,6;1,2;
2012-07-31;9;53,8;999,4;25,6;5,3;1,2;
2012-08-31;null;0;999,9;25,7;5,2;1,4;
2012-09-30;null;null;999,6;26,7;9,1;1,6;
2012-10-31;4;49,6;997,3;26,7;5,1;1,5;
2012-11-30;8;121,2;996,6;26,9;5,2;1,4;
2012-12-31;23;275,6;996,7;26;4,9;1,4;
2013-01-31;26;560,4;998,1;25,6;7,5;1,3;
2013-02-28;26;315,8;997,2;25,9;5,9;1,4;
2013-03-31;20;452,2;998;26,3;8,7;1,4;
2013-04-30;25;399,4;998,5;26,2;4,6;1,3;
2013-05-31;22;229,8;998,8;26,4;6;1,2;
2013-06-30;14;131;999,3;26,1;5,9;1,2;
2013-07-31;18;109;1000,2;25,7;4,8;1,2;
2013-08-31;5;8,2;998,8;26;4,7;1,3;
2013-09-30;7;3,8;998,6;26,5;5,6;1,5;
2013-10-31;8;3,4;997,9;26,8;5,4;1,5;
2013-11-30;7;101,2;996,5;26;7,1;1,4;
2013-12-31;14;137,8;997,1;26,5;6,4;1,4;
2014-01-31;26;244,6;998,3;25,4;5,5;1,4;
2014-02-28;26;117,8;997,5;25,6;6,6;1,5;
2014-03-31;26;129,8;998,2;25,9;6,5;1,5;
2014-04-30;29;57,2;998,6;26;5,6;1,4;
2014-05-31;22;60,6;998,7;26,4;4,3;1,2;
2014-06-30;8;43,4;999,2;26,2;5,4;1,2;
2014-07-31;5;5,6;1001;25,6;4,6;1,2;
2014-08-31;3;3,6;999,9;26;4,9;1,4;
2014-09-30;3;,6;999,1;26,5;5,2;1,6;
2014-10-31;null;null;998,1;26,7;5,5;1,5;
2014-11-30;null;null;997,2;26,5;5,1;1,4;
2014-12-31;null;null;997,7;26,3;4,7;1,4;
2015-01-31;6;182;998,9;25,6;5,7;1,4;
2015-02-28;25;435;998,7;25,5;5,7;1,4;
2015-03-31;28;6,4;998,5;25,8;6,6;1,4;
2015-04-30;9;1,8;998,8;26,1;4,8;1,4;
2015-05-31;26;77,2;999;26,4;5,9;1,2;
2015-06-30;null;null;1000,3;26,1;4,8;1,2;
2015-07-31;16;52;1000;25,8;5,3;1,3;
2015-08-31;2;3,6;999,3;26;7;1,4;
2015-09-30;0;0;998,8;26,8;5,2;1,6;
2015-10-31;3;59,6;998,2;27,6;6,5;1,7;
2015-11-30;5;28,4;997;27,3;5,1;1,4;
2015-12-31;10;80;998,2;27,2;6;1,5;
2016-01-31;28;96;998,5;26,5;5,3;1,6;
2016-02-29;28;36,4;998,4;26,8;6;1,5;
2016-03-31;null;null;1000,2;26,5;6,2;1,3;
2016-04-30;null;null;999,8;27;9,8;1,2;
2016-05-31;null;null;1004,1;27;4,4;1,2;
2016-06-30;null;null;1006,4;26,4;4,9;1,2;
2016-07-31;3;6,8;1002,5;26,3;5,2;1,2;
2016-08-31;0;0;1001,1;26,8;5,5;1,5;
2016-09-30;10;51,4;1000,9;26,9;6,8;1,5;
2016-10-31;8;27,8;999;27,1;5,9;1,6;
2016-11-30;7;45,2;998,1;27,6;5,6;1,6;
2016-12-31;19;211,4;999,2;26,2;7,1;1,4;
2017-01-31;24;381,2;1000,6;25,6;6,9;1,4;
2017-02-28;28;458,2;1000,5;25,3;4,7;1,3;
2017-03-31;29;474,6;1000,8;25,9;6,5;1,3;
2017-04-30;26;440;1000,8;26,2;5,9;1,2;
2017-05-31;23;140,6;1001;26,7;4,2;1,2;
2017-06-30;12;67,2;1001,3;26,3;5,9;1,2;
2017-07-31;6;9,6;1002,5;26,2;5,6;1,3;
2017-08-31;2;null;1000,6;26,9;5,3;1,5;
2017-09-30;null;null;null;null;5,2;null;
2017-10-31;null;null;null;null;5;null;
2017-11-30;null;null;null;null;6,5;null;
2017-12-31;16;null;999,1;26,1;5,2;1,4;
2018-01-31;25;385;999,7;25,9;9,1;1,4;
2018-02-28;28;587,6;1000,2;25,3;4,2;1,3;
2018-03-31;28;408,6;1000,1;26,1;6,2;1,3;
2018-04-30;23;307,2;1001,1;25,7;5,9;1,2;
2018-05-31;19;114,4;1001,4;26,2;6,2;null;
2018-06-30;7;67,6;1001,8;26,2;6,4;null;
2018-07-31;5;2,4;1001,4;26,3;6,3;null;
2018-08-31;4;3,8;1001,8;26,3;null;null;
