Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-09-30;null;null;null;null;null;null;
2018-10-31;20;56,8;992,2;26,5;8,8;3,2;
2018-11-30;20;142;991,6;26,9;8,6;3,3;
2018-12-31;11;20,6;992,1;26,8;7,7;2,5;
2019-01-31;5;8,2;993;27,1;7,9;2,9;
2019-02-28;5;38,8;990,9;28,4;7,6;2,5;
2019-03-31;14;113;991,5;27,4;7,9;2,2;
2019-04-30;5;5,6;991,7;26,9;6,6;1,8;
2019-05-31;9;19,8;992,5;25,9;6,5;2;
2019-06-30;25;120,8;996,1;23,1;7,7;1,9;
2019-07-31;23;88,2;996,2;22,3;6,7;1,9;
2019-08-31;17;29;997,9;22,5;7,5;2,2;
2019-09-30;7;23,6;995,4;24,1;8,2;2,5;
2019-10-31;7;13,4;993;25,8;7,4;2,9;
2019-11-30;4;6,2;990,8;27,3;7,4;3,1;
2019-12-31;3;9,6;991;27,7;8,5;3,2;
2020-01-31;6;60,4;991,1;27,8;8;2,5;
2020-02-29;9;53,8;991,4;27,9;7,8;2,3;
2020-03-31;15;233,6;991,1;27;7,3;1,8;
2020-04-30;15;111,6;992,4;26,2;6,8;1,7;
2020-05-31;16;100;994,2;24,5;6,5;1,7;
2020-06-30;26;107,8;995,3;23,2;6,6;1,7;
2020-07-31;5;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;3;null;null;null;null;null;
2020-12-31;1;1,2;991,6;26,8;7,8;2,8;
2021-01-31;7;null;991,3;26,5;7,4;2,6;
2021-02-28;5;32,2;990,5;27,4;7,8;2,4;
2021-03-31;5;16,6;991,1;26,9;8,1;2,5;
2021-04-30;13;78,6;991,8;26,1;7,8;2,1;
2021-05-31;14;62;994,2;23,7;7,3;1,8;
2021-06-30;17;48;995,2;22,9;5,9;1,7;
2021-07-31;26;110,4;996,9;22,3;7,1;1,8;
2021-08-31;16;23,6;996,8;21,9;7,2;2;
2021-09-30;12;10;994,8;24,5;7;2,5;
2021-10-31;6;16;992,4;26,6;6,6;2,8;
2021-11-30;11;158,2;990,6;26,4;8,6;2,2;
2021-12-31;13;95;990,1;26,2;7,7;1,9;
2022-01-31;10;52,2;991,5;26,1;7,4;1,9;
2022-02-28;null;null;990,5;27,6;7,1;2,1;
2022-03-31;8;null;990,8;26,4;7;2;
2022-04-30;16;83,6;991,3;26,1;7,3;1,9;
2022-05-31;15;116,6;993,8;24,5;6,9;1,8;
2022-06-30;11;26;994,4;23,1;6,1;1,8;
2022-07-31;23;50,6;996,1;22,2;7;2;
2022-08-31;15;31,2;996,3;22,4;8,1;2,2;
2022-09-30;11;32,4;994,9;23,7;6,5;2,2;
2022-10-31;3;null;993,1;25,8;7,3;2,8;
2022-11-30;9;null;990,9;26,4;8;2,5;
2022-12-31;8;null;990,6;26,4;6,9;2,2;
2023-01-31;7;null;991,6;26,4;7,8;2,2;
2023-02-28;10;43,2;991,7;26,7;7,2;2,4;
2023-03-31;14;156,2;991,9;26;6,8;2;
2023-04-30;12;10,8;991,2;26,1;7,1;1,6;
2023-05-31;19;77;993,7;25,1;6,3;1,7;
2023-06-30;24;85,4;996,1;23,2;6,8;1,8;
2023-07-31;12;35,4;996,9;22,8;6,9;1,8;
2023-08-31;15;35,6;995,4;23,7;7,4;1,8;
2023-09-30;8;13,6;994,8;24,8;6,7;2,4;
2023-10-31;5;null;992,6;26,6;7,4;2,7;
2023-11-30;4;null;991,3;27,8;7,9;2,8;
2023-12-31;5;null;991,2;27,3;7,3;2,6;
2024-01-31;6;null;991,2;28,2;6,8;2,3;
2024-02-29;12;null;992,3;27,5;8,7;2,1;
2024-03-31;5;61,2;991,1;28,6;7,1;2,1;
2024-04-30;19;57,2;991,2;26,9;6,6;1,7;
2024-05-31;20;69,8;993,4;25,1;5,8;1,7;
2024-06-30;21;83,4;995,5;23,7;6,3;1,8;
2024-07-31;14;null;null;null;6,7;null;

