Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;252,4;888,1;21,6;6,4;2;
2010-02-28;11;58,6;888,4;21,9;6,9;2,3;
2010-03-31;24;254,6;887,3;20,8;6,9;2,3;
2010-04-30;14;64,4;889,3;18,6;6,7;2,5;
2010-05-31;15;31;888,9;17;7,8;2,2;
2010-06-30;10;5,8;892,2;14,7;5,8;2,3;
2010-07-31;13;39,4;893;16;6,2;2,3;
2010-08-31;3;,8;892;16,2;7;2,6;
2010-09-30;7;44,8;890,1;17,9;6,9;2,7;
2010-10-31;13;195;887,3;18,3;8,5;2,9;
2010-11-30;22;407,2;885,6;19;7,3;2,5;
2010-12-31;21;442,6;884,1;21,1;7,3;2,2;
2011-01-31;15;209,8;885,9;21,2;5,9;2;
2011-02-28;8;58,2;887,2;22;6,5;2,2;
2011-03-31;22;301,6;886,7;19,5;5,8;2,2;
2011-04-30;12;40,4;889,1;19,1;null;null;
2011-05-31;5;8,2;889,9;16,1;null;null;
2011-06-30;13;28,2;890,3;15;null;null;
2011-07-31;7;5,2;891;15,8;null;null;
2011-08-31;3;6,2;890,8;17,9;7,7;2,4;
2011-09-30;6;10,4;891,7;17,2;6,7;2,8;
2011-10-31;19;158,6;887,7;18,1;7,4;2,6;
2011-11-30;20;223,4;887,4;17,5;6,9;2,7;
2011-12-31;28;408,2;886,3;19,4;7,1;2,2;
2012-01-31;20;723,6;887,5;19,5;7,5;2,1;
2012-02-29;14;97,6;888,4;20,7;6,2;2,2;
2012-03-31;17;217,2;888,7;19,9;6;2,2;
2012-04-30;17;44,8;888,6;19,3;6,8;2,1;
2012-05-31;18;100,4;891,1;15,8;5,7;2,4;
2012-06-30;20;55,4;891,4;16,8;7;2;
2012-07-31;11;5;891,7;16,1;7,6;2,3;
2012-08-31;2;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;5;null;null;null;null;null;
2012-11-30;20;208,8;886,2;19;6,5;2,8;
2012-12-31;17;176,8;886,7;22,1;8,2;2,2;
2013-01-31;22;439,8;887,4;20;11,3;2,3;
2013-02-28;9;87,2;887,9;21,4;5,6;2;
2013-03-31;22;174,6;888,4;20;6,6;2,5;
2013-04-30;21;57,6;889,4;17,6;6,1;2,4;
2013-05-31;17;64,2;889,9;16,5;7,1;2,2;
2013-06-30;24;26,2;890,9;16,8;8,3;1,9;
2013-07-31;17;16;892;15,6;6,3;2,1;
2013-08-31;6;9,8;891,3;16,7;6,2;2,4;
2013-09-30;12;73;890,5;17,6;6,3;2,6;
2013-10-31;15;130,8;888,6;17,5;9;2,5;
2013-11-30;15;188,8;886,8;18,7;6,7;2,3;
