Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;195,2;901,1;23;6,1;2,3;
2010-02-28;14;166,8;901,2;23,5;7,3;2,7;
2010-03-31;23;203;900,4;22,5;6,5;2;
2010-04-30;6;82,8;902,5;21,5;6,5;2,6;
2010-05-31;8;45;902,4;19,8;5,9;2,2;
2010-06-30;5;13,2;905,5;18,2;6,7;2,5;
2010-07-31;2;1;905,8;19,4;7,6;3,2;
2010-08-31;2;,4;905;20,4;7,2;2,9;
2010-09-30;6;114,2;902,7;22,4;6,9;3,1;
2010-10-31;14;178,8;900,3;22,4;7,5;2,3;
2010-11-30;22;330,4;898,9;21,4;6,6;2,2;
2010-12-31;20;212,6;897,5;22,9;8,9;2,1;
2011-01-31;19;285,8;899;22,5;9,3;2,4;
2011-02-28;13;175,4;900,3;23,3;8,2;2,3;
2011-03-31;22;373,6;899,7;21,2;6,4;2,1;
2011-04-30;11;108,2;902,1;21,4;6,6;2,5;
2011-05-31;null;0;903,1;19,9;6,2;2,2;
2011-06-30;2;null;903,9;18,6;10,1;2,5;
2011-07-31;null;null;904,4;19,8;7,5;2,7;
2011-08-31;null;0;903,6;22,2;10,4;2,7;
2011-09-30;3;14,4;903,9;22,8;7,8;3,2;
2011-10-31;17;195,4;900,5;21,2;8,2;2,8;
2011-11-30;11;133,6;899,9;21,1;7,2;2,8;
2011-12-31;21;359,6;899,2;21,4;6,7;2,1;
2012-01-31;25;532,2;900,3;20,7;7,7;2,4;
2012-02-29;8;110,8;901;23;7,5;2,5;
2012-03-31;16;142;901,5;22,2;7,6;2,3;
2012-04-30;13;null;901,5;21,6;5,9;2,3;
2012-05-31;7;54,6;903,8;18,5;6,6;2,6;
2012-06-30;7;73,6;904,4;19,5;6,3;2,3;
2012-07-31;3;4,2;904,7;19,2;7,2;2,7;
2012-08-31;null;0;906,7;19,2;8,5;3,7;
2012-09-30;5;40,4;903,9;22,6;8,4;3;
2012-10-31;8;77,2;901;24,1;6,4;2,9;
2012-11-30;20;125,2;898,8;22,5;7,8;2,7;
2012-12-31;16;128;899,9;23,6;6,8;2,2;
2013-01-31;21;305,2;900,3;22,2;6,1;2,5;
2013-02-28;19;109,2;900,9;null;6,1;2,1;
2013-03-31;24;276;901,4;null;6,9;2,5;
2013-04-30;12;78,2;902,5;20,4;7,4;2,3;
2013-05-31;6;85,4;903,2;20;6,3;2,3;
2013-06-30;3;12,6;904,2;19,7;6,4;2,3;
2013-07-31;null;0;905,3;19;6,6;2,7;
2013-08-31;2;15;904,3;20,3;7,1;3;
2013-09-30;5;32,8;903,2;21,6;10;3,2;
2013-10-31;15;188,6;901,8;21,4;7,5;2,9;
2013-11-30;14;145;899,9;22;6,7;2,7;
2013-12-31;3;null;898,5;22,4;6,6;2,2;
2014-01-31;10;null;902;23,6;7,8;2,5;
2014-02-28;7;56,6;901,2;23,9;5,8;2,8;
2014-03-31;17;239,8;901,7;22,3;7,6;2,4;
2014-04-30;13;208,6;902,3;21,4;7,7;2,2;
2014-05-31;4;18,2;903,2;19,7;7;2,4;
2014-06-30;2;4;904,7;19,5;7,4;2,6;
2014-07-31;6;85,8;906,6;18,4;6,6;2,7;
2014-08-31;null;0;905;21,1;7;2,7;
2014-09-30;4;9,2;902,9;23,1;7,7;3,1;
2014-10-31;9;102,4;902,3;23,5;8,6;3;
2014-11-30;21;354;900,2;22,3;6,1;2,2;
2014-12-31;19;221;901;22,1;7;2,3;
2015-01-31;11;54,2;902,1;24,7;8,2;2,4;
2015-02-28;20;370,2;901,5;22,1;8,8;2,3;
2015-03-31;25;333,4;901,6;21,3;6,6;2;
2015-04-30;14;115,8;902,1;21,5;7,2;2,2;
2015-05-31;8;101,2;904;19,3;6,7;2,5;
2015-06-30;4;67,4;906,2;18,9;7,9;2,8;
2015-07-31;2;8,4;905,4;19,8;5,7;2,6;
2015-08-31;0;0;904,8;21;6,3;2,9;
2015-09-30;6;89;902;23,8;8,2;2,5;
2015-10-31;5;26,6;901,7;25,9;8;2,9;
2015-11-30;18;178,4;900;23,6;7,1;2,2;
2015-12-31;20;null;901,9;22,7;5,6;2,1;
2016-01-31;23;415,8;899,7;22,4;6,6;2,7;
2016-02-29;18;127,2;902,1;23,6;5,6;2,1;
2016-03-31;21;258,8;902,8;23;7;2,4;
2016-04-30;3;4,6;902,8;23,3;5,9;2,6;
2016-05-31;3;2,4;904,4;20,9;6,4;2,4;
2016-06-30;7;46,6;905,8;18,8;6,8;2,6;
2016-07-31;null;0;905,3;20,3;6,4;2,6;
2016-08-31;3;19,4;904,1;21,2;7;2,8;
2016-09-30;4;14;903;23,6;7,8;2,8;
2016-10-31;16;141,6;901;23,1;8;3;
2016-11-30;25;156,4;900,3;21,6;7,1;2,4;
2016-12-31;25;234,2;900,8;22,4;7,8;2,7;
2017-01-31;19;245,2;901,2;22,8;6,8;2,2;
2017-02-28;14;185;901,3;22,7;6,8;2,7;
2017-03-31;12;122,2;901,4;23,1;6,5;2,4;
2017-04-30;10;53,8;902,5;22,3;6,2;2,7;
2017-05-31;7;90,8;903,4;20,4;5,8;2,5;
2017-06-30;2;13,4;905,4;19,2;8,2;2,8;
2017-07-31;0;0;908,5;17,2;9;3,6;
2017-08-31;0;0;904,1;21,3;9,9;3;
2017-09-30;1;28,6;905;22,1;6,8;3,5;
2017-10-31;null;null;901,3;24,1;7,6;3;
2017-11-30;14;300;899,8;21,9;6,7;2,6;
2017-12-31;18;212,2;899,6;22,6;8;2,4;
2018-01-31;18;181,4;900,7;23,1;7,2;2,3;
2018-02-28;18;261,2;900,1;22,5;6,8;2,2;
2018-03-31;13;76;900,6;23,7;6,2;2,1;
2018-04-30;10;154;903,4;21,3;6;2,6;
2018-05-31;3;20,6;904,7;19,9;5,6;2,5;
2018-06-30;0;0;905,5;20,4;6,7;2,3;
2018-07-31;0;0;905,4;20;5,4;2,4;
2018-08-31;5;20,4;904,8;20,6;7,1;2,7;
2018-09-30;8;85,8;901,7;22,6;7,3;2,7;
2018-10-31;20;203,6;900,9;22,9;8,3;2,5;
2018-11-30;21;448,6;900,7;21,4;8,2;3;
2018-12-31;17;215,2;901,1;22,9;7,5;2;
2019-01-31;13;160,8;902,9;24,2;9,7;2,2;
2019-02-28;16;363,2;901;23,1;9,6;2,1;
2019-03-31;13;137,4;902,2;22,5;6,4;2,2;
2019-04-30;17;98;902;22,5;6;1,9;
2019-05-31;6;35,4;903;21,2;5,2;1,9;
2019-06-30;0;0;906,2;19,5;7;2,7;
2019-07-31;1;1,6;905,5;19;7,4;2,8;
2019-08-31;3;11,8;906,2;20,8;8,1;3;
2019-09-30;1;2;903,1;25,2;6,9;2,9;
2019-10-31;11;89,8;901,2;24;9,5;2,6;
2019-11-30;20;165,6;899,9;23,1;6,8;2,6;
2019-12-31;23;218,8;900,6;22,6;7,5;2,2;
2020-01-31;20;308,6;899,8;23,1;6,5;1,8;
2020-02-29;26;479,8;901,4;21,8;7,3;2,1;
2020-03-31;18;209,8;901,6;22,2;8,5;2,3;
2020-04-30;8;30,4;903;21,8;6,3;2,1;
2020-05-31;6;59,4;904,4;18,9;5,7;2,1;
2020-06-30;1;3;905,3;19,7;7,5;2,4;
2020-07-31;0;0;905;20;8,1;2,5;
2020-08-31;1;2,6;904,9;20;6,9;3;
2020-09-30;2;12,8;903,5;24,3;6,7;2,7;
2020-10-31;13;93,4;900,6;24,4;6,7;2,7;
2020-11-30;14;134,8;900,7;22,7;7,2;2,5;
2020-12-31;22;263,2;900,5;22,3;6,6;2;
2021-01-31;13;125,4;900,8;23,3;8,5;2,3;
2021-02-28;21;235,2;899,7;22,1;6,5;2;
2021-03-31;12;120,2;901,3;22,8;5,8;2;
2021-04-30;2;12,4;902,1;21,6;7,2;2,2;
2021-05-31;5;21,8;903,8;20,7;5,5;1,8;
2021-06-30;3;19,4;904,5;19,8;5,9;2,1;
2021-07-31;null;0;906;18,7;7,7;2,8;
2021-08-31;3;1;905,1;21,2;7,1;2,9;
2021-09-30;5;19,2;902,4;25,4;7,8;2,7;
2021-10-31;16;237,4;901;22,5;9,4;2,8;
2021-11-30;9;71,4;899,4;22,7;5,9;2,2;
2021-12-31;null;null;898,7;22;6,2;2,3;
2022-01-31;null;null;900,2;22,1;7,7;2;
2022-02-28;null;null;900,6;21,8;8,6;1,7;
2022-03-31;null;null;901,4;23,6;7,3;2,2;
2022-04-30;null;null;902;22,7;6,2;2;
2022-05-31;null;null;903,9;19,8;6,5;2,3;
2022-06-30;null;null;904;19,4;6,2;1,9;
2022-07-31;null;null;905,3;19,9;6,6;2,6;
2022-08-31;1;10,4;904,4;20,9;7,2;2,8;
2022-09-30;8;65,6;902,5;22,5;7,2;2,6;
2022-10-31;16;null;901,9;23,1;6,3;2,6;
2022-11-30;11;null;null;22;5,9;null;
2022-12-31;25;359,2;899,3;21,6;6,1;2,4;
2023-01-31;30;554,8;900,8;21,4;7,4;1,9;
2023-02-28;15;246,4;901,7;22,9;7,2;2;
2023-03-31;16;154;902,2;23;9;2,2;
2023-04-30;16;154,4;901,7;21,2;6,4;2,1;
2023-05-31;4;7,8;904;19,9;6,2;2,1;
2023-06-30;1;7,4;905,8;19,1;6,1;2,3;
2023-07-31;2;6;905,8;20,1;7,2;2,3;
2023-08-31;7;49,2;903,7;22;7,2;2,2;
2023-09-30;6;50;902,7;24,9;8,5;2,6;
2023-10-31;13;237;900,9;24,4;9,1;2,4;
2023-11-30;11;122;900,5;25,2;6,9;2,2;
2023-12-31;12;180;900,5;24,5;8,7;2,1;
2024-01-31;19;177,6;900,5;23,4;7;1,8;
2024-02-29;17;132,2;902,2;23,2;7;2,1;
2024-03-31;16;322,6;901,7;23,6;7;1,9;
2024-04-30;5;69;902,5;23,5;6,2;2;
2024-05-31;1;1,4;904;22,3;5,2;1,9;
2024-06-30;0;0;905,4;20,8;5,6;2,4;
2024-07-31;null;null;null;null;5,6;null;

