Nome: LUZIANIA
Codigo Estacao: A012
Latitude: -16.26055555
Longitude: -47.96694443
Altitude: 1000.82
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;51,2;902,6;22,9;7,4;2,2;
2010-02-28;4;1;902,5;23,7;8,9;2,4;
2010-03-31;10;5;902,2;22,9;7,6;2,1;
2010-04-30;0;0;903,6;22,1;7,1;2,4;
2010-05-31;4;2,8;903,8;21,9;6,5;2,2;
2010-06-30;0;0;906,7;20;6,9;2,6;
2010-07-31;0;0;906,6;20,2;8,8;3,2;
2010-08-31;0;0;906,1;21,4;8,3;3,1;
2010-09-30;1;,2;903,8;24,3;8,4;3,6;
2010-10-31;12;85,6;901,8;24;10;2,6;
2010-11-30;24;309;900,8;21,7;7,9;2,5;
2010-12-31;25;239,4;899,6;22,6;8,8;2,4;
2011-01-31;20;200,6;900,7;22,5;8,4;2,8;
2011-02-28;15;207;901,8;22,6;7;2,2;
2011-03-31;21;416,8;901,3;22;7,5;2,4;
2011-04-30;8;64,6;903,3;22,2;7,1;2,7;
2011-05-31;2;9,2;904,2;20,8;7,2;2,6;
2011-06-30;4;2,8;905,2;20;8,3;2,6;
2011-07-31;0;0;905,5;20,6;8,8;3;
2011-08-31;0;0;905,1;23;8,1;3,2;
2011-09-30;2;3,2;904,9;24,1;8,8;3,4;
2011-10-31;19;225;901,9;21,7;7,9;2,8;
2011-11-30;15;169,4;901,5;21,9;7,4;3,1;
2011-12-31;27;391,4;901,3;21,7;7,7;2,5;
2012-01-31;25;372;902,2;21,1;8,2;2,3;
2012-02-29;15;192,2;902,5;22,3;7,4;2,5;
2012-03-31;16;93,6;902,9;22,6;6,4;2,3;
2012-04-30;13;142,4;903;22,9;6,8;2,3;
2012-05-31;4;101;905;20;8,8;2,8;
2012-06-30;3;3,6;905,8;21,1;6,7;2,5;
2012-07-31;1;,2;906;20,5;7,9;2,9;
2012-08-31;null;0;907,4;20,4;8,9;3,7;
2012-09-30;4;54,8;905,1;24,1;7,4;3,1;
2012-10-31;7;67,6;902,3;24,7;8,5;3;
2012-11-30;22;398,6;900,8;22,2;7,6;2,7;
2012-12-31;18;194,4;901,6;23,4;10,4;2,4;
2013-01-31;24;395,2;902,1;22,2;6,6;2,6;
2013-02-28;7;61,4;902,4;23,5;6,7;2,4;
2013-03-31;19;166,4;902,8;23;8,7;2,4;
2013-04-30;6;38;903,9;21,4;8,1;2,5;
2013-05-31;3;25,6;904,7;21,4;7,3;2,6;
2013-06-30;3;26,8;905,6;20,9;7,7;2,7;
2013-07-31;0;0;906,5;20,5;8;2,8;
2013-08-31;0;0;905,4;21,6;8,8;3,3;
2013-09-30;7;58;904,4;23,2;9,2;3,4;
2013-10-31;16;130,8;903,1;22,7;11,9;2,9;
2013-11-30;16;141;901,3;22,7;7,2;2,7;
2013-12-31;27;106;900,6;22,2;9,1;2,7;
2014-01-31;6;null;903,1;23,4;7,4;2,7;
2014-02-28;13;106,8;902,5;22,7;7,9;2,8;
2014-03-31;12;null;null;22,4;6,7;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;1;null;null;21,9;6,4;null;
2014-06-30;0;0;906;20,6;7,3;2,8;
2014-07-31;2;1,2;907,8;20;8;3,1;
2014-08-31;0;0;906,2;22,4;7,8;2,9;
2014-09-30;3;25,2;904,2;24,8;10,4;3,2;
2014-10-31;8;48;903,5;24,7;8,9;3,3;
2014-11-30;22;188,6;902;22,9;7,2;2,3;
2014-12-31;7;null;null;null;6,1;null;
2015-01-31;11;49;903,6;24,4;6,2;2,4;
2015-02-28;13;157,2;903,2;22,9;7,6;2,7;
2015-03-31;22;null;903;21,7;7,5;2,1;
2015-04-30;17;245,8;903,6;22,5;7,4;2,1;
2015-05-31;5;12,6;905,4;20,6;7,2;2,6;
