Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;0;0;1009,5;27,3;5,2;1,2;
2010-05-31;0;0;1009,9;27,8;6,1;1,3;
2010-06-30;0;0;1011,6;27,8;4,9;1,4;
2010-07-31;0;0;1011,1;27,9;7,8;1,4;
2010-08-31;0;0;1011,1;28,1;5,3;1,7;
2010-09-30;0;0;1009,7;28,3;4,7;1,9;
2010-10-31;0;0;1009,3;28,6;4,5;1,9;
2010-11-30;0;0;1007,9;28,3;5,1;1,9;
2010-12-31;0;0;1007,5;27,3;4,8;1,5;
2011-01-31;null;null;1008,6;25,9;5,5;1,3;
2011-02-28;null;null;1009,5;26;7,4;1,4;
2011-03-31;null;null;1009,3;26,3;5;1,4;
2011-04-30;null;null;1009,9;26,3;4,6;1,2;
2011-05-31;null;null;1009,7;27;6,4;1,2;
2011-06-30;null;null;1010,9;27,7;6,1;1,6;
2011-07-31;null;null;1011;27,5;4,3;1,5;
2011-08-31;null;null;1011,3;28,1;4,3;1,9;
2011-09-30;null;null;1011,1;28,3;5,1;2;
2011-10-31;7;61,2;1008,5;28,4;5,4;2,1;
2011-11-30;12;null;1008,8;28,1;4,5;1,9;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;15;null;null;25,7;5,5;null;
2012-03-31;29;285;1010,1;26,6;5,4;1,6;
2012-04-30;26;383,6;1009,7;27;4,5;1,5;
2012-05-31;26;179,4;1010,6;27,5;5,9;1,7;
2012-06-30;17;97,2;1011,9;27,4;4,2;1,6;
2012-07-31;16;86,6;1011,4;27,6;4,8;1,5;
2012-08-31;7;55;1012;27,6;4,1;1,6;
2012-09-30;7;16,2;1011,8;28;4,2;2;
2012-10-31;3;50,2;1009,4;28,4;4,4;2,1;
2012-11-30;2;3;1008,7;28,8;4,6;2,2;
2012-12-31;20;314,6;1008,6;27,8;5,7;1,9;
2013-01-31;26;284,2;1009,9;27;5,6;1,5;
