Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;4;62;958,5;25,8;4,2;1,6;
2010-02-28;9;64,6;958,5;26,3;4,8;1,6;
2010-03-31;22;314;957,4;24,6;6,7;1,1;
2010-04-30;11;205,2;959,9;22,6;3,9;1,1;
2010-05-31;10;43,2;960,1;20,9;4,6;1;
2010-06-30;9;17,4;964,3;18,6;4,1;,9;
2010-07-31;4;2,4;965;20,1;3,8;1,2;
2010-08-31;1;,2;964,1;20,3;4,4;1,6;
2010-09-30;3;5,6;962;22,2;4,8;1,9;
2010-10-31;13;112,6;958,2;22,8;5,2;null;
2010-11-30;17;null;956,4;23,6;4,3;1,6;
2010-12-31;10;null;null;null;4,4;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;3;null;null;25,6;4;null;
2011-03-31;19;398,6;956,8;23,1;4;,8;
2011-04-30;14;100;959,8;22,7;3,2;,9;
2011-05-31;6;12,6;961,2;20,1;3,2;,8;
2011-06-30;6;14,4;962,2;19,1;3,3;,9;
2011-07-31;3;1,4;963,2;19,2;3,8;1;
2011-08-31;3;13,4;962,3;21,7;4,2;1,4;
2011-09-30;5;12,2;963,5;21,2;3,8;1,5;
2011-10-31;15;207,4;958,8;21,6;4,1;1,2;
2011-11-30;18;387,8;958,6;21,2;3,5;1,3;
2011-12-31;23;489,6;957;22,6;3,4;1,2;
2012-01-31;16;303;958,3;23,2;4,4;1,4;
2012-02-29;9;32,4;958,9;24,6;3,9;1,3;
2012-03-31;12;80,6;959,1;23,6;3,7;1;
2012-04-30;5;41,2;959;23,2;2,9;,8;
2012-05-31;17;87,8;962,2;20;3;,7;
2012-06-30;4;null;963,1;20,6;3;,8;
2012-07-31;2;,4;963,4;20,4;3,2;,9;
2012-08-31;9;31,8;966,2;19,9;3,6;1,1;
2012-09-30;8;27,2;962,8;22,4;4,1;1,5;
2012-10-31;10;40;959,6;24,2;4,2;1,6;
2012-11-30;13;null;956,9;22,5;4,3;1,2;
2012-12-31;1;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;2;null;null;null;null;null;
2013-03-31;17;156,2;958,6;23,8;3,4;,9;
2013-04-30;13;103;960,3;21,6;2,8;,8;
2013-05-31;13;51,8;961,2;20,3;2,9;,7;
