Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;163;898,2;22,2;6,5;1,7;
2010-02-28;10;83,4;898,5;22,6;9;1,6;
2010-03-31;16;255,6;897,4;21,6;6,1;1,6;
2010-04-30;12;30,8;899,5;19,5;4,6;1,8;
2010-05-31;11;47,6;899,3;17,9;6,8;2;
2010-06-30;7;2,6;902,7;15,8;6,3;2;
2010-07-31;7;1,4;903,3;17,2;5,5;2,3;
2010-08-31;1;,2;902,4;17,4;5,6;2,4;
2010-09-30;6;15,2;900,4;19,1;7;2,5;
2010-10-31;11;192;897,5;19,6;8,7;2,5;
2010-11-30;22;262,4;895,9;20;7,6;2,5;
2010-12-31;21;283,4;894,3;21,9;8,5;2;
2011-01-31;17;230;896,1;21,9;7,3;2,5;
2011-02-28;null;null;897,3;22,8;5,9;2,3;
2011-03-31;15;258,4;896,8;20,3;6;1,8;
2011-04-30;11;68,4;899,3;19,8;5,8;2;
2011-05-31;11;5,6;900,2;17,3;4,7;1,9;
2011-06-30;12;16;900,7;16,1;8,8;2,1;
2011-07-31;4;,8;901,5;16,8;5,9;2;
2011-08-31;4;2,4;900,9;19,3;8,3;2,5;
2011-09-30;5;1,8;901,8;18,6;6,2;2,6;
2011-10-31;18;255,6;897,8;19,2;5,8;2,4;
2011-11-30;16;261,2;897,4;18,5;8,1;2,4;
2011-12-31;26;413,2;896,3;20,1;7,5;2,2;
2012-01-31;19;487;897,5;20,5;5,9;2,2;
2012-02-29;12;88,8;898,3;21,7;5,4;2,3;
2012-03-31;17;184,8;898,7;20,7;5,8;2,1;
2012-04-30;10;35,6;898,6;20,3;6,5;2,1;
2012-05-31;13;79,6;901,2;16,8;5,1;2;
2012-06-30;19;43;901,6;17,6;5,8;1,8;
2012-07-31;5;1;901,9;17,2;7,2;2,1;
2012-08-31;6;2,2;904,6;16,6;6,5;2,5;
2012-09-30;3;38,2;901,5;19,5;7,2;2,5;
2012-10-31;8;33;898,7;21,1;7,3;2,6;
2012-11-30;19;238,8;896,4;20,1;6,8;2,2;
2012-12-31;16;72,8;896,9;22,8;8,2;1,7;
2013-01-31;8;null;897,6;21;6,5;1,9;
2013-02-28;8;113,2;898,1;22,1;5,3;2;
2013-03-31;19;133,4;898,6;20,9;5,9;2;
2013-04-30;15;78;899,7;18,6;5,2;1,9;
2013-05-31;12;63,4;900,3;17,5;5,4;1,9;
2013-06-30;17;42,2;901,3;17,6;6,2;1,7;
2013-07-31;12;3,4;902,4;16,8;4,9;2;
2013-08-31;3;5,8;901,7;18;4,8;2;
2013-09-30;8;52;900,8;23,4;5,4;2,2;
2013-10-31;11;90,8;899,4;25,3;6,2;2,4;
2013-11-30;11;102,2;897,5;20,2;6,4;2,3;
2013-12-31;24;320,4;895,4;21,2;5,5;2,2;
2014-01-31;9;167,4;899,2;22,6;5,3;2;
2014-02-28;8;52,4;898,7;22,4;6,3;2,3;
2014-03-31;13;139,8;899;20,7;5,3;2,1;
2014-04-30;16;115,2;899,5;19,5;6,9;1,8;
2014-05-31;5;16,8;900,3;17,9;5;1,9;
2014-06-30;9;19,8;901,9;17,4;4,5;1,8;
2014-07-31;10;42;904;16,2;5,7;2,1;
2014-08-31;5;3;902,5;17,7;6,8;2,2;
2014-09-30;4;8,4;900,5;20,1;5,5;2,5;
2014-10-31;9;69;900,1;20,5;5,7;2,5;
2014-11-30;17;324,6;897,5;20,5;6,9;2,3;
2014-12-31;14;154,2;898;21,9;6,2;2,2;
2015-01-31;12;113,8;899,2;23,1;6,8;2;
2015-02-28;18;254,6;898,4;21,6;6,2;2;
2015-03-31;18;307;898,6;21,2;6,9;1,8;
2015-04-30;12;14,4;899,2;19,6;5,6;1,7;
2015-05-31;17;39,2;901,3;17,5;5,9;2;
2015-06-30;12;19,8;903,6;16,9;6,3;2;
2015-07-31;4;15,6;902,7;17,8;6,3;2;
2015-08-31;5;21,8;902,4;18,1;7,4;2,3;
2015-09-30;10;84,8;899,3;21;9,2;2,2;
2015-10-31;8;116;899,4;22,4;7,5;2,4;
2015-11-30;18;344;896,9;22,3;7,6;2;
2015-12-31;21;343,8;898,8;22,1;11;2,1;
2016-01-31;21;291,8;897;21,6;8,4;2,4;
2016-02-29;12;23,2;899;22,9;4,6;1,9;
2016-03-31;null;null;900;21,7;6,4;2;
2016-04-30;null;null;899,9;21,7;5,1;2;
2016-05-31;null;null;901,5;18,5;4,9;1,9;
2016-06-30;null;null;902,9;16,5;6,3;2,1;
2016-07-31;null;0;902,4;17,4;6,7;2,1;
2016-08-31;0;0;901,4;18,7;5,8;2,3;
2016-09-30;null;null;900,5;20;6,1;2,5;
2016-10-31;null;null;898,4;20,6;6,3;2,4;
2016-11-30;null;null;897,5;20,2;7,8;2,3;
2016-12-31;4;27,8;897,7;21,5;7,3;2,3;
2017-01-31;14;146;898,2;22,5;6,2;2,1;
2017-02-28;11;93,8;898,6;21,6;5,7;2,1;
2017-03-31;9;132,8;898,7;21,1;5;2;
2017-04-30;5;12,4;899,9;19,7;6;2;
2017-05-31;9;28,4;900,6;17,8;7,1;1,9;
2017-06-30;11;29,6;902,7;17,3;5,1;2;
2017-07-31;4;2;906,3;15,1;5,5;2,3;
2017-08-31;2;,4;901,7;17,4;6,1;2,4;
2017-09-30;3;6,4;903;19,1;5,6;2,8;
2017-10-31;11;105;898,8;21,7;7,6;2,6;
2017-11-30;20;209,6;897,1;20;5,7;2,4;
2017-12-31;21;357,8;896,7;21,1;6,8;2;
2018-01-31;17;232;897,7;22,1;7,1;2,1;
2018-02-28;21;214,4;897,2;20,9;5,2;2,1;
2018-03-31;21;283,8;897,4;21,6;8,8;1,9;
2018-04-30;10;35,8;900,7;19,2;4,4;2,1;
2018-05-31;6;29,4;901,7;17,6;7,6;1,9;
2018-06-30;4;1,2;902,6;17,9;5,2;1,7;
2018-07-31;3;,6;902,5;17,4;4,9;1,8;
2018-08-31;8;55,4;902,2;17,3;5,7;2,2;
2018-09-30;9;148,8;899,1;19,2;6,6;2,3;
2018-10-31;19;156;898;20,4;6,2;2,1;
2018-11-30;19;269,6;898,3;20;5,5;2,2;
2018-12-31;21;225;898;21,3;6,3;1,9;
2019-01-31;9;35,6;899,8;23,3;5,3;2;
2019-02-28;19;130,6;897,9;22,4;5,8;2;
2019-03-31;19;122;899,2;21,4;4,9;1,8;
2019-04-30;18;70,6;898,8;21,1;6;1,8;
2019-05-31;15;31,8;899,8;19,6;6,6;1,7;
2019-06-30;10;11,6;903,4;17,7;6,6;1,9;
2019-07-31;2;,4;902,7;16,6;7,9;2,1;
2019-08-31;7;25,8;903,9;17,1;5,1;2,3;
2019-09-30;5;61,2;900,8;20,6;5,2;2,3;
2019-10-31;10;108,8;898,8;21,1;4,8;2,3;
2019-11-30;19;221,4;897,3;20,8;5,6;2,3;
2019-12-31;18;190,2;897,7;21,3;6,7;2,3;
2020-01-31;25;509,6;896,6;21,7;7;2;
2020-02-29;22;232,8;898,4;21,2;7,5;2,1;
2020-03-31;15;258,6;898,9;20,1;5,4;2;
2020-04-30;17;49;900,1;19,1;6,9;2,1;
2020-05-31;17;35;901,2;16,8;5,9;2;
2020-06-30;6;1,4;902,4;17,9;8,4;1,9;
2020-07-31;7;1,4;902,2;18;9;2,2;
2020-08-31;4;21,2;902,6;17;5,2;2,3;
2020-09-30;5;16,8;900,9;21,5;5;2,3;
2020-10-31;14;179,2;898,1;20,8;9;2,2;
2020-11-30;17;242,2;897,9;20,4;5,8;2,4;
2020-12-31;20;245;897,4;21,5;5,8;1,9;
2021-01-31;13;152,6;897,9;22;8,2;2,1;
2021-02-28;22;318;896,6;20,9;6,4;2;
2021-03-31;12;52;898,2;21,6;5,8;2;
2021-04-30;9;23,4;899,2;19,2;5,7;2;
2021-05-31;6;1,4;900,6;18,5;5,3;1,9;
2021-06-30;15;56,2;901,5;16,8;6,1;1,7;
2021-07-31;2;,4;903,2;15,9;6,5;2,2;
2021-08-31;4;20,2;902,8;17,7;5,3;2,3;
2021-09-30;5;27,6;900;21,5;5,2;2,4;
2021-10-31;20;277,2;898,6;19,9;6,8;2,3;
2021-11-30;15;186,2;896,5;20;6;2,2;
2021-12-31;24;369;896;20,1;7,2;2;
2022-01-31;23;493,2;897,3;21,4;6,5;2,2;
2022-02-28;24;441,8;897,5;20,8;6,6;1,9;
2022-03-31;1;null;null;null;5,8;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;1;null;null;null;4,5;null;
2022-07-31;null;null;null;null;7,2;null;
2022-08-31;0;0;902;17,2;7,3;2,5;
2022-09-30;1;null;null;18,7;8,1;null;
2022-10-31;8;null;null;null;5,9;null;
2022-11-30;13;null;null;18,4;6,3;null;
2022-12-31;20;254,8;896,4;20,1;6,6;2,2;
2023-01-31;26;550,2;897,6;20,7;9,5;2,2;
2023-02-28;2;null;null;null;6,7;null;
2023-03-31;null;null;null;null;6,6;null;
2023-04-30;null;null;null;null;5,9;null;
2023-05-31;2;null;null;null;6,7;null;
2023-06-30;1;null;null;null;4,4;null;
2023-07-31;null;null;null;null;8,1;null;
