Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.10638888
Longitude: -44.25083333
Altitude: 929.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;262,2;909,3;22,6;12;2;
2010-02-28;10;102,6;909,6;22,8;9,2;2,2;
2010-03-31;23;157,6;908,5;21,8;9,2;2,1;
2010-04-30;11;35,8;910,8;19,9;9,6;2,3;
2010-05-31;14;37;910,6;17,4;6,7;2;
2010-06-30;10;4,6;914,1;14,7;7,8;2,2;
2010-07-31;7;8;914,7;16,8;7,7;2,4;
2010-08-31;1;,2;913,7;16,8;10,2;2,7;
2010-09-30;8;59,8;911,6;19,1;11;2,9;
2010-10-31;12;207,8;908,7;20;13,2;3,1;
2010-11-30;20;213;906,9;20,6;8,7;2,6;
2010-12-31;23;407,8;905,3;22,4;12,8;2,4;
2011-01-31;19;296,8;907,1;22,4;7,4;2,1;
2011-02-28;7;128,2;908,4;23,3;8,5;2,1;
2011-03-31;18;357,4;908;21,1;8,5;2,3;
2011-04-30;12;58,8;910,5;20,5;10;2,2;
2011-05-31;11;15;911,6;17,2;8,5;2,3;
2011-06-30;13;30,6;912,1;15,5;14,3;2,3;
2011-07-31;13;3,8;912,8;15,8;7,2;2;
2011-08-31;3;7,4;912,1;18,5;12,2;2,8;
2011-09-30;2;2,2;913;18,8;8,8;3,3;
2011-10-31;15;191,8;908,9;19,8;9,8;2,9;
2011-11-30;14;219,6;908,6;19,4;11,7;2,9;
2011-12-31;25;473,2;907,4;20,9;8,3;2,5;
2012-01-31;5;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;13;null;null;20,8;10,7;null;
2012-04-30;11;33,4;909,8;20,5;10,3;2,2;
2012-05-31;14;63,8;912,6;16,7;7,1;2,3;
2012-06-30;17;61;912,9;17,3;9,1;1,9;
2012-07-31;16;7,2;913,3;15,8;9,8;2,1;
2012-08-31;6;1,2;916,1;16,5;7,6;3;
2012-09-30;3;32,8;912,7;19,4;11,4;2,8;
2012-10-31;10;79,2;909,8;21,4;14,6;2,9;
2012-11-30;19;189,4;907,5;20,9;10,6;3;
2012-12-31;15;138,6;907,9;23,2;11,5;2,4;
2013-01-31;22;330,4;908,7;21,4;11,4;2,5;
2013-02-28;11;55,8;909,1;22,7;10;2,1;
2013-03-31;21;121,4;909,7;21,5;14,3;2,6;
2013-04-30;17;123,2;910,9;18,9;10,4;2,3;
2013-05-31;16;58,8;911,6;17,3;9;2,1;
2013-06-30;12;28;912,6;17,3;7,7;1,7;
2013-07-31;9;26,6;913,9;16;8,9;2,4;
2013-08-31;5;1,8;913;17,1;7,7;2,4;
2013-09-30;10;85,6;912;19;7,3;2,5;
2013-10-31;10;95,4;910,6;19,3;9,9;2,9;
2013-11-30;14;261,2;908,7;20,6;10,1;2,7;
2013-12-31;13;null;null;21,6;7,6;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;12;116,2;910,1;21,6;7,6;2,5;
2014-04-30;17;96,6;910,6;20;10,8;2,3;
2014-05-31;13;14,6;911,6;17,3;7,5;2,2;
2014-06-30;19;24,4;913,2;16,7;6;1,9;
2014-07-31;13;40,2;915,3;15,9;8,1;2,3;
2014-08-31;6;17,6;913,7;17;9,1;2,5;
2014-09-30;7;15,2;911,6;19,8;10;2,7;
2014-10-31;7;56,4;911,2;20,7;9,8;2,9;
2014-11-30;18;305,4;908,5;21,3;8,8;2,7;
2014-12-31;17;80,4;909;22,3;9,2;2,4;
2015-01-31;13;107,4;910,2;23,3;8,6;2,1;
2015-02-28;20;352,6;909,4;21,8;10,7;2,1;
2015-03-31;21;269;909,6;21,4;10;2,2;
2015-04-30;15;32,6;910,3;20,2;8,2;2,3;
2015-05-31;20;95,6;912,5;17,5;7,2;2,2;
2015-06-30;22;16,4;914,9;16,4;9,3;2,3;
2015-07-31;16;4,6;913,8;17,2;10,1;1,9;
2015-08-31;13;17,8;913,6;17,6;8,2;2,4;
2015-09-30;12;178,4;910,3;20,5;9,2;2,4;
2015-10-31;7;87,4;910,4;22,4;10,1;2,6;
2015-11-30;24;350,6;907,9;22,4;9,6;2,3;
2015-12-31;25;309;909,7;22,4;12;2,3;
2016-01-31;21;314,6;907,9;22,1;10;2,6;
2016-02-29;17;175,2;910;23,1;10,4;2,1;
2016-03-31;16;208,6;911;22,1;8,2;2,1;
2016-04-30;13;46,2;910,9;21,2;8,2;2;
2016-05-31;15;8,6;912,7;18,1;9,1;2,2;
2016-06-30;17;65;914,2;15,8;6,4;2,1;
2016-07-31;13;2,6;913,7;16,6;10;2,3;
2016-08-31;9;17;912,5;18,1;9,7;2,4;
2016-09-30;9;42;911,5;20,2;8,7;2,9;
2016-10-31;14;121;909,5;20,9;11,6;2,9;
2016-11-30;19;353,6;908,5;20,6;9,1;2,5;
2016-12-31;17;171,2;908,7;22;9,3;2,5;
2017-01-31;20;172,4;909,2;22,9;12,5;2,2;
2017-02-28;11;155;909,6;22,1;10,4;2,3;
2017-03-31;12;129,4;909,7;21,4;11,1;2,4;
2017-04-30;5;null;null;20,5;9,2;null;
2017-05-31;null;null;null;null;8,6;null;
2017-06-30;14;null;914,3;16,4;8,8;2,1;
2017-07-31;8;1,8;917,7;14,7;7,1;2,5;
2017-08-31;2;,4;912,9;17,1;10;2,8;
2017-09-30;2;22,4;914,1;18,9;7,9;2,5;
2017-10-31;9;139,6;909,8;21,5;10,2;2,7;
2017-11-30;14;121,6;908,1;20,6;7,8;2,8;
2017-12-31;21;300,2;907,6;21,8;9,5;2,3;
2018-01-31;17;244;908,7;22,1;7,7;2,2;
2018-02-28;16;197,8;908,2;21,6;9,9;2,4;
2018-03-31;16;326,8;908,4;22,3;8,6;2,1;
2018-04-30;7;37,8;911,9;19,8;6,7;2,3;
2018-05-31;8;5,4;913;17,5;10,9;2,2;
2018-06-30;11;18,6;913,8;17,4;7,5;1,9;
2018-07-31;13;13,2;913,7;16,4;6,1;1,8;
2018-08-31;9;73,6;913,4;17,2;9,3;2,4;
2018-09-30;9;72,4;910,1;19,7;8,8;2,6;
2018-10-31;17;161,4;909;21;9,7;2,6;
2018-11-30;19;296,6;909,3;20,6;8,2;2,5;
2018-12-31;17;353,4;909;22,1;9,3;2,3;
2019-01-31;13;167,4;910,8;23,3;15,5;2,1;
2019-02-28;18;263,6;908,8;22,8;13,2;2,2;
2019-03-31;21;211,6;910,3;21,8;10,2;2,1;
2019-04-30;21;89,8;909,9;21,3;8,6;2;
2019-05-31;19;47,2;911;19,2;7,6;1,8;
2019-06-30;17;11,2;914,6;16,8;7,1;1,9;
2019-07-31;10;2,2;914;15,3;9;2,3;
2019-08-31;3;15;915,2;17,2;8,4;2,7;
2019-09-30;3;66;911,8;21,1;8,9;2,8;
2019-10-31;11;76,2;909,8;21,7;12,7;2,5;
2019-11-30;17;261;908,3;21,3;8,4;2,6;
2019-12-31;15;166,6;908,6;22;14,8;2,4;
2020-01-31;22;233,4;907,5;22,3;9,6;2,2;
2020-02-29;23;595,6;909,4;21,5;9;2,2;
2020-03-31;15;211,6;910;20,8;9;2,3;
2020-04-30;14;17;911,3;19,6;11;2,4;
2020-05-31;3;null;null;null;6,7;null;
2020-06-30;null;null;null;null;9,7;null;
2020-07-31;null;null;null;null;8,1;null;
2020-08-31;null;null;null;null;7,8;null;
2020-09-30;null;null;null;null;8,1;null;
2020-10-31;8;null;null;null;9,3;null;
2020-11-30;16;168,4;908,9;21,2;8,8;2,7;
2020-12-31;25;353;908,3;22,1;8,8;2;
2021-01-31;13;80,4;908,8;22,8;8,1;2,1;
2021-02-28;21;295;907,6;21,5;9,2;2,1;
2021-03-31;12;168,2;909,1;22;8,5;1,9;
2021-04-30;11;32,6;910,4;19,1;7,1;2,4;
2021-05-31;13;5;911,8;17,7;7,1;2;
2021-06-30;20;29,4;912,8;16,4;6,8;1,9;
2021-07-31;7;1,4;914,6;14,7;9,5;2,2;
2021-08-31;3;12,2;914;18;7,6;2,4;
2021-09-30;5;37,8;911;21,7;12,5;2,8;
2021-10-31;20;335,4;909,6;20,2;9;3;
2021-11-30;13;182;907,5;20,8;10,4;2,8;
2021-12-31;19;383,4;907;20,8;9,7;2,5;
2022-01-31;21;321,4;908,2;22;7,8;2,2;
2022-02-28;25;298;908,5;21,6;10,3;2;
2022-03-31;8;34,2;909,4;22,8;10,6;2;
2022-04-30;15;101,8;910,1;20,6;11,6;2;
2022-05-31;12;16,8;911,8;16,3;10,9;2,1;
2022-06-30;13;11,4;912,2;15,8;6,2;1,9;
2022-07-31;10;2;913,8;16,3;8,3;1,9;
2022-08-31;2;13,8;913,2;17,1;10,2;2,7;
2022-09-30;8;77,8;911,2;18,9;8,5;3;
2022-10-31;14;132,4;909,8;21,2;13,3;2,3;
2022-11-30;15;203,2;908,5;19,5;10,5;2,7;
2022-12-31;25;390,4;907,4;20,4;10,4;2,2;
2023-01-31;27;511;908,5;21,2;7,6;2,1;
2023-02-28;22;266;909,4;22,3;12,8;1,9;
2023-03-31;13;113,6;910,4;22;7,9;2;
2023-04-30;15;93,2;909,8;20;7,8;2,4;
2023-05-31;13;null;null;17,2;5,7;null;
2023-06-30;5;null;null;null;5;null;
2023-07-31;8;8,2;914,2;16,5;9,7;2,1;
2023-08-31;8;38,6;912;18,4;10,7;2,2;
2023-09-30;4;5,2;911,1;21,9;12,7;2,4;
2023-10-31;12;2,6;908,9;22,7;14,1;2,5;
2023-11-30;null;null;908,4;23,2;12,1;2,5;
2023-12-31;null;null;908,4;23,3;9,3;2,6;
2024-01-31;23;255,6;908,2;22,4;9,8;2,1;
2024-02-29;20;158,2;910;22,6;7,9;2;
2024-03-31;23;188;909,6;22,9;8,1;2,2;
2024-04-30;9;3;910,7;21,6;6;2;
2024-05-31;22;27;911,9;19,9;7,1;1,7;
2024-06-30;17;4;913,7;17,2;7,3;1,6;
2024-07-31;7;null;null;null;7,2;null;

