Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;21;206,6;908,4;22,7;6,3;1,5;
2010-02-28;12;144,6;908,8;23;11,3;1,6;
2010-03-31;15;119,8;907,7;22,2;7,2;1,6;
2010-04-30;8;21;910;20,2;6,1;1,6;
2010-05-31;8;12,8;909,8;17,9;5;1,4;
2010-06-30;3;15,4;913,2;16;5,9;1,5;
2010-07-31;3;8;913,7;17,7;7;1,8;
2010-08-31;null;0;912,7;18,3;6,9;1,3;
2010-09-30;9;75,4;910,5;20,4;6,3;2,2;
2010-10-31;11;101;907,7;20,4;8,8;1,9;
2010-11-30;16;227,4;905,9;21,1;6,8;1,9;
2010-12-31;18;193,4;904,5;22,6;6,2;1,8;
2011-01-31;24;372;906,1;22,2;7,9;1,8;
2011-02-28;13;77,2;907,6;23;5,8;1,7;
2011-03-31;18;341,4;907,2;21,2;5,8;1,8;
2011-04-30;12;95;909,6;20,5;6,2;1,5;
2011-05-31;8;4,4;910,7;17,3;6,6;1,3;
2011-06-30;10;18,8;911,3;15,5;6,9;1,5;
2011-07-31;3;,6;911,9;17,2;5,6;1,6;
2011-08-31;1;11;911,2;19,6;8,7;2;
2011-09-30;4;2,8;911,8;20,1;7,4;2,3;
2011-10-31;12;118,8;907,9;20,5;6,7;2,3;
2011-11-30;12;110,4;907,5;19,9;7,2;2,1;
2011-12-31;23;232,4;906,4;21,2;5,9;1,9;
2012-01-31;22;390,6;907,7;20,8;8,7;1,7;
2012-02-29;10;54,2;908,5;22,6;6,3;1,9;
2012-03-31;13;191,2;909;21,5;7,1;1,8;
2012-04-30;11;69,8;908,9;20,6;8,2;1,6;
2012-05-31;6;49,8;911,7;17;5,2;1,6;
2012-06-30;10;126,2;912;17,4;5;1,4;
2012-07-31;4;23;912,4;16,7;6,5;1,7;
2012-08-31;null;0;915;17,8;6,1;2,6;
2012-09-30;5;30;911,6;20,3;8,5;2,1;
2012-10-31;10;47,8;908,7;22,7;7,7;2,2;
2012-11-30;18;155,2;906,5;21,3;6,3;2,1;
2012-12-31;18;227,2;907,2;22,9;8;1,8;
2013-01-31;21;471,8;907,7;21,4;5,9;1,9;
2013-02-28;16;239,4;908,4;22,3;5,5;1,4;
2013-03-31;24;178,2;908,8;21,2;7,2;1,6;
2013-04-30;13;64,8;910;19,1;4,9;1,4;
2013-05-31;10;75,4;910,8;17,7;6,7;1,4;
2013-06-30;12;35,2;911,7;17,7;5,6;1,2;
2013-07-31;9;29,4;913;16,5;6;1,2;
2013-08-31;1;,6;912;18,2;7;1,9;
2013-09-30;6;45;911;19,8;6,7;2,2;
2013-10-31;13;105,8;909,5;19,8;6,8;2,1;
2013-11-30;13;199,2;907,7;21;6,4;2;
2013-12-31;19;200,4;905,6;22,1;6,2;1,8;
2014-01-31;8;90,8;909,3;23,9;8,2;1,9;
2014-02-28;4;13,6;908,7;23,9;5,2;2,2;
2014-03-31;14;124,6;909,2;22,1;6,5;2;
2014-04-30;12;87,4;909,8;20,5;6,7;1,6;
2014-05-31;3;15,4;910,8;18;5,6;1,6;
2014-06-30;2;5,4;912,3;17,6;5,6;1,6;
2014-07-31;6;35,2;914,4;16,7;6,2;1,9;
2014-08-31;2;14,2;912,7;18,6;7,5;1,8;
2014-09-30;9;46;910,7;20,7;7,8;2,4;
2014-10-31;7;42,2;910,1;22;7,9;2,4;
2014-11-30;15;114,2;907,5;22;6,3;2,1;
2014-12-31;16;180;908,2;22,3;7,2;1,9;
2015-01-31;10;114,6;909,4;24,2;6,6;1,9;
2015-02-28;20;137,2;908,6;22;6,7;1,8;
2015-03-31;19;196,4;908,9;21,1;6,2;1,5;
2015-04-30;8;78,4;909,5;20,5;6;1,6;
2015-05-31;8;50,4;911,7;17,8;5,7;1,7;
2015-06-30;6;10,6;914;17;6,1;1,5;
2015-07-31;4;6;912,9;18;5,7;1,4;
2015-08-31;1;18,2;912,6;19;6,5;1,9;
2015-09-30;10;133,6;909,5;21,2;7,7;1,8;
2015-10-31;8;41;909,4;23,4;6,9;2;
2015-11-30;21;317,4;907,2;22,4;6,9;1,5;
2015-12-31;24;181,2;909,1;22,2;9,2;1,7;
2016-01-31;21;345;907,1;22,1;6,5;1,9;
2016-02-29;14;164,2;909,3;23;5,6;1,5;
2016-03-31;18;192,6;910,3;22,1;5,4;1,6;
2016-04-30;4;23;910,2;22,1;5,4;1,6;
2016-05-31;null;null;null;null;null;null;
2016-06-30;10;59,8;913,4;16,3;5,2;1,7;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;2;null;910;21,6;7;2,1;
2016-10-31;15;149,4;908,6;21,1;7,3;2,1;
2016-11-30;13;189,4;907,7;21,1;8,7;2;
2016-12-31;18;165,6;907,9;22,2;6,8;1,9;
2017-01-31;20;140,4;908,5;22,5;6,6;1,6;
2017-02-28;11;73,8;908,7;22,9;9,6;2;
2017-03-31;12;128,2;909;21,6;8,4;1,8;
2017-04-30;5;36,2;910,1;20,6;5,4;1,7;
2017-05-31;9;66;910,9;18,2;6;1,5;
2017-06-30;5;47,6;913,2;17,3;6;1,8;
2017-07-31;1;,2;916,8;16;6,1;2,5;
2017-08-31;3;13;911,9;18,3;6,9;1,9;
2017-09-30;2;67,6;912,9;20,9;6,9;2,5;
2017-10-31;13;134,4;908,9;21,9;8,1;2,2;
2017-11-30;4;null;907,7;20,4;5,6;2,1;
2017-12-31;1;null;null;null;7,7;null;
2018-01-31;10;null;908,3;22,1;7,2;1,7;
2018-02-28;18;150;907,5;21,7;8,2;1,7;
2018-03-31;11;77,4;907,7;22,7;6;1,5;
2018-04-30;7;15,6;911,1;20,4;6,1;1,8;
2018-05-31;3;27;912,2;18,2;5,7;1,5;
2018-06-30;5;26,8;913;18;4,4;1,4;
2018-07-31;1;2,4;912,9;17,4;4,7;1,3;
2018-08-31;9;64;912,6;17,6;6,3;1,7;
2018-09-30;7;97;909,3;20,2;6,4;1,9;
2018-10-31;20;112,2;908,3;21;6,6;1,7;
2018-11-30;20;158,2;908,4;21;6,9;2,1;
2018-12-31;7;null;null;null;8,2;null;
2019-01-31;4;null;null;null;null;null;
2019-02-28;16;null;null;21,7;5,8;null;
2019-03-31;29;104,2;909,7;21,7;6,3;1,5;
2019-04-30;12;44,2;909,2;21,5;4,9;1,3;
2019-05-31;null;null;910,3;19,4;5,8;1,1;
2019-06-30;null;0;913,9;17,6;5,7;1,6;
2019-07-31;0;0;913,1;16,3;6;1,6;
2019-08-31;2;8,4;914,2;17,8;6,2;1,7;
2019-09-30;7;72;910,8;21,9;5,8;1,9;
