Nome: CASTELO DO PIAUI
Codigo Estacao: A361
Latitude: -5.34916666
Longitude: -41.51222222
Altitude: 268.75
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;108,8;980,2;26,7;5,1;1,7;
2010-02-28;10;77;979,3;28,2;6,3;2,1;
2010-03-31;20;188,8;980;28,1;null;null;
2010-04-30;17;216,6;980,1;28,2;null;null;
2010-05-31;10;69,4;980,5;27,8;null;null;
2010-06-30;3;19,2;982,6;27,1;null;null;
2010-07-31;2;1;982,2;27,6;null;null;
2010-08-31;1;,2;982,1;28,1;null;null;
2010-09-30;0;0;980,6;28,6;null;null;
2010-10-31;8;38,6;979,7;28,7;null;null;
2010-11-30;1;4,6;978,3;28,7;null;null;
2010-12-31;12;179,6;978,1;28,3;null;null;
2011-01-31;17;212,2;979;27,4;null;null;
2011-02-28;13;146,8;979,8;26,7;null;null;
2011-03-31;20;214,8;979,8;25,6;null;null;
2011-04-30;22;293,6;980,2;25,5;null;null;
2011-05-31;12;120,8;980,7;25,8;null;null;
2011-06-30;1;4;982;26;null;null;
2011-07-31;3;11;982,1;26,6;null;null;
2011-08-31;2;1,4;982,2;27,9;null;null;
2011-09-30;0;0;981,8;29,7;null;null;
2011-10-31;6;95,2;979;29,2;null;null;
2011-11-30;1;9,4;979,2;28,4;null;null;
2011-12-31;0;0;979;29,4;null;null;
2012-01-31;7;25,8;979,7;28;null;null;
2012-02-29;8;null;null;27,4;7,4;null;
2012-03-31;15;128;980,3;25,8;6,8;1,5;
2012-04-30;13;81,6;980,2;25,8;5,5;1,4;
2012-05-31;3;7,2;981,1;27,3;5,5;1,9;
2012-06-30;3;5,6;982,4;27,7;5,3;1,9;
2012-07-31;0;0;982,1;28,8;5,7;2,4;
2012-08-31;null;0;982,9;29,1;6;2,8;
2012-09-30;0;0;982,3;29,8;6,1;2,7;
2012-10-31;0;0;979,5;30,7;6,6;2,6;
2012-11-30;5;26,8;979;29,5;5,5;2,1;
2012-12-31;5;33,6;978,9;28,9;5,3;1,9;
2013-01-31;14;142,6;980,3;27,2;5,6;1,6;
2013-02-28;12;56,8;979,3;27,2;6;1,7;
2013-03-31;16;93;980,1;27,5;5,8;1,6;
2013-04-30;null;null;null;null;null;null;
2013-05-31;5;null;null;26;4,6;null;
2013-06-30;6;24,4;982,1;26,6;5;1,7;
2013-07-31;0;0;982,9;27,2;5,4;2;
2013-08-31;1;,2;981,6;29,1;5,4;2,2;
2013-09-30;0;0;981,1;30,2;6,7;2,6;
2013-10-31;5;21,2;980,3;30;6,4;2,6;
2013-11-30;3;73,8;978,9;28,9;7,6;2,5;
2013-12-31;7;22;979,6;28,4;6,1;2,2;
2014-01-31;7;39,2;980,5;27,3;5,5;1,9;
2014-02-28;15;101,8;979,8;26,3;6,1;1,7;
2014-03-31;17;277,2;980,7;25,8;4,4;1,4;
2014-04-30;15;89,4;981,1;25,7;5,7;1,4;
2014-05-31;14;63,6;981,3;25,7;4,7;1,3;
2014-06-30;2;5,4;982,1;26,9;5,2;1,9;
2014-07-31;1;,2;983,9;28,2;6,1;2,4;
2014-08-31;0;0;982,7;28,8;5,5;2,4;
2014-09-30;0;0;981,6;29,9;6,3;2,6;
2014-10-31;2;null;null;null;6,3;null;
2014-11-30;null;null;null;null;7;null;
2014-12-31;4;43;980,2;29,3;7,2;2,4;
2015-01-31;4;38,6;981,1;28,2;5,7;2;
2015-02-28;14;118,4;980,9;26,8;4,9;1,6;
2015-03-31;15;92,6;980,8;26,2;5,7;1,5;
2015-04-30;14;167,2;981,3;25,6;7;1,4;
2015-05-31;7;54,8;981,6;26,5;5,3;1,6;
2015-06-30;4;18,8;983,2;26,9;7,1;2;
2015-07-31;3;1,4;983;27,9;6,1;2,4;
2015-08-31;0;0;982,2;29,3;5,8;2,6;
2015-09-30;0;0;981,3;30,1;6,2;2,6;
2015-10-31;1;8,6;980,8;31,1;6,2;2,7;
2015-11-30;1;,8;979,3;30,8;6,9;2,5;
2015-12-31;1;,4;980,6;30,8;8,5;2,7;
2016-01-31;17;290,4;981,1;27,1;5,7;1,7;
2016-02-29;null;null;981;27,3;6,5;1,7;
2016-03-31;null;null;981,4;27;5,1;1,4;
2016-04-30;13;31,6;980,6;26,8;5,8;1,6;
2016-05-31;2;16,8;982,3;27,2;5,6;1,5;
2016-06-30;3;6,8;983,5;27,8;5,8;2;
2016-07-31;2;,4;982,9;28;5,4;2,2;
2016-08-31;1;,2;982,4;29,4;5,2;2,3;
2016-09-30;0;0;981,7;30,3;6,4;2,3;
2016-10-31;0;0;979,7;30,8;6,5;2,6;
2016-11-30;null;null;null;31,3;6;null;
2016-12-31;null;null;null;null;5,2;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;4,4;null;
2017-03-31;1;null;null;null;null;null;
2017-04-30;15;78,6;980,8;26;5,4;1,3;
2017-05-31;7;null;981,8;26,6;4,9;1,4;
2017-06-30;4;12;982,2;27,3;4,9;2;
2017-07-31;2;6,4;984,4;27,4;5,9;2,4;
2017-08-31;0;0;982,2;29,1;5,7;2,1;
2017-09-30;1;,2;982;30,2;6,4;2,7;
2017-10-31;0;0;979,8;30,9;5,3;2,6;
2017-11-30;1;3,2;979;30;6;2,3;
2017-12-31;5;23,6;979,4;29,3;6,9;2,3;
2018-01-31;9;106,2;980,1;27,3;5,7;1,7;
2018-02-28;20;393,2;980,4;25,1;6,7;1,3;
2018-03-31;9;109,8;980,5;26,1;5;1,4;
2018-04-30;15;182,2;981,6;24,8;5,4;1,4;
2018-05-31;4;7,2;982,1;25,9;5,4;1,7;
2018-06-30;0;0;983,2;26,3;5,8;1,8;
2018-07-31;1;9;983;27,3;6,6;1,9;
2018-08-31;2;3;983,1;27,9;5,8;2;
2018-09-30;0;0;980,4;29,9;5,9;2,4;
2018-10-31;3;52;980;29,4;6,2;2,1;
2018-11-30;2;4,6;979,1;29,7;6,7;2,1;
2018-12-31;6;162,8;981,3;26,1;6,5;1,5;
2019-01-31;8;25,4;981,6;26,1;5,3;1,6;
2019-02-28;13;null;980,9;25,7;6;1,4;
2019-03-31;5;null;null;null;null;null;
2019-04-30;21;264,2;981,4;25,5;4,3;1,2;
2019-05-31;10;32,6;981,2;26;4,4;1,4;
2019-06-30;4;1,2;983,2;26;5,4;1,6;
2019-07-31;0;0;983,1;26,8;5,3;1,9;
2019-08-31;0;0;983,8;28,1;6;2,2;
2019-09-30;0;0;981,6;29,6;5,5;2,2;
2019-10-31;2;null;980,1;29,6;5,5;2,2;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
