Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;122,8;979,6;26,9;7;1,1;
2010-02-28;8;64,4;980;27;8,2;1,2;
2010-03-31;18;158;979,1;25,4;7,5;1,2;
2010-04-30;12;151,8;982,1;23,2;7,5;1,2;
2010-05-31;12;51,8;982,3;21,1;6,5;,7;
2010-06-30;1;,2;986,7;18,9;6,7;,9;
2010-07-31;5;23,2;987,4;20,4;6,6;1,1;
2010-08-31;4;10;986,4;20;8,5;1,3;
2010-09-30;5;30,2;983,8;22,5;9,4;1,7;
2010-10-31;13;129;980,4;22,8;12,3;2;
2010-11-30;18;420;978,3;23;9,8;1,6;
2010-12-31;20;526,4;975,6;25,5;11,2;1,3;
2011-01-31;11;155,2;977,6;26,1;6,9;1,1;
2011-02-28;null;null;979;26,9;11,6;1,5;
2011-03-31;12;null;null;23,3;7,4;null;
2011-04-30;3;null;null;23,2;5,4;null;
2011-05-31;7;26,6;983,7;20,6;6,2;,8;
2011-06-30;5;13,6;984,6;19,1;7,9;,7;
2011-07-31;5;5;985,4;19,6;6,2;,9;
2011-08-31;5;19;984,2;22;8,6;1,5;
2011-09-30;3;9,4;986;21,4;9,2;2,2;
2011-10-31;16;222;980,7;22,8;14;1,7;
2011-11-30;15;301,4;980,8;21,9;8,9;1,6;
2011-12-31;22;479,8;978,6;23,7;8;1,3;
2012-01-31;17;652;979,8;24,1;8,2;1;
2012-02-29;5;25;980,3;25,9;5,9;1;
2012-03-31;13;226;980,8;25;7,4;1;
2012-04-30;10;87,6;981;23,7;4,6;,7;
2012-05-31;17;159;984,9;20,2;5,8;,6;
2012-06-30;11;13,2;984,9;20,8;6;,6;
2012-07-31;4;1,2;985,5;20,4;6,5;1;
2012-08-31;12;48,2;989,2;20,2;8,1;1,7;
2012-09-30;5;34;984,9;22,3;9,5;2;
2012-10-31;4;83,8;981,2;25;9,7;2,1;
2012-11-30;20;362,4;979,2;23,2;8,5;1,9;
2012-12-31;6;74,8;978,1;27;6,6;1,5;
2013-01-31;19;235;979,6;25,2;6,8;1,4;
2013-02-28;9;141,2;979,8;26,2;6,7;1,2;
2013-03-31;19;222;980,7;24,7;10,8;1,2;
2013-04-30;10;46,6;982,7;22,3;5,9;1,1;
2013-05-31;11;80,2;983,5;20,9;5,1;1;
2013-06-30;9;33,6;984,6;21;4,1;1;
2013-07-31;8;12,8;986,4;19,8;5,9;1,1;
2013-08-31;8;59,2;985,4;20,8;7;1,4;
2013-09-30;8;33,4;984,2;22,2;6,1;1,5;
2013-10-31;12;87,2;982,5;22,8;6,2;1,6;
2013-11-30;14;359,6;980,4;23,4;6,7;1,5;
2013-12-31;26;572,2;977,2;24,4;6,2;1,2;
2014-01-31;6;81;980,9;26,6;6,3;1,4;
2014-02-28;5;40,6;980,6;26,6;6,1;1,4;
2014-03-31;13;109,8;981,2;24,9;7;1,1;
2014-04-30;15;97,6;982;23,4;6,1;,9;
2014-05-31;4;9,8;983,3;21,6;4,9;1;
2014-06-30;3;4,6;985,3;21,1;4,2;1;
2014-07-31;7;60;988,2;20,1;5,5;1,2;
2014-08-31;null;null;null;null;4,8;null;
2014-09-30;null;null;null;null;6,4;null;
2014-10-31;8;105,6;983,2;23,8;7,8;1,7;
2014-11-30;14;265;980;24;5,7;1,4;
2014-12-31;10;188,6;979,9;25,8;9,4;1,3;
2015-01-31;1;null;null;null;5;null;
2015-02-28;3;null;null;null;6,5;null;
2015-03-31;7;null;null;null;7,5;null;
2015-04-30;12;136,4;981,9;23,1;4,5;,9;
2015-05-31;13;83,4;984,8;20,7;4,1;,9;
2015-06-30;12;64,2;987,4;20,2;4,6;,9;
2015-07-31;5;14,4;986,3;20,7;3,8;,9;
2015-08-31;5;20,2;986,1;21,6;9,3;1,3;
2015-09-30;8;116,4;981,8;23,5;7,1;1,1;
2015-10-31;5;143,8;982;25;8;1,5;
2015-11-30;14;145,4;978,5;25,8;4,8;1,3;
2015-12-31;15;364,2;980,4;26,1;7,8;1,2;
2016-01-31;16;296,6;978,8;25,3;6,2;1;
2016-02-29;7;133,8;980,4;26,7;6,9;1;
2016-03-31;10;null;981,8;25,5;7,6;1;
2016-04-30;3;null;null;25,1;4,1;null;
2016-05-31;6;20,6;984,6;21,8;4,8;,9;
2016-06-30;14;69;986,9;19,2;3,6;,9;
2016-07-31;0;0;986,1;20,6;5,7;1,1;
2016-08-31;2;16;984,8;21,7;10,1;1,2;
2016-09-30;7;null;984;23,5;7,5;1,3;
2016-10-31;13;93,2;981,3;23,5;6,7;1,3;
2016-11-30;11;null;980,8;23,8;6;1,2;
2016-12-31;19;255,8;979,6;24,9;7;1;
2017-01-31;2;null;null;27,4;5,1;null;
2017-02-28;4;null;null;null;null;null;
2017-03-31;4;null;null;null;4,2;null;
2017-04-30;4;null;null;null;null;null;
2017-05-31;3;null;null;20,9;5,8;null;
2017-06-30;4;null;null;20,6;3,4;null;
2017-07-31;12;20,8;991,3;18,6;4,4;,8;
2017-08-31;1;4,2;985,8;20,2;7,5;1,1;
2017-09-30;2;,8;986,9;22,2;4,7;1,2;
2017-10-31;6;19,8;981,2;25,2;9,7;1,3;
2017-11-30;16;224;979,6;23,5;4,8;1;
2017-12-31;16;236,4;978,7;25;4,3;,9;
2018-01-31;16;176,8;979,2;26;5,7;,9;
2018-02-28;16;200,4;979,2;24,9;4,9;,8;
2018-03-31;17;349,4;979,1;25,4;5,4;,7;
2018-04-30;12;54,6;983,7;22,8;3,5;,5;
2018-05-31;8;12,8;985,2;21;3,6;,5;
2018-06-30;2;2,2;985,9;21,2;3,4;,5;
2018-07-31;3;18,4;986;20,4;4,5;,7;
2018-08-31;9;71,6;986,1;20,4;4,4;,7;
2018-09-30;7;93;982,2;22,5;4,8;,8;
2018-10-31;11;54,6;980,7;23,6;7,5;,8;
2018-11-30;16;261,4;981,1;23,5;8,7;,8;
2018-12-31;16;203,8;979,9;25,1;5,5;,8;
2019-01-31;6;95,6;981,2;27,6;6,2;,7;
2019-02-28;16;159,6;979,2;26;6,5;,7;
2019-03-31;16;194,4;981,2;25;9,6;,7;
2019-04-30;13;112,4;980,8;24,7;4,4;,6;
2019-05-31;13;89,2;982,3;22,7;3,6;,4;
2019-06-30;2;13;986,9;21;9,9;,6;
2019-07-31;0;0;986,4;19,9;8,1;,9;
2019-08-31;9;41,6;988,2;20,2;4,1;,7;
2019-09-30;10;62,6;983,9;23,2;4,2;,7;
2019-10-31;14;52,2;981,5;24,1;5,5;,7;
2019-11-30;22;305;979,8;23,8;6,4;,9;
2019-12-31;14;277;979,8;24,9;9,1;,8;
2020-01-31;21;396,8;978,2;25,1;6,6;,6;
2020-02-29;22;339,4;980,3;24,8;9,2;,6;
2020-03-31;17;300,2;981,5;23,6;5,6;,5;
2020-04-30;11;120,2;983,2;22,3;7;,5;
2020-05-31;13;77,4;984,5;20;4,7;,5;
2020-06-30;5;4,2;985,8;20,6;3;,5;
2020-07-31;2;,8;985,8;20,8;3,5;,8;
2020-08-31;4;24;986,5;20,7;4;,7;
2020-09-30;5;37,8;983,5;24,1;5,7;,6;
2020-10-31;14;139,8;980,6;23,8;7;,6;
