Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;207,4;905,4;22,5;6;1,5;
2010-02-28;12;101;905,5;22,7;5,7;1,5;
2010-03-31;20;186;904,8;22;6,2;1,5;
2010-04-30;8;80;906,8;20,3;7,3;1,3;
2010-05-31;8;9,8;906,8;18,8;5,6;1;
2010-06-30;9;16;909,9;16,7;5,9;1;
2010-07-31;0;0;910,1;18,2;7,9;1,4;
2010-08-31;null;0;909,4;18,8;6,1;1,4;
2010-09-30;5;39,2;907;21,7;7,8;1,9;
2010-10-31;15;155,4;904,6;22,1;8,1;1,8;
2010-11-30;22;247,2;903,2;21,2;10,2;2;
2010-12-31;18;212,8;901,9;22,6;9,9;1,9;
2011-01-31;14;142,2;903,4;21,9;7,2;2,1;
2011-02-28;null;null;904,6;22,5;5,5;1,5;
2011-03-31;null;null;904;21,2;5,4;1,5;
2011-04-30;6;null;906,5;20,6;7,4;1,5;
2011-05-31;9;1,8;907,5;18,6;5;1,1;
2011-06-30;8;11;908,3;16,9;9,6;1;
2011-07-31;2;,4;908,8;17,9;5,8;1,3;
2011-08-31;0;0;908,1;20,4;8,6;1,5;
2011-09-30;1;17,6;908,2;21,6;6,5;1,8;
2011-10-31;18;158,2;904,9;20,8;8,2;1,9;
2011-11-30;10;126,4;904,3;20,8;7,9;2,1;
2011-12-31;25;529;903,7;21;6,8;1,7;
2012-01-31;26;247,6;904,8;20,7;6,7;1,8;
2012-02-29;11;74,8;905,4;22,1;6,6;1,6;
2012-03-31;14;94,2;905,9;21,6;5,9;1,4;
2012-04-30;19;40,6;905,9;21,2;5,3;1,3;
2012-05-31;10;12,6;908,3;18;7,4;1,4;
2012-06-30;13;85;908,9;18,5;6,9;1,3;
2012-07-31;2;,4;909,2;17,6;6,3;1,4;
2012-08-31;null;0;911,1;18,2;7,4;2,1;
2012-09-30;6;44,6;908,3;21,5;6,6;1,9;
2012-10-31;10;95,4;905,4;23,2;7,8;1,8;
2012-11-30;20;223,6;903,3;22;6,4;1,9;
2012-12-31;19;183,2;904,4;22,7;6,1;1,5;
2013-01-31;19;296,4;904,7;21,6;7,3;1,8;
2013-02-28;14;103,2;905,4;22,4;5,5;1,3;
2013-03-31;20;198,8;905,7;21,9;6,7;1,5;
2013-04-30;19;117,4;907;19,7;4,7;1,2;
2013-05-31;11;79;907,7;18,9;5,3;1,2;
2013-06-30;15;23,4;908,7;18,6;5;1,1;
2013-07-31;2;,4;909,8;17,6;5,7;1,4;
2013-08-31;2;4,8;908,7;18,6;6,2;1,4;
2013-09-30;4;15;907,6;20,9;8,9;1,9;
2013-10-31;13;155,8;906,1;21,3;6,3;1,7;
2013-11-30;16;234;904,3;21,7;6,1;1,4;
2013-12-31;25;278;902,9;22,2;6,2;1,7;
2014-01-31;14;80;906,4;22,1;6,2;1,3;
2014-02-28;7;80,2;905,5;22,4;5,9;1,4;
2014-03-31;16;116,6;906,1;21,7;5,4;1,2;
2014-04-30;18;93;906,6;20,9;6,9;1,1;
2014-05-31;11;19,8;907,6;18,4;4,9;,9;
2014-06-30;8;2;909,1;17,9;5,7;1;
2014-07-31;8;80;911;17,1;6,7;1,1;
2014-08-31;0;0;909,5;19,2;6,2;1,1;
2014-09-30;3;8,2;907,3;22,1;7,1;1,6;
2014-10-31;7;89,2;906,6;22,8;8,1;1,7;
2014-11-30;21;299;904,6;21,9;6,6;1,5;
2014-12-31;20;208,6;905,4;21,7;6,4;1,5;
2015-01-31;8;66,6;906,5;23,2;7;1,2;
2015-02-28;20;272,4;905,9;21,7;6,6;1,5;
2015-03-31;26;274,6;906;21,1;5,8;1,2;
2015-04-30;22;100,6;906,4;21;5,3;,9;
2015-05-31;20;130,6;908,4;18,6;6,1;1,1;
2015-06-30;15;43,6;910,6;17,8;6,6;1;
2015-07-31;4;3,2;909,8;18,4;5,9;1;
2015-08-31;0;0;909,2;19,2;5,9;1,1;
2015-09-30;7;79,8;906,4;22,4;7,3;1,3;
2015-10-31;7;50,8;906;24,5;7,2;1,4;
2015-11-30;19;204,4;904,4;23,2;8,2;1,4;
2015-12-31;23;110,8;906,3;22,6;6,2;1,3;
2016-01-31;26;381,6;904,1;22,2;7,3;1,7;
2016-02-29;16;113,2;906,5;22,8;8,1;1,2;
2016-03-31;17;82,2;907,2;22,5;7,7;1;
2016-04-30;1;1,8;907,1;21,5;5,9;,9;
2016-05-31;1;,6;908,8;19,6;4,8;,9;
2016-06-30;null;null;910,2;17,7;4,7;,9;
2016-07-31;null;0;909,6;18,2;6,3;1;
2016-08-31;0;0;908,5;19,6;6,3;1,3;
2016-09-30;1;,2;907,3;22,3;7,6;1,3;
2016-10-31;null;null;905,3;22,7;9,1;1,5;
2016-11-30;17;219,6;904,6;21,3;5,6;1,3;
2016-12-31;13;null;null;21,4;5,9;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;3;null;null;null;null;null;
2017-03-31;11;111,8;905,8;22;5,3;,9;
2017-04-30;12;48;906,8;21,3;5,5;,9;
2017-05-31;4;null;null;19,6;5,8;null;
2017-06-30;3;null;null;17;4,7;null;
2017-07-31;null;null;null;15,5;5,5;null;
2017-08-31;null;null;null;null;5,9;null;
2017-09-30;null;null;null;null;5;null;
2017-10-31;11;146,6;905,7;23;6,6;1,3;
2017-11-30;18;191,2;904,2;21,4;5,9;1,4;
2017-12-31;19;332,8;904;21,7;5,9;1,2;
2018-01-31;19;175,2;905,1;22;5,5;1,1;
2018-02-28;18;285,6;904,5;21,7;6,1;,8;
2018-03-31;12;186,6;905;22,5;4,8;,8;
2018-04-30;2;null;null;null;null;null;
2018-05-31;5;null;908,8;17,3;4;,5;
2018-06-30;1;,2;909,8;18,3;5,1;,5;
2018-07-31;0;0;909,8;17,6;5,1;,6;
2018-08-31;2;19,8;909,1;19,2;6;,8;
2018-09-30;7;35,6;906,1;21,5;5,9;1,2;
2018-10-31;19;283;905,2;22,4;5,9;1,1;
2018-11-30;24;377,2;905;21,2;5,5;1,3;
2018-12-31;18;259,4;905,5;22,1;5,7;1,1;
2019-01-31;13;93;907,2;22,8;7,3;,9;
