Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;157,4;915,5;23,8;6,9;2,2;
2010-02-28;13;89;915,6;24,2;6,6;2,1;
2010-03-31;18;106,8;914,7;23,3;8;1,8;
2010-04-30;5;14;916,9;21,5;6,7;1,4;
2010-05-31;8;31,6;916,9;19;5,1;1;
2010-06-30;4;3,2;920,3;17;6,8;1,2;
2010-07-31;3;5,2;920,7;18,7;6,8;1,6;
2010-08-31;null;0;919,8;19,4;6,1;1,7;
2010-09-30;6;44,6;917,5;21,7;8,2;1,8;
2010-10-31;11;112;914,7;22,1;10;1,3;
2010-11-30;18;180,4;913,1;22,1;8,2;1,9;
2010-12-31;19;201,4;911,5;23,6;6,8;1,5;
2011-01-31;19;261,8;913,2;23,2;7,6;2;
2011-02-28;10;146,4;914,5;24;9,3;1,4;
2011-03-31;20;420,8;914,1;22;6,3;1,1;
2011-04-30;16;34;916,6;21,6;5,8;1;
2011-05-31;4;1;917,7;18,8;4,8;,6;
2011-06-30;3;1,2;918,5;17,2;8,9;,9;
2011-07-31;0;0;919,1;18,4;7,8;1,1;
2011-08-31;1;2,4;918,3;21,2;8,3;1,8;
2011-09-30;1;,4;918,8;21,7;7,4;2,1;
2011-10-31;15;142;915;21,6;7,2;2,2;
2011-11-30;13;184;914,6;21,2;9,1;2,2;
2011-12-31;24;435,4;913,6;21,9;6,6;1,8;
2012-01-31;26;515,6;914,8;21,6;8;1,7;
2012-02-29;10;99,4;915,5;23,2;9,1;1,6;
2012-03-31;15;126,8;916;22,6;6,7;1;
2012-04-30;12;63,8;916;21,8;7,2;1,2;
2012-05-31;8;30,6;918,5;18,4;7,3;1,1;
2012-06-30;10;85,8;919,2;18,9;5,9;1,2;
2012-07-31;5;5;919,6;17,8;7,6;1,4;
2012-08-31;null;0;922;18,6;7,2;2,4;
2012-09-30;6;26,4;918,7;21,7;7;2,2;
2012-10-31;5;15,8;915,7;24,2;7,7;2,4;
2012-11-30;16;190,2;913,4;22,6;8,7;2,4;
2012-12-31;17;133,4;914,2;24,2;6,2;1,9;
2013-01-31;22;288;914,8;22,7;7,1;2,2;
2013-02-28;10;130,8;915,3;23,7;6,4;1,5;
2013-03-31;19;143,6;915,8;22,7;6;1,8;
2013-04-30;13;55;917,1;20,4;5,4;1,5;
2013-05-31;9;82,2;917,9;19,1;6,7;1,3;
2013-06-30;12;44;918,9;18,9;5,4;1,2;
2013-07-31;7;34,6;920,1;17,8;6,1;1,5;
2013-08-31;2;3,4;919,1;19,3;7,1;1,7;
2013-09-30;10;67,4;917,9;21,1;9,3;2;
2013-10-31;8;80,6;916,5;21,2;5,9;2;
2013-11-30;13;167,6;914,6;22,4;6,1;2,1;
2013-12-31;23;244,8;912,7;23;9,3;1,8;
2014-01-31;9;17;916,4;24,4;8,9;2;
2014-02-28;5;44,8;915,7;24,6;5,7;2,3;
2014-03-31;10;32,8;916,2;23,4;5,4;2,1;
2014-04-30;13;88,4;916,8;21,7;6,2;1,6;
2014-05-31;6;28,8;917,8;19,1;5,3;1,4;
2014-06-30;3;10,6;919,4;19;6,7;1,4;
2014-07-31;6;55,6;921,5;18,1;7,1;1,7;
2014-08-31;1;,6;919,8;20;6,1;1,7;
2014-09-30;5;20,8;917,6;22,6;7,3;2,3;
2014-10-31;6;33,8;917,1;23,5;8,1;2,5;
2014-11-30;16;153,2;914,6;23,1;8,8;2,2;
2014-12-31;17;121;915,3;23,1;6,8;2;
2015-01-31;10;175,2;916,5;24,9;6,1;1,7;
2015-02-28;18;157,6;915,8;22,7;6,2;2;
2015-03-31;19;359,4;916;22,1;6,2;1,6;
2015-04-30;9;65,2;916,6;21,5;5,1;1,4;
2015-05-31;11;48,4;918,8;19;6,1;1,5;
2015-06-30;14;41,8;921,1;18,2;6,2;1,5;
2015-07-31;3;,6;920,1;19,3;5,9;1,5;
2015-08-31;null;null;null;19,7;6,2;null;
2015-09-30;null;null;null;null;5,7;null;
2015-10-31;3;27,6;916,3;25,3;6,2;2;
2015-11-30;15;143;914,2;24;6,8;1,7;
2015-12-31;24;250;916,2;23,4;8,3;1,9;
2016-01-31;22;320,4;914,1;22,8;6,6;2,2;
2016-02-29;2;null;null;null;null;null;
2016-03-31;4;null;null;null;null;null;
