Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;262;911,7;23,2;6,6;1,9;
2010-02-28;17;136;911,9;23,7;8;1,9;
2010-03-31;19;310,6;911;23,1;6;1,9;
2010-04-30;3;36,6;913,3;21,7;5,6;1,8;
2010-05-31;5;22;913,3;19,5;6,2;1,7;
2010-06-30;4;11;916,3;18,3;8,3;1,9;
2010-07-31;0;0;916,4;20,1;7,6;2,2;
2010-08-31;0;0;915,7;20,7;6,3;1,9;
2010-09-30;7;68,2;913,2;23,1;7,9;2,2;
2010-10-31;12;146,6;911;22,6;9,9;1,7;
2010-11-30;20;485,4;909,4;22,1;8,5;2,3;
2010-12-31;19;224,4;908,2;23,6;7,3;2;
2011-01-31;24;292,2;909,6;22,8;7,3;2,2;
2011-02-28;13;144,6;911;23,5;7,8;1,9;
2011-03-31;24;559,4;910,4;21,7;5,7;1,8;
2011-04-30;13;177,8;912,8;21,8;7,7;2;
2011-05-31;1;,2;914,1;19,4;6,4;1,8;
2011-06-30;5;27,8;914,8;17,8;11,1;2,2;
2011-07-31;1;,8;915,1;19,4;6,4;2,3;
2011-08-31;2;3,2;914,5;21,7;8,7;2,6;
2011-09-30;3;9;914,5;23,1;7,3;2,6;
2011-10-31;18;217,2;911,1;22,1;10,7;2,6;
2011-11-30;12;155,6;910,6;22;8,1;2,6;
2011-12-31;19;265;909,9;22,5;6,5;2,3;
2012-01-31;26;428,4;911,1;21,4;7,8;2,2;
