Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;7,4;953,5;24,7;5,3;1,5;
2010-02-28;null;36,8;953,2;25,3;8,8;1,5;
2010-03-31;null;18,8;953,3;24,4;8,4;1,1;
2010-04-30;null;0;954,6;23;5,1;,9;
2010-05-31;null;,2;954,6;23,3;6,5;,8;
2010-06-30;null;0;958,1;21,4;7,5;1,3;
2010-07-31;null;0;958,4;21,3;7,6;1,8;
2010-08-31;null;0;957,9;20,9;6,7;1,7;
2010-09-30;null;5,4;955,6;24,1;7,5;2,1;
2010-10-31;null;51;952,4;26,9;6,3;1,4;
2010-11-30;null;170,2;952;24,8;8,8;1,2;
2010-12-31;null;303,4;950,7;24,3;7,7;,8;
2011-01-31;null;273,8;952,2;23,8;7,1;1,1;
2011-02-28;null;44,8;952,6;24,4;5,4;1;
2011-03-31;null;83,8;952,6;23,7;5,5;1,1;
2011-04-30;null;12,6;954,4;23;6,7;1,1;
2011-05-31;null;6;955,5;20,8;4,9;1;
2011-06-30;null;0;956,6;20,5;6,2;1,1;
2011-07-31;null;0;957,2;20,1;7,9;1,6;
2011-08-31;null;0;956,6;22,4;6,9;1,6;
2011-09-30;null;0;956,9;23;7,4;2;
2011-10-31;null;59,8;952,7;25,4;6;1,7;
2011-11-30;null;349;953,3;23,3;7,8;1,4;
2011-12-31;null;243,8;952,8;23,7;8;1;
2012-01-31;null;132,2;953,4;23,7;5,1;1,2;
2012-02-29;null;82,8;953,4;23,7;6,6;1,2;
2012-03-31;null;44;953,4;24,4;6,2;1,1;
2012-04-30;null;,4;953,3;24,4;6,1;1,1;
2012-05-31;null;4,6;955,8;23,3;8,2;1,5;
2012-06-30;null;null;null;null;7;null;
2012-07-31;null;null;null;null;6,9;null;
2012-08-31;null;0;959,1;22,1;7,6;2,6;
2012-09-30;null;1,6;956,5;25,1;7;2,4;
2012-10-31;null;7,6;953,2;27,4;7;2,4;
2012-11-30;null;244;952,4;24,6;8,7;1,5;
2012-12-31;null;65,2;952;25,7;7;1,6;
2013-01-31;null;225,6;953,3;25;7,3;1,5;
2013-02-28;null;,2;952,9;25;6,2;1,5;
2013-03-31;null;109,4;953,2;25,8;6;1,5;
2013-04-30;null;118,4;954,8;23,5;5,4;1,2;
2013-05-31;null;7,6;955,5;22,7;6,4;1,4;
2013-06-30;null;0;956,7;22,3;5,7;1,6;
2013-07-31;null;0;957,8;21,9;7,2;1,9;
2013-08-31;null;0;956,8;22,8;8,3;2,3;
2013-09-30;null;,2;955,4;26,2;9,1;2,5;
2013-10-31;null;103,4;954,1;26,1;7,8;2,1;
2013-11-30;null;124;952,2;25,6;6,7;1,7;
2013-12-31;null;324,2;952,2;24,1;6,1;1,3;
2014-01-31;null;3,4;954,3;24,8;5,6;1,6;
2014-02-28;null;38,4;953,4;25,3;7,3;1,8;
2014-03-31;null;114,8;953,9;25,2;5,8;1,6;
2014-04-30;null;66,2;954,2;24,7;5,7;1,1;
2014-05-31;null;,4;955,2;24,1;6,5;1,4;
2014-06-30;null;0;957,2;22,7;6,1;1,7;
2014-07-31;null;,2;959,2;22,4;6,4;1,9;
2014-08-31;null;0;957,8;22,9;6,9;1,9;
2014-09-30;null;0;955,5;26;7,8;2,2;
2014-10-31;null;41,6;954,6;27;7,2;2,4;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;null;953,8;24,5;6,5;1,1;
2015-01-31;null;7,2;954,2;26,4;6,4;1,4;
2015-02-28;null;null;null;null;6,4;null;
2015-03-31;null;null;null;null;4,6;null;
2015-04-30;null;null;null;null;4,3;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;0;958,6;22,4;7,2;1,6;
2015-07-31;null;0;958,2;22,2;7,2;1,6;
