Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;5;22,6;918,8;23,5;11,1;2;
2010-02-28;9;43,2;918,9;23,8;7,7;2,2;
2010-03-31;21;169,6;917,8;22,8;6,5;1,8;
2010-04-30;13;49,4;919,8;20,6;6,4;1,6;
2010-05-31;21;49,4;919,9;19,4;5,1;1,5;
2010-06-30;15;11,2;923,5;16,3;4,8;1,4;
2010-07-31;9;9,4;924,3;17,6;7,3;1,8;
2010-08-31;0;0;923,4;17,6;5,7;1,7;
2010-09-30;2;3,4;921,5;19,9;5,4;2,2;
2010-10-31;14;96,2;918,2;21;6,6;2,1;
2010-11-30;25;262,6;916,6;21,2;11,2;1,8;
2010-12-31;17;360,8;914,8;22,7;8,7;1,8;
2011-01-31;13;71,4;916,9;22,4;6,9;1,9;
2011-02-28;7;93,6;917,9;23,1;7,3;1,9;
2011-03-31;20;232;917;21,6;7,4;1,6;
2011-04-30;14;118,4;919,8;20,7;6,2;1,5;
2011-05-31;5;1;920,8;18,2;5,4;1,2;
2011-06-30;8;4,6;921,7;17,3;6,3;1,3;
2011-07-31;9;10,6;922,5;17,1;8,3;1,5;
2011-08-31;4;6;921,9;19,5;6,1;1,8;
2011-09-30;3;1,6;922,8;19,4;6,2;2,4;
2011-10-31;17;167,8;918,5;19,9;8,7;2;
2011-11-30;21;303,8;918,3;19,6;6,7;2,2;
2011-12-31;24;281,6;917,2;21,3;11,2;1,8;
2012-01-31;19;244,4;918,4;21,6;6,6;2;
2012-02-29;5;111,2;919;22,2;6,9;2;
2012-03-31;9;132,8;919,2;21,8;6,7;1,6;
2012-04-30;5;10,4;919,1;21,4;5,2;1,5;
2012-05-31;12;94;921,6;18,5;6,3;1,5;
2012-06-30;9;28,8;922,4;18,5;5,4;1,1;
2012-07-31;6;6,8;922,9;17,8;6,1;1,5;
2012-08-31;14;29,2;925,3;17,4;7,7;2,4;
2012-09-30;6;26,4;922,4;20,4;9;2,1;
2012-10-31;7;48;919,6;22;8,4;2,4;
2012-11-30;24;387,6;916,9;21,2;8,9;2;
2012-12-31;10;89,6;917,3;23,6;10,2;1,6;
2013-01-31;18;236,8;918;22,6;8,6;1,9;
2013-02-28;5;43,8;918,7;22,5;9,2;1,8;
2013-03-31;14;92,8;918,9;22,5;6,7;1,9;
2013-04-30;15;55;920,1;20,1;5,9;1,5;
2013-05-31;13;34,8;920,9;18,7;4,9;1,3;
2013-06-30;17;22,4;922,2;18,1;9,2;1,2;
2013-07-31;9;2,8;923,3;18,1;5,7;1,5;
2013-08-31;6;1,6;922,6;18,7;7,8;1,9;
2013-09-30;7;39,2;921,7;20,1;6,6;2,2;
2013-10-31;17;89,6;920,1;20,4;10,7;2,3;
2013-11-30;12;61,4;918;22;7,5;2,5;
2013-12-31;24;573;915,8;22,3;9,5;1,8;
2014-01-31;10;50,6;919,8;23;9,7;2;
2014-02-28;6;12,4;919,2;22,9;7,6;2,2;
