Nome: AIMORES
Codigo Estacao: A534
Latitude: -19.53277777
Longitude: -41.09083333
Altitude: 301
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;15,4;991,7;27,8;11,7;1,4;
2010-02-28;null;40,2;991,7;28;10;,6;
2010-03-31;null;81,6;990,1;27,5;7,5;,5;
2010-04-30;null;null;null;null;0;null;
2010-05-31;null;72,4;993,1;23,3;0;0;
2010-06-30;null;null;null;21;0;null;
2010-07-31;null;null;998,8;22;9,2;,6;
2010-08-31;null;null;998;22,3;11,1;3,2;
2010-09-30;null;16;996;23,6;10,9;3,7;
2010-10-31;null;104,8;991,8;24,6;11;3,5;
2010-11-30;null;350;989,9;24,6;12,6;2,7;
2010-12-31;null;314,4;987,2;25,7;10,6;2,9;
2011-01-31;null;71,8;989,9;26,1;9,6;3,2;
2011-02-28;null;68,6;990,8;27,1;11;3,5;
2011-03-31;null;210,4;989,7;25;9,1;2,3;
2011-04-30;null;115,8;993;24,4;9,4;2;
2011-05-31;null;null;994,1;23,5;8,2;2,2;
2011-06-30;null;null;995,8;21,9;8,7;2,5;
2011-07-31;null;null;997;21,5;8,6;2,7;
2011-08-31;null;null;996,2;23,4;11,2;3,5;
2011-09-30;null;null;null;23,6;11,4;null;
2011-10-31;null;154,2;992,5;23,4;9,8;3,5;
2011-11-30;null;199,8;992,5;22,8;11,8;3,2;
2011-12-31;null;171;990,5;24,3;10,6;2,8;
2012-01-31;null;179;991,9;25,1;11,3;2,9;
2012-02-29;null;null;992,3;26,3;10,3;3,6;
2012-03-31;null;null;992;26,8;10,9;null;
2012-04-30;null;null;null;null;0;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;null;298;977,6;23,5;9,6;2,8;
2012-12-31;null;60,2;977,3;26,8;9,2;3,2;
2013-01-31;null;121,8;978,5;25,5;10,1;2,8;
2013-02-28;null;72,4;979;26,1;9,5;3;
2013-03-31;null;115,6;978,9;25,5;8,2;2,4;
2013-04-30;null;38,2;980,8;23;7,4;2;
2013-05-31;null;53,4;981,8;22,3;6,8;2;
2013-06-30;null;31,6;983,2;21,9;7;1,9;
2013-07-31;null;5,4;984,7;21,7;8,4;2,2;
2013-08-31;null;12;984,2;21,8;9,3;2,9;
2013-09-30;null;23;983,1;22,6;10,3;3,3;
2013-10-31;null;131,6;981,5;22,5;10,4;2,9;
2013-11-30;null;150;979;23,8;8,8;3,2;
2013-12-31;null;852,4;976;24,6;8,6;2,7;
2014-01-31;null;30,2;980,3;25,8;8,6;3;
2014-02-28;null;63,4;979,9;25,5;8,3;2,6;
2014-03-31;null;56,8;979,9;25,1;7,8;2,6;
2014-04-30;null;75,6;980;24,5;6,8;2,2;
2014-05-31;null;24,6;981,6;22,8;9;2;
2014-06-30;null;4,6;984;21,8;6,6;2,1;
