Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;95;931,7;24,6;9,8;2,4;
2010-02-28;8;85;931,8;25,3;8,8;2,5;
2010-03-31;13;null;930,9;23,9;7;2,2;
2010-04-30;8;54,4;933,3;22,2;8,1;2,2;
2010-05-31;5;45;933,4;20,2;9,3;1,9;
2010-06-30;2;6,6;937,1;18;6,3;1,9;
2010-07-31;0;0;937,4;19,7;8,8;2,4;
2010-08-31;0;0;936,5;20,4;7,1;2,4;
2010-09-30;5;78,2;934;22,5;10,7;2,9;
2010-10-31;14;123,2;931,1;23;11,3;2,4;
2010-11-30;21;271,6;929,7;22,6;8;2,4;
2010-12-31;19;238,8;927,9;24,2;9;2,3;
2011-01-31;6;null;null;null;8,8;null;
2011-02-28;6;null;null;24,5;9,5;null;
2011-03-31;22;426;930,5;22,5;6,2;1,5;
2011-04-30;7;158,6;933,1;22,1;8,4;1,3;
2011-05-31;2;13,4;934,3;20,2;7,6;1,3;
2011-06-30;1;22;935,2;18,6;13;1,7;
2011-07-31;0;0;935,8;19,5;6,3;1,6;
2011-08-31;null;null;934,9;21,9;10,9;2,1;
2011-09-30;null;null;null;null;7,9;null;
2011-10-31;14;null;931,2;22,1;8,7;2,2;
2011-11-30;13;159,8;931,1;21,8;12;2,4;
2011-12-31;22;328,6;930,2;22,3;8,3;2,2;
2012-01-31;17;190,2;931,3;22,5;9,8;2,4;
2012-02-29;8;77,6;932;23,9;7,2;2;
2012-03-31;16;94,2;932,5;23,1;7,6;2;
2012-04-30;7;101,2;932,4;22,8;10;1,7;
2012-05-31;12;41;935,3;19,1;9,3;1,4;
2012-06-30;7;74,4;935,8;19,9;8,6;1,2;
2012-07-31;2;2,6;936,3;19,3;6,2;1,4;
2012-08-31;null;null;938,8;19,6;8,2;2,7;
2012-09-30;null;null;null;null;6,7;null;
2012-10-31;3;null;null;null;13,2;null;
2012-11-30;21;315,6;929,9;23;8,6;2,4;
2012-12-31;13;154,4;930,5;24,9;13,7;1,9;
2013-01-31;20;305;931,2;23,3;7,6;2,2;
2013-02-28;7;155;931,7;24,4;8,5;1,4;
2013-03-31;13;95,6;932,3;23,3;8,9;1,4;
2013-04-30;null;null;933,6;21,2;6,9;1,1;
2013-05-31;8;7,4;934,5;20,4;9,9;1;
2013-06-30;10;41;935,5;20,2;6,7;,9;
2013-07-31;1;,6;936,7;19,4;8;1,3;
2013-08-31;3;13,8;935,7;20,5;7,1;1,7;
2013-09-30;7;52,8;934,6;22;13,1;2,3;
2013-10-31;10;77;933;22,4;9,3;1,8;
2013-11-30;12;227,4;931;23,2;8,2;1,9;
2013-12-31;23;218,8;929,1;23,7;10,5;1,2;
2014-01-31;9;68,4;932,8;24,6;8,8;1,9;
2014-02-28;3;9,2;932;25,2;9,6;2,3;
2014-03-31;9;null;932,6;23,5;7,1;1,4;
2014-04-30;7;75,4;933,2;22,4;8,9;,9;
2014-05-31;4;9,6;934,4;20,4;5,7;1,1;
2014-06-30;3;6,4;936,1;20,1;6,8;1,2;
2014-07-31;5;64,8;938,3;19;7,2;1;
2014-08-31;2;10,4;936,5;21;6,2;1,2;
2014-09-30;3;8,4;934,2;23,5;8,8;2,5;
2014-10-31;5;36,8;933,5;24,2;9,9;2,5;
2014-11-30;17;229,2;931,1;23,7;7,9;2,1;
2014-12-31;15;117,6;931,8;23,8;11,9;1,7;
2015-01-31;8;123;932,8;25,9;9,5;1,6;
2015-02-28;16;160,8;932,3;23,5;10,8;1,7;
2015-03-31;20;229,4;932,4;23;11,8;1,2;
2015-04-30;9;41,6;933;22,5;7,8;,9;
2015-05-31;9;40;935,4;20,1;7,7;,4;
2015-06-30;5;19,2;937,8;19,4;9,3;,8;
2015-07-31;1;1;936,8;20,6;9,3;1,6;
2015-08-31;0;0;936,3;21,6;9,2;2,2;
