Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;105,8;867,4;20,7;7,5;3,1;
2010-02-28;9;58,2;867,4;21,1;8,4;3,4;
2010-03-31;20;181,6;866,5;20,4;8,2;2,9;
2010-04-30;7;51,4;868;18,4;8,6;3,1;
2010-05-31;11;47,6;867,9;17,6;8,6;2,7;
2010-06-30;9;16,4;870,8;15;8,3;3,1;
2010-07-31;7;2,8;871,4;15,2;11,4;3,7;
2010-08-31;null;null;870,7;15,7;9,2;3,3;
2010-09-30;3;5;869,1;17,9;9,3;3,7;
2010-10-31;12;123,8;866,5;19,4;9,7;2,9;
2010-11-30;24;276,4;865,1;18,7;8,2;3;
2010-12-31;18;286,2;863,7;20,5;11,1;3;
2011-01-31;15;214,4;865,4;19,8;10,8;3,3;
2011-02-28;8;90;866,4;20,6;8;2,9;
2011-03-31;21;340;865,6;19,2;8,4;2,7;
2011-04-30;15;73,2;867,8;18,4;8,6;3,1;
2011-05-31;6;null;868,1;16,9;7,3;2,4;
2011-06-30;1;null;null;null;9,8;null;
2011-07-31;3;null;870;15,4;10,2;3;
2011-08-31;2;,6;869,7;17,9;11,6;3;
2011-09-30;2;,4;870,2;17,5;8,2;3,3;
2011-10-31;19;208,8;866,6;17,6;8,4;3,1;
2011-11-30;18;356;866,2;17,1;12,5;3,1;
2011-12-31;22;356,2;865,6;18,5;9,1;2,9;
