Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;181,6;938,2;24,8;6,8;1,9;
2010-02-28;7;25;938,1;25,6;7,7;2;
2010-03-31;16;242;937,5;24,4;9,1;1,7;
2010-04-30;7;17,4;939,5;22,5;6,2;1,7;
2010-05-31;6;39,4;939,6;21,1;6,5;1,5;
2010-06-30;7;14,8;943,4;18;5,5;1,2;
2010-07-31;0;0;943,8;19,6;7,9;2;
2010-08-31;0;0;942,9;19,8;6,6;1,8;
2010-09-30;1;8,2;940,5;23,1;8,2;2,4;
2010-10-31;10;147,2;937,3;24,3;7,2;2;
2010-11-30;22;269,2;936,3;22,9;7,6;1,7;
2010-12-31;19;293;934,4;24,6;8,7;1,7;
2011-01-31;15;123;936,3;24,4;5,9;1,9;
2011-02-28;5;54,4;937;25,8;6,8;1,9;
2011-03-31;17;207,4;936,8;23,3;7,6;1,5;
2011-04-30;5;34,8;939,4;22,6;5,9;1,7;
2011-05-31;1;,2;940,5;20,5;6,4;1,5;
2011-06-30;3;1;941,5;19,2;11,1;1,6;
2011-07-31;0;0;942,2;19,3;7,2;1,7;
2011-08-31;0;0;941,3;21,8;7,6;1,9;
2011-09-30;0;0;941,7;22,7;7,3;2,3;
2011-10-31;17;171;937,9;22,6;7,4;2,1;
2011-11-30;14;208;937,6;22,3;5,9;2;
2011-12-31;23;331,8;936,8;22,7;9,4;1,7;
2012-01-31;16;274,6;937,8;23,3;7,7;1,8;
2012-02-29;7;67,2;938,3;24,4;6,2;1,9;
2012-03-31;12;77,6;938,7;23,8;7,1;1,8;
2012-04-30;6;36,4;938,6;23,3;6,2;1,6;
2012-05-31;8;39,6;941,4;20,2;6,5;1,7;
2012-06-30;4;1,8;942,1;20,6;8;1,4;
2012-07-31;0;0;942,6;19,6;6,8;1,6;
2012-08-31;1;,4;945;20,1;7,8;2,5;
2012-09-30;4;4,2;941,5;23,4;7,4;2,1;
2012-10-31;5;10,6;938,4;25,2;7,7;2,4;
2012-11-30;10;null;null;24,4;8,5;null;
2012-12-31;13;248,4;936,7;25,7;10,9;1,6;
2013-01-31;17;304,6;937,6;24,1;6,7;1,7;
2013-02-28;7;199,4;938;24,7;8,8;1,6;
2013-03-31;17;238,6;938,5;24,2;11,2;1,6;
2013-04-30;11;75;939,9;21,9;5,2;1,3;
2013-05-31;6;42,8;940,8;20,6;5,7;1,2;
2013-06-30;4;6,8;941,8;20,4;8,1;1,1;
2013-07-31;0;0;942,9;20;6;1,4;
2013-08-31;1;1,4;942;20,9;6,3;1,7;
2013-09-30;3;77,2;940,9;22,8;9,9;2,1;
2013-10-31;11;57,4;939,3;23,5;7,8;2,1;
2013-11-30;8;108;937,1;24,5;7,3;2,2;
2013-12-31;24;525,8;935,6;23,9;7,3;1,5;
2014-01-31;7;56,2;939,1;24,8;6,9;1,7;
2014-02-28;2;1,4;938,3;25,5;7,2;2,3;
2014-03-31;8;51,8;938,9;24,4;6,7;1,8;
2014-04-30;8;38;939,3;23,5;5,4;1,4;
2014-05-31;2;1,6;940,5;21,1;5,3;1,3;
2014-06-30;1;1,6;942,4;20,1;5,9;1,2;
2014-07-31;6;24,2;944,6;19,4;8,7;1,6;
2014-08-31;1;2;942,8;21;6,4;1,5;
2014-09-30;1;1,6;940,4;24,3;6,3;2,2;
2014-10-31;5;19,4;939,7;24,9;7,4;2,3;
2014-11-30;15;121,8;937,4;24,5;7,5;1,8;
2014-12-31;14;124,8;938,1;24,7;6,3;1,6;
2015-01-31;7;71,2;938,9;26,4;9,2;1,7;
2015-02-28;13;255,6;938,7;24,4;9,5;1,5;
2015-03-31;12;111,6;938,5;24,1;7,4;1,3;
2015-04-30;10;102;939,2;23,3;5,7;1,1;
2015-05-31;5;19,8;941,6;20,8;8,3;1,4;
2015-06-30;3;,8;944;20;7,5;1,5;
2015-07-31;0;0;943,3;20,5;6,3;1,4;
2015-08-31;0;0;942,6;21,8;6,8;1,8;
2015-09-30;8;49,2;939;25,4;7,7;1,7;
2015-10-31;3;73,4;938,7;27,4;7,8;2;
2015-11-30;15;177;936,6;26,5;6,6;1,6;
2015-12-31;12;198,2;938,9;25,2;8,6;1,6;
2016-01-31;17;180,2;937,1;24,4;9,6;1,6;
