Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;35;910,6;22,3;11,8;2,2;
2010-02-28;null;41;910,6;22,5;8,4;2,3;
2010-03-31;null;219,6;909,7;22;9,2;1,8;
2010-04-30;null;39,8;911,4;20,1;5,9;1,8;
2010-05-31;null;50;911,6;19,1;5,6;1,1;
2010-06-30;null;8,4;915,1;16,3;5,3;1,5;
2010-07-31;null;16,6;915,7;17,1;7;2,4;
2010-08-31;null;,8;915;16,8;7,8;2,1;
2010-09-30;null;5,2;913,2;19,2;7,9;2,7;
2010-10-31;null;100,6;910;20,8;8;2,4;
2010-11-30;null;271,2;908,6;20,5;11,7;2,1;
2010-12-31;null;198,8;906,9;21,8;5,6;2;
2011-01-31;null;90,2;908,9;21,4;7;2,2;
2011-02-28;null;63,6;909,7;22;7,4;2,2;
2011-03-31;null;288,6;908,8;21,3;6,2;2,1;
2011-04-30;null;91,8;911,4;20;5,6;2;
2011-05-31;null;16;912,4;17,6;5,6;1,7;
2011-06-30;null;11,2;913,3;17,1;6,1;1,7;
2011-07-31;null;14,4;914,1;16,7;8;1,8;
2011-08-31;null;1,2;913,7;18,4;7,7;2;
2011-09-30;null;1,6;914,5;18,2;7,1;2,6;
2011-10-31;null;213,2;910,2;19,5;6,2;2,4;
2011-11-30;null;165,2;910,1;19;6,4;2,6;
2011-12-31;null;284,6;909,1;20,6;6,4;1,9;
2012-01-31;null;125,2;910,3;20,8;5,9;2,2;
2012-02-29;null;31,2;910,6;21,2;5,7;2,4;
2012-03-31;null;29,8;910,8;21,3;8,1;2,1;
2012-04-30;null;7,2;910,8;21,3;5,6;2;
2012-05-31;null;80;913,2;18,2;6;2;
2012-06-30;null;15,8;914;18,2;5,8;1,5;
2012-07-31;null;7,2;914,5;17,4;6;1,9;
2012-08-31;null;38,2;916,6;16,8;7,7;2,8;
2012-09-30;null;8,4;914,1;19,8;7,9;2,7;
2012-10-31;null;36,2;911,3;21,3;7,7;2,8;
2012-11-30;null;447,4;908,8;20,7;7,4;2,2;
2012-12-31;null;98,4;909,2;22,7;6,1;1,9;
2013-01-31;null;180,8;909,9;22;5,8;2,2;
2013-02-28;null;63,6;910,5;21,8;7;2,3;
2013-03-31;null;29,4;910,5;22,1;5,7;2;
2013-04-30;null;121,8;911,8;19,6;5,9;2;
2013-05-31;null;10,4;912,6;18,5;5,9;1,9;
2013-06-30;null;28,4;913,8;18,1;5,3;1,8;
2013-07-31;null;3,8;914,8;17,6;6,4;2;
2013-08-31;null;10,8;914,2;18;6,6;2,4;
2013-09-30;null;10,6;913,3;19,7;7,3;2,8;
2013-10-31;null;97,8;911,9;19,7;7,3;2,7;
2013-11-30;null;230,2;909,7;21,1;7,7;2,8;
2013-12-31;null;930;907,9;21,5;7;2;
2014-01-31;null;70,2;911,5;21,5;5,9;2,3;
2014-02-28;null;5,2;910,9;21,6;6,6;2,6;
2014-03-31;null;123,4;911,1;21;6,5;2,2;
2014-04-30;null;65,6;911,4;20,3;5,9;1,7;
2014-05-31;null;10,6;912,5;18,6;6,6;1,9;
2014-06-30;null;41,6;914,3;17,4;5,7;1,8;
2014-07-31;null;19,8;916,4;16,8;6,5;2,3;
2014-08-31;null;15,8;915;17,5;6,9;2;
2014-09-30;null;,8;913,2;19,8;6,9;2,7;
2014-10-31;null;155,6;912,4;20,7;7,6;2,6;
2014-11-30;null;228,4;910;20,9;6,6;2,3;
2014-12-31;null;130,8;910,6;21,2;5,3;2;
2015-01-31;null;14,2;911,5;22,6;5,5;2,1;
2015-02-28;null;86,6;911;21,8;5,9;2,2;
2015-03-31;null;89,4;910,7;21,8;7,4;1,9;
2015-04-30;null;75,8;911,3;20,5;6,6;1,9;
2015-05-31;null;23,6;913,5;18,4;6,1;2;
2015-06-30;null;13;915,7;17,7;6,3;2,2;
2015-07-31;null;7,6;915,3;17,8;5,8;2,1;
2015-08-31;null;11,8;914,9;18,2;6,6;2,5;
2015-09-30;null;1,2;911,8;22,4;7,1;2,4;
2015-10-31;null;55;911,8;22,8;6,5;2,6;
2015-11-30;null;196;909,2;23,8;11;2,1;
2015-12-31;null;137,4;911,2;23,1;6,2;1,9;
2016-01-31;null;420,4;909,5;21,8;8,6;2,1;
2016-02-29;null;140;911,4;22,6;5,8;1,5;
2016-03-31;null;66,6;912,1;22,2;5,7;2;
2016-04-30;null;16,4;912;21,6;5,8;2,1;
2016-05-31;null;51,8;913,7;19,1;5,1;1,5;
2016-06-30;null;null;914,3;18,3;5,9;1,5;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;21,2;5,9;null;
2016-10-31;null;47,8;910,9;21,8;6,5;2,7;
2016-11-30;null;187,2;910;21,1;7,3;2,7;
2016-12-31;null;216,4;910,2;21,3;9;2,2;
2017-01-31;null;90;910,7;22,1;7;2,2;
2017-02-28;null;204;910,8;21,1;6,2;2,2;
2017-03-31;null;60,8;910,7;21,1;6,7;1,8;
2017-04-30;null;14,4;911,9;20,4;5,4;1,8;
2017-05-31;null;28,8;912,9;18,7;5,9;1,8;
2017-06-30;null;15,8;914,8;17,8;6,5;1,9;
2017-07-31;null;19;918,2;15,3;7;2,5;
2017-08-31;null;2;914,3;16,8;5,8;2;
2017-09-30;null;6,4;915,8;18,1;6,7;3,2;
2017-10-31;null;23,6;911,4;21,8;7;2,8;
2017-11-30;null;150,4;909,6;20,5;6,1;2,3;
2017-12-31;null;268,8;909,2;20,9;6,5;2,1;
2018-01-31;null;109,2;910,2;21,8;9,1;1,9;
2018-02-28;null;120;909,5;21,4;5,8;1,9;
2018-03-31;null;54,2;909,7;21,7;5,8;1,6;
2018-04-30;null;68,2;912,6;19,4;5,5;2;
2018-05-31;null;31,4;913,9;18;5,4;1,7;
2018-06-30;null;4,4;915,1;17,7;5,5;1,4;
2018-07-31;null;6,8;915;17,2;6;1,6;
2018-08-31;null;15,6;914,5;18,6;5,4;1,9;
2018-09-30;null;21,8;911,7;20,2;6,4;2,1;
2018-10-31;null;167,4;910,4;21,6;7,8;2,1;
2018-11-30;null;160,2;910,6;20,6;6,2;2,1;
2018-12-31;null;336,4;910,5;21,1;7,3;1,7;
2019-01-31;null;48;912,2;22,4;6,6;2;
2019-02-28;null;125,8;910,1;22,9;7,9;1,5;
2019-03-31;null;111,2;911;22,3;5,7;1,6;
2019-04-30;null;77,8;911,1;21,7;6,7;1,4;
2019-05-31;null;23,4;912;20,4;5,3;1,3;
2019-06-30;null;10,4;915,6;18;6,5;1,6;
2019-07-31;null;7,2;915;16,9;6,7;1,8;
2019-08-31;null;20,6;916,3;17,7;6,2;2,1;
2019-09-30;null;8,2;913,4;20,2;5,8;2,3;
2019-10-31;null;60;911,2;21,8;6,4;2,5;
2019-11-30;null;149,8;909,3;22,7;6,5;2,1;
2019-12-31;null;142,2;910;22,1;7,3;2;
2020-01-31;16;470,8;909,2;22,5;8,5;2,1;
2020-02-29;19;159,2;910,7;22,3;5;1,5;
2020-03-31;26;189;911;20,5;5,7;1,7;
2020-04-30;21;62,8;912,3;19,9;5;1,5;
2020-05-31;19;92;913,6;17,9;5,4;1,4;
2020-06-30;26;15,8;914,8;17,2;5,4;1,3;
2020-07-31;23;18,6;914,8;17;5,7;1,5;
2020-08-31;18;21,6;914,9;16,8;5,7;1,9;
2020-09-30;4;2,4;913,4;20,3;5,6;2;
2020-10-31;null;null;null;null;5,2;null;
2020-11-30;null;null;null;null;6,4;null;
2020-12-31;4;null;null;null;4,5;null;
2021-01-31;14;132,8;910,3;21,6;10,8;1,8;
2021-02-28;19;274,2;909,2;21,1;6,3;1,7;
2021-03-31;9;null;null;21,2;5,9;null;
2021-04-30;null;null;null;null;4,8;null;
2021-05-31;null;null;null;19,4;4,5;null;
2021-06-30;null;null;913,9;17,2;5,7;1,2;
2021-07-31;null;null;915,5;16,3;4,7;1,5;
2021-08-31;null;null;915,3;17,1;5,5;1,9;
2021-09-30;null;null;912,6;20,8;5;1,9;
2021-10-31;null;null;910,9;21,3;5,9;2,1;
2021-11-30;null;null;909;20,3;5,7;1,8;
2021-12-31;14;null;908,4;20,7;6,4;1,7;
2022-01-31;7;null;909,9;21,6;6,9;1,8;
2022-02-28;null;null;909,8;21,2;5,9;1,3;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;8;null;913,2;16,9;5,7;1,1;
2022-07-31;12;5,8;915;17,3;5,1;1,7;
2022-08-31;6;null;913,9;18,3;5,4;1,8;
2022-09-30;2;2;912,8;19,7;5,6;2;
2022-10-31;10;37,6;911,4;21,5;6,4;1,9;
2022-11-30;12;98,2;909,5;20,2;6,9;1,7;
2022-12-31;14;131;908,9;20,5;6,9;1,8;
2023-01-31;22;317,8;910,3;21,1;5,6;1,5;
2023-02-28;9;15,8;910,8;22,2;4,4;1,4;
2023-03-31;2;null;911,4;22;4,4;1,6;
2023-04-30;12;107,2;910,8;20,6;5;1,5;
2023-05-31;20;24,2;913,1;18,3;4,3;1,2;
2023-06-30;22;7,8;915,2;17,1;5,3;1,2;
2023-07-31;19;29,4;915,4;17,1;4,6;1,4;
2023-08-31;16;13,8;913,3;19;5;1,5;
2023-09-30;6;null;null;20;6,9;null;
2023-10-31;null;null;null;null;5;null;
2023-11-30;2;null;null;null;5,2;null;
2023-12-31;10;127,8;909,9;23,2;11,5;1,8;
2024-01-31;19;383;909,6;22,4;5,5;1,4;
2024-02-29;22;162,8;911,5;21,6;5,4;1,5;
2024-03-31;21;142,8;910,8;22,7;8,6;1,2;
2024-04-30;19;56;911,7;20,9;4,6;1,3;
2024-05-31;14;4,2;913,1;19,8;5;1,1;
2024-06-30;5;1,6;914,9;17,9;4,6;1,3;
2024-07-31;14;null;null;null;4,6;null;

