Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;187,4;928,6;24,3;6,6;1,1;
2010-02-28;11;82,2;928,6;24,8;4,8;1,1;
2010-03-31;16;126,2;928,2;24,5;4,7;1;
2010-04-30;6;76,6;930;22,8;4;,8;
2010-05-31;1;2,2;930,2;21,6;4;,7;
2010-06-30;1;2,8;933,3;19,8;4,3;,9;
2010-07-31;0;0;933,2;21,1;5,4;1,3;
2010-08-31;0;0;932,5;21,8;5;1,2;
2010-09-30;3;28,2;929,8;25,2;8,1;1,5;
2010-10-31;12;174,6;927,8;25,1;8,5;1,1;
2010-11-30;21;229,2;926,7;23,5;5,5;1;
2010-12-31;22;305;925,4;24,2;5,6;1;
2011-01-31;20;201,8;926,7;23,6;6,1;1;
2011-02-28;15;135;927,9;24;7;,8;
2011-03-31;25;461,8;927,4;22,9;4,3;,8;
2011-04-30;11;169;929,6;23;5,3;,9;
2011-05-31;2;,4;930,8;21;4,5;,7;
2011-06-30;4;13,8;931,8;19,7;4,2;,8;
2011-07-31;0;0;932,1;20,4;5,4;1;
2011-08-31;0;0;931,4;23,1;5,8;1,4;
2011-09-30;0;0;931,1;25;6;1,4;
2011-10-31;17;265,8;928,1;23,3;5,4;1,4;
2011-11-30;12;79,8;927,5;23,6;5,4;1,4;
2011-12-31;22;267,2;927,3;23,2;5,9;1;
2012-01-31;27;261;928,3;22,6;5,7;1;
2012-02-29;13;219,6;928,6;23,8;7,9;1;
2012-03-31;13;75;929,1;23,9;4,2;,9;
2012-04-30;8;37,6;929,1;23,9;4,2;,9;
2012-05-31;7;28;931,6;20,8;5,9;,9;
2012-06-30;4;13,6;932,2;21,3;4,9;,8;
2012-07-31;1;1;932,5;20,4;5;1;
2012-08-31;null;0;934,1;21,3;5,7;1,5;
2012-09-30;null;null;null;26,2;5,2;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;13;null;926,6;24,3;5,6;1,6;
2012-12-31;16;198,8;927,6;24,9;5,6;1,2;
2013-01-31;21;385;928,1;23,6;4,9;1,4;
2013-02-28;13;118,4;928,5;24,2;7,6;1,2;
2013-03-31;19;237;928,9;24,3;4,5;1,3;
2013-04-30;13;123,4;930,3;22,3;5,2;1,1;
2013-05-31;6;24,2;931,1;21,3;4,3;1,1;
2013-06-30;8;19,8;932;21,1;4;1;
2013-07-31;0;0;933,1;20,1;4,8;1,2;
2013-08-31;0;0;931,9;21,8;5,7;1,5;
2013-09-30;5;23,8;930,7;24,1;6,6;1,7;
2013-10-31;13;156;929,2;24;6,3;1,6;
2013-11-30;14;169,6;927,4;24,1;5,5;1,4;
2013-12-31;23;122,2;926,5;24;5,2;1,5;
2014-01-31;13;86,2;929,6;24,2;5,6;1,2;
2014-02-28;12;122;928,7;23,8;6,2;1,3;
2014-03-31;22;177;929,2;23,4;5,7;1;
2014-04-30;15;110;929,8;23,4;4,5;,8;
2014-05-31;1;,2;930,9;21;4;,7;
2014-06-30;1;,2;932,4;20,3;4,5;,9;
2014-07-31;null;null;934,3;20;4,8;1;
2014-08-31;null;0;932,5;22,2;5,2;1,1;
2014-09-30;2;18;930,2;25,6;7,3;1,5;
2014-10-31;null;null;929,4;26,2;5,8;1,5;
2014-11-30;15;256,4;927,9;24,1;5,3;1,2;
2014-12-31;20;209,8;928,7;23,3;6,3;1,1;
2015-01-31;2;25,4;929,6;25,4;5,9;1;
2015-02-28;null;null;929,1;24;6,9;1,1;
2015-03-31;9;145,8;929,3;23;7,5;,9;
2015-04-30;11;171;929,7;23,8;4,4;,7;
2015-05-31;2;9,2;931,7;21,3;4,8;,9;
2015-06-30;0;0;933,8;20,5;4,5;,9;
2015-07-31;null;null;933;20,9;4,1;1;
2015-08-31;null;0;932,3;22,5;5;1,2;
2015-09-30;0;0;929,3;26;5,9;1;
2015-10-31;9;64,4;928,8;27,8;5,1;1,2;
2015-11-30;14;244,4;927,6;25,7;8,1;1,1;
2015-12-31;19;190;929,5;25;5,3;1;
2016-01-31;27;360,8;927,5;23,9;5;1;
2016-02-29;10;70,2;929,6;25,1;5,3;,9;
2016-03-31;17;81,6;930,3;24,3;6,1;,9;
2016-04-30;4;13,4;930,1;24,1;4,6;,9;
2016-05-31;4;15,4;932,1;22,5;4,3;,6;
2016-06-30;1;,2;933,6;20,5;4,1;,7;
2016-07-31;0;0;932,9;21,4;4,6;,8;
2016-08-31;2;9,2;931,7;23,1;5,4;1;
2016-09-30;3;7,2;930,3;26,1;4,9;1;
2016-10-31;6;88,6;928,4;25,9;6,5;1,3;
2016-11-30;24;209,4;927,9;23,8;5,3;1,1;
2016-12-31;18;49;928,4;24,1;6,3;1,1;
2017-01-31;18;241,8;928,9;23,9;5,1;,7;
2017-02-28;17;235,6;928,7;23,8;5;1;
2017-03-31;14;178,6;928,9;24,6;3,7;,6;
2017-04-30;10;41,4;929,8;24,1;4,7;,7;
2017-05-31;null;null;null;null;5,7;null;
2017-06-30;null;null;null;null;4,5;null;
2017-07-31;0;0;936;18,5;5,2;,8;
