Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.64277777
Longitude: -49.22027777
Altitude: 727.3
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;139,4;929,8;24,5;6,3;1;
2010-02-28;15;109,8;929,3;25;4,8;1,3;
2010-03-31;19;139,8;929,9;24,4;5,3;1,1;
2010-04-30;7;141,2;932,5;23,4;5,3;1,3;
2010-05-31;2;,4;932,9;22;4,6;1,2;
2010-06-30;2;12,8;935,7;20,7;5,7;1,4;
2010-07-31;0;0;935,4;22,1;7,5;1,9;
2010-08-31;null;0;934,8;22,6;5,8;1,7;
2010-09-30;null;null;932,6;26,5;5,9;2;
2010-10-31;14;107,8;930,5;25,5;7,7;1,5;
2010-11-30;21;241,4;929,5;24,1;6,3;1,3;
2010-12-31;23;299;928,3;24,1;7,7;1,2;
2011-01-31;17;null;929,4;24,1;5,6;1,4;
2011-02-28;20;137;930,7;23,9;5;1,1;
2011-03-31;28;183,6;930,1;23,4;4,3;1,1;
2011-04-30;14;31,2;932,1;23,7;5,1;1,4;
2011-05-31;2;,4;933,3;21,7;5,9;1,5;
2011-06-30;5;19,2;934,4;20,6;7,8;1,4;
2011-07-31;1;,2;934,5;21,1;6,9;1,4;
2011-08-31;0;0;933,8;23,7;6,4;1,7;
2011-09-30;1;1,2;933,4;25,7;6;1,9;
2011-10-31;22;268,4;930,6;23,6;6,2;1,5;
2011-11-30;17;147,8;930,2;23,8;7,5;1,3;
2011-12-31;24;322;930,1;23,3;6;1,2;
2012-01-31;21;null;930,9;23,1;6;1,1;
2012-02-29;18;370,4;931,3;23,4;6,7;1,2;
2012-03-31;18;253;931,8;23,7;9,7;1,1;
2012-04-30;18;84,8;931,8;23,8;6,2;1;
2012-05-31;8;50,6;934;21,3;6,9;1,4;
2012-06-30;6;69,2;934,8;21,8;4,8;1,2;
2012-07-31;2;6,6;935;20,8;5,6;1,4;
2012-08-31;null;0;936,2;22,3;7,5;2,3;
2012-09-30;4;51,4;933,8;25,4;6,7;1,6;
2012-10-31;7;67,2;930,7;26,4;6,4;1,6;
2012-11-30;22;332,4;929,3;24,1;5,7;1,4;
2012-12-31;18;187,6;930,1;24,8;6,7;1,3;
2013-01-31;24;383,4;930,6;23,7;4,1;1,2;
2013-02-28;19;147,6;931;24,1;4,8;1,1;
2013-03-31;18;235;931,2;24,6;5,4;1,2;
2013-04-30;10;47,2;932,5;23,1;6;1,2;
2013-05-31;6;37,4;933,3;22,2;4,7;1,1;
2013-06-30;7;9,6;934,2;22;5,6;,9;
2013-07-31;0;0;935,3;20,9;6;1,3;
2013-08-31;1;1,6;934;22,6;6,3;1,4;
2013-09-30;2;56;932,7;25,1;7,7;1,8;
2013-10-31;16;131;931,4;24,8;8;1,2;
2013-11-30;20;253,8;929,9;24;7;1;
2013-12-31;25;458,4;929,1;23,8;4,5;1,1;
2014-01-31;18;166,6;931,9;24,3;5,3;1,1;
2014-02-28;13;193,2;931;24;7,4;1,2;
2014-03-31;24;305,2;931,6;23,4;4,5;,9;
2014-04-30;13;243;932,2;23,8;4,1;1;
2014-05-31;3;14,6;933,2;21,9;4,9;1;
2014-06-30;1;,2;934,6;21,2;6,8;1,2;
2014-07-31;4;14,8;936,4;20,9;5;1,4;
2014-08-31;0;0;934,6;23,2;6,1;1,5;
2014-09-30;2;41,6;932,4;26,1;6,6;1,5;
2014-10-31;null;null;931,6;26,5;7,4;1,5;
2014-11-30;16;188;930,4;24,5;6,2;1;
2014-12-31;22;244,8;931,1;23,7;5,8;1,1;
2015-01-31;9;42;932;25,7;5,1;1,3;
2015-02-28;17;172;931,6;24;6,4;1,2;
2015-03-31;25;192,2;931,8;23,4;4,3;,9;
2015-04-30;18;133,2;932,1;24,1;5,3;,9;
2015-05-31;6;93,4;933,9;22,4;4,6;1,2;
2015-06-30;0;0;935,8;21,6;6,3;1,4;
2015-07-31;1;2,2;935,1;21,9;5,3;1,2;
2015-08-31;1;7;934,3;23,3;6,3;1,6;
2015-09-30;6;23,6;931,7;26,5;5,9;1,3;
2015-10-31;4;25,8;931,1;28;7,8;1,4;
2015-11-30;19;272,6;930,1;25,8;7,4;1,3;
2015-12-31;16;111,8;931,9;25,3;7,6;1,2;
2016-01-31;26;432,2;930,1;24;5,4;1,1;
2016-02-29;17;152,6;932,1;25,1;5,4;1;
2016-03-31;18;170;932,7;24,8;5,1;1,1;
2016-04-30;1;,2;932,3;25;4,9;1,3;
2016-05-31;5;57,8;934,3;23,4;6,3;1,1;
2016-06-30;0;0;935,8;21,5;6,6;1,3;
2016-07-31;0;0;935,1;22;5,2;1,3;
2016-08-31;3;3;933,9;23,7;5,3;1,3;
2016-09-30;6;8;932,7;26,3;5,6;1,5;
2016-10-31;11;125,6;930,9;25,5;5,8;1,3;
2016-11-30;23;120,8;930,3;24,1;5,4;1,2;
2016-12-31;22;184,4;930,8;24,4;5,4;1,3;
2017-01-31;15;141,2;931,3;24,6;5;1,2;
2017-02-28;18;166,4;931,1;24,1;5;1,1;
2017-03-31;19;225,2;931,4;24,4;4,1;1;
2017-04-30;11;124,4;932,2;24,5;3,8;1;
2017-05-31;4;55,4;933,2;23,3;4,1;1,1;
2017-06-30;2;5,6;935,1;21,5;6,6;1,5;
2017-07-31;0;0;937,9;19,6;6,9;1,9;
2017-08-31;0;0;933,6;23,7;5;1,1;
2017-09-30;1;8,4;934;25,2;6,2;1,9;
2017-10-31;5;42;930,6;27,1;4,9;1,5;
2017-11-30;22;240,8;929,8;24,4;4;1,1;
2017-12-31;25;258,6;930,1;23,7;4,5;1;
2018-01-31;20;157,6;930,9;24,2;5,8;1,1;
2018-02-28;18;242,8;930,4;24,1;4,3;1;
2018-03-31;19;209;930,9;24,5;7,4;,9;
2018-04-30;13;134,2;933,1;23,2;4,6;1,2;
2018-05-31;2;9,4;934,4;21,6;5,1;1,2;
2018-06-30;0;0;935,4;21,7;4,3;1;
2018-07-31;0;0;935,3;21,2;5,6;1,2;
2018-08-31;2;18,8;934,5;23,9;6;1,3;
2018-09-30;6;38;931,5;25,3;4,5;1,2;
2018-10-31;20;148,6;930,8;25,4;7,1;1,1;
2018-11-30;17;null;930,4;23,8;4,3;1;
2018-12-31;17;185;931,4;24,7;5,2;1,1;
2019-01-31;13;64;932,7;25,2;5,2;1,2;
2019-02-28;21;222,4;931,3;24,6;5,2;1;
2019-03-31;22;135,6;932,2;24,4;4,7;1;
2019-04-30;15;265;932,2;24,1;4,7;,8;
2019-05-31;10;44,4;933;23,2;3,4;,9;
2019-06-30;0;0;935,9;21,4;4,7;1,2;
2019-07-31;1;,4;935,4;20,9;5;1,2;
2019-08-31;0;0;935,7;23,9;6,1;1,3;
2019-09-30;2;18,8;932,2;27,4;5,1;1,2;
2019-10-31;9;76,2;930,8;26,8;5;1,2;
2019-11-30;19;167,8;929,8;25,5;6,4;1;
2019-12-31;19;185,8;930,6;24,8;4,8;1;
2020-01-31;23;343,4;930,4;24,7;4,9;1;
2020-02-29;24;442,2;931,6;24,2;5,4;,8;
2020-03-31;14;120;931,4;24,5;4,2;,9;
2020-04-30;12;null;933;23,8;4,1;,9;
2020-05-31;3;9,4;934,6;21;4,5;,9;
2020-06-30;0;0;935;21,5;5,7;1;
2020-07-31;0;0;934,8;21,8;4,6;1,1;
2020-08-31;0;0;934,3;23,1;5;1,5;
2020-09-30;1;1;932,6;26,8;5,2;1,4;
2020-10-31;9;95;930,4;26,5;4,5;1,1;
2020-11-30;13;181,8;930,7;25;6,5;1,1;
2020-12-31;14;196,2;930,5;25,1;4,5;,9;
2021-01-31;16;237,2;930,7;24,7;5,2;,9;
2021-02-28;22;483,4;930;23,7;3,9;,9;
2021-03-31;19;213;931,5;23,5;3,8;,7;
2021-04-30;6;131;932;23,2;4,8;,9;
2021-05-31;0;0;934;22,2;5;,9;
2021-06-30;1;,2;934,7;21,1;4,3;,9;
2021-07-31;0;0;936,1;20,1;4,4;1,1;
2021-08-31;1;9,4;934,4;23,7;4,5;1,2;
2021-09-30;3;3;931,9;27,3;6,4;1,1;
2021-10-31;10;null;930,5;26,1;8,5;1;
2021-11-30;25;250;929,8;24;3,9;,8;
2021-12-31;25;200,2;928,8;24,2;4,2;,8;
2022-01-31;null;null;930,4;24;4;1;
2022-02-28;null;null;930,8;24,1;5,5;,8;
2022-03-31;10;null;931,1;24,7;4,5;,8;
2022-04-30;5;14,2;931,7;24,6;4,1;,9;
2022-05-31;1;3,6;934;21,4;4,2;1;
2022-06-30;1;3,4;934;21,5;4;1;
2022-07-31;0;0;934,9;21,6;4,5;1;
2022-08-31;0;0;934;23,5;5;1,3;
2022-09-30;5;29,4;932,1;26;4,1;1,2;
2022-10-31;13;101,4;931,1;25,5;6,8;1;
2022-11-30;16;136,4;930,1;23,7;4,7;1,1;
2022-12-31;24;443,2;929,6;23,5;5,6;,8;
2023-01-31;29;358;931,2;23,3;6;,8;
2023-02-28;19;173;931,6;24,7;4;,8;
2023-03-31;20;151,2;932,1;23,9;4,3;,7;
2023-04-30;16;151,4;931,8;23,6;3,9;,8;
2023-05-31;3;1,2;933,9;21,9;3,9;,8;
2023-06-30;1;12,6;935,6;21;3,2;,8;
2023-07-31;0;0;935,5;21,7;4,9;,8;
2023-08-31;5;18,6;933,5;24;5,1;,9;
2023-09-30;12;37,4;932;27;5,4;1;
2023-10-31;17;77,6;930,4;27,6;6,2;,9;
2023-11-30;13;169,2;930,3;27;5;,9;
2023-12-31;20;219,6;930,5;25,9;4,9;,9;
2024-01-31;19;123,6;930,9;25,1;4,8;,7;
2024-02-29;21;290;932,2;24,7;4;,8;
2024-03-31;23;247,6;931,8;25,1;5,1;,7;
2024-04-30;13;154,2;932;25,3;4,1;,7;
2024-05-31;1;,2;933,8;23,2;3,9;,8;
2024-06-30;0;0;935,1;22,1;4,1;,9;
2024-07-31;null;null;null;null;3,9;null;

