Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.57555554
Longitude: -41.48555555
Altitude: 271.63
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;2;9,2;981,8;29;6,1;2,2;
2010-02-28;8;31,2;981,9;28,6;7,1;2,1;
2010-03-31;23;298,8;981,4;25,9;7,1;1,2;
2010-04-30;13;32,8;983,4;24,8;5;1,2;
2010-05-31;4;18,6;983,9;24,3;3,8;1,3;
2010-06-30;1;,2;988,2;21,7;4,6;1,4;
2010-07-31;7;5,2;988,8;22,6;6,1;1,7;
2010-08-31;1;3,2;988,4;22,8;5,5;2,1;
2010-09-30;3;3;985,9;25,1;6,8;2,6;
2010-10-31;4;52;982,1;26,7;5,3;2,2;
2010-11-30;18;169,8;980,5;25,7;5,1;1,6;
2010-12-31;16;180,6;978,8;25,8;6,1;1,5;
2011-01-31;10;48,6;980,7;26,1;5,5;1,4;
2011-02-28;7;29;981,2;27,5;6,2;1,7;
2011-03-31;14;149,4;980,5;26,2;6,1;1,1;
2011-04-30;15;88,2;983,3;24,5;5,3;1,1;
2011-05-31;3;1,2;985;23,1;5;,7;
2011-06-30;1;1;986,3;22,9;4,4;,9;
2011-07-31;3;7,6;987,2;22,6;5,1;1,2;
2011-08-31;1;,2;986,6;24,4;4,6;1,4;
2011-09-30;0;0;987,6;24,2;5,2;1,4;
2011-10-31;12;70,6;982,4;25,7;5,7;1,2;
2011-11-30;11;133,8;982,7;24,4;8,1;1,1;
2011-12-31;12;183,2;981,3;25,5;6;,9;
2012-01-31;10;142,6;982,4;25,5;7,6;,9;
2012-02-29;5;null;null;26,7;5,5;null;
2012-03-31;5;8,6;982,5;27,6;7;1,3;
2012-04-30;4;3,6;982,4;27,8;4,8;1,5;
2012-05-31;11;50,4;985,7;24;4,8;1,2;
2012-06-30;0;0;986,6;24,4;4,5;1,1;
2012-07-31;5;5,6;987,4;23,2;5,2;1,3;
2012-08-31;12;18,2;989,7;22,8;6,8;1,4;
2012-09-30;1;7,4;986,9;25,5;5,1;1,9;
2012-10-31;4;5,8;983,5;26,9;6;2,3;
2012-11-30;20;307,6;980,8;25,6;5,3;1,1;
2012-12-31;4;47;980,7;27,7;4,9;1,3;
2013-01-31;12;182,8;981,7;27;6,3;1,3;
2013-02-28;2;3;982;27,8;4,9;1,4;
2013-03-31;8;22,2;981,9;28,5;5,4;1,6;
2013-04-30;7;29,4;983,8;25,9;6,2;1,4;
2013-05-31;2;2,8;984,9;25;4,6;,6;
2013-06-30;5;12,6;986,4;24,1;3,7;,2;
2013-07-31;1;1,2;987,9;23,4;5,1;1,6;
2013-08-31;5;4,6;987,2;23,8;5,9;2,4;
2013-09-30;4;5,4;986;25,3;7,4;2,6;
2013-10-31;7;61;984,4;25,4;6,6;2,5;
2013-11-30;11;59;981,7;26,6;8,7;2,2;
2013-12-31;22;234,2;980;25,8;7,1;1,8;
2014-01-31;11;52,8;983,4;26,2;4,8;1,8;
2014-02-28;6;4,8;982,6;27,2;5,5;2,2;
2014-03-31;9;20,6;982,8;27,5;6,1;2,1;
2014-04-30;4;5,4;983,1;27,2;5,2;2;
2014-05-31;4;3;984,7;25,3;5,5;2;
2014-06-30;8;18,6;987,1;23,6;5,6;1,8;
2014-07-31;3;15,4;989,6;23;5,8;1,9;
2014-08-31;2;,6;988,1;23,5;5,9;2,1;
2014-09-30;1;1,4;985,9;25,8;6,1;2,4;
