Nome: CATALAO
Codigo Estacao: A034
Latitude: -18.154779
Longitude: -47.927614
Altitude: 900.72
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;256,6;913,5;23,7;5,8;2;
2010-02-28;13;117;913,4;24,8;6,1;2,2;
2010-03-31;16;170;912,9;23,9;5,6;1,8;
2010-04-30;3;29,6;914,8;22,8;5,6;2;
2010-05-31;2;,8;914,9;21,7;6,4;1,8;
2010-06-30;4;13,2;917,9;19,9;6,2;2,1;
2010-07-31;0;0;917,9;21;7,3;2,8;
2010-08-31;0;0;917,3;22,1;7,9;2,6;
2010-09-30;4;27,4;914,8;24,6;7,1;3,1;
2010-10-31;17;129,8;912,6;24,5;5,8;2;
2010-11-30;19;250;911,4;22,7;5,4;1,8;
2010-12-31;20;323,2;910,1;24;5,5;1,7;
2011-01-31;22;201,6;911,4;23,3;6,2;1,9;
2011-02-28;15;188;912,7;24,2;5,8;1,6;
2011-03-31;25;388,8;912,1;22,3;5,8;1,6;
2011-04-30;11;138;914,4;22,7;5,9;1,9;
2011-05-31;0;0;915,5;21,1;5,8;1,4;
2011-06-30;2;20,4;916,4;19,8;6,3;1,7;
2011-07-31;0;0;916,7;20,8;6,8;2,2;
2011-08-31;0;0;916,1;23,5;7,3;2,6;
2011-09-30;0;0;916;24,7;7,2;2,7;
2011-10-31;18;112,8;912,8;22,4;6,7;2,2;
2011-11-30;11;119;912,3;22,9;5,7;2,2;
2011-12-31;25;422,4;911,9;22,4;5,3;1,6;
2012-01-31;20;334,8;912,9;22;5,8;1,8;
2012-02-29;11;84,6;913,4;23,9;6,5;2;
2012-03-31;16;224,2;913,9;23,5;5,9;1,8;
2012-04-30;11;78,8;913,9;23,3;5,1;1,7;
2012-05-31;7;25,6;916,3;20,3;5,4;2;
2012-06-30;3;65,4;916,9;21,2;5,2;1,8;
2012-07-31;1;10,2;917,2;20,7;6,3;2,1;
2012-08-31;null;0;918,9;20,9;7,5;2,9;
2012-09-30;3;31,6;916,2;24,6;6,9;2,5;
2012-10-31;7;65;913,2;25,7;7,1;2,5;
2012-11-30;19;300,2;911,3;23,6;6,1;2;
2012-12-31;16;78,6;912,4;24,9;6;1,7;
2013-01-31;6;null;null;null;6,5;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;3;null;null;null;null;null;
2013-04-30;12;143,4;915;21,8;5,3;1,7;
2013-05-31;3;35;915,7;21,5;5,8;1,8;
2013-06-30;5;21,8;916,7;21,2;5,3;1,8;
2013-07-31;0;0;917,8;20,5;5,5;2,1;
2013-08-31;0;0;916,7;21,9;6,3;2,4;
2013-09-30;6;33,6;915,5;23,4;7,6;2,6;
2013-10-31;14;152,2;914;23,6;7,8;2,3;
2013-11-30;16;151,6;912,2;23,6;7,2;2;
2013-12-31;22;471,8;911,1;23,2;4,9;1,7;
2014-01-31;13;202;914,4;24,2;7,9;1,9;
2014-02-28;11;137,6;913,5;24,2;5,9;2,2;
2014-03-31;18;117,4;914;23,3;5,5;1,9;
2014-04-30;13;166;914,6;22,9;4,9;1,5;
2014-05-31;1;2,2;915,6;21,5;5,6;1,6;
2014-06-30;1;,8;917;21,1;5,5;1,9;
2014-07-31;6;62,2;919;20,2;6;2,2;
2014-08-31;0;0;917,4;23;6,9;2,1;
2014-09-30;4;30,2;915,1;24,8;7,5;2,5;
2014-10-31;4;16,8;914,3;25,7;6,8;2,5;
2014-11-30;21;302,8;912,7;23,4;5,4;1,9;
2014-12-31;23;316,6;913,4;22,9;6,9;2,1;
2015-01-31;8;94;914,5;25,8;5,8;1,8;
2015-02-28;16;221,4;913,9;23,5;5,8;2;
2015-03-31;27;349;914;22,7;6,9;1,6;
2015-04-30;23;112,6;914,4;23,1;4,9;1,6;
2015-05-31;null;null;916,4;20,9;5,7;1,9;
2015-06-30;1;,4;918,5;20,4;6,7;2,2;
2015-07-31;2;7,6;917,7;21,3;6;2,2;
2015-08-31;0;0;917,1;22,7;6,3;2,5;
2015-09-30;5;87,6;914,2;25,8;6,2;2;
2015-10-31;null;null;null;null;5,5;null;
2015-11-30;11;null;null;24,8;5,8;null;
2015-12-31;19;148,4;914,3;24,4;5,8;1,8;
2016-01-31;23;323,6;912,1;23,4;5,7;2,1;
2016-02-29;19;257,6;914,4;24,6;7,1;1,6;
2016-03-31;13;216;915,1;24,2;7,5;1,7;
2016-04-30;2;18;915;24,6;5,8;1,8;
2016-05-31;3;5,6;916,8;22,7;5,1;1,7;
2016-06-30;1;9,4;918,2;20,7;5;1,6;
2016-07-31;1;,2;917,6;22;5,9;2;
2016-08-31;2;4,2;916,4;23,1;6,8;2,3;
2016-09-30;3;15,2;915,3;25,6;6,9;2,1;
2016-10-31;12;51;913,2;25,3;6,4;2,4;
2016-11-30;25;236,8;912,6;22,8;6,1;2,1;
2016-12-31;15;225,6;913,1;23,7;6,3;2,2;
2017-01-31;20;268,4;913,6;23,8;6,6;1,4;
2017-02-28;13;197;913,5;23,6;7,1;2,1;
