Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;253,6;997,3;25,8;3,4;1,1;
2010-02-28;19;null;996,5;26,2;5,1;1,2;
2010-03-31;7;null;null;null;4,1;null;
2010-04-30;16;null;997,3;26,6;3,8;1,1;
2010-05-31;16;94,4;997,4;26,9;5,1;1;
2010-06-30;9;32,4;999,4;26,4;4,1;1;
2010-07-31;1;,2;998,9;26,2;4,2;1,1;
2010-08-31;3;14;998,7;26,4;4,1;1,2;
2010-09-30;1;11,4;997;28;4,6;1,4;
2010-10-31;11;null;997,2;27,4;4,6;1,4;
2010-11-30;null;null;null;null;3,1;null;
2010-12-31;3;null;null;null;3,6;null;
2011-01-31;27;375,6;996,2;25,2;3,6;1,2;
2011-02-28;24;257,6;997,2;25,3;5,3;1,2;
2011-03-31;22;368,2;996,9;25,6;4,2;1,2;
2011-04-30;29;322,6;997,5;25,5;3,9;1,1;
2011-05-31;19;172,6;997,5;26,1;4,3;1;
2011-06-30;null;null;998,6;26,1;3,9;1;
2011-07-31;null;null;998,7;25,6;5,1;1,1;
2011-08-31;null;null;998,7;26,6;4,5;1,2;
2011-09-30;null;0;998,3;27,7;3,8;1,4;
2011-10-31;12;44,2;996;27;3,9;1,3;
2011-11-30;17;207,6;996,4;26,1;4,6;1,2;
2011-12-31;13;65,4;996,4;26,4;4,1;1,2;
2012-01-31;26;279,4;997,3;25,1;4,6;1,1;
2012-02-29;19;276;997,1;25,1;5,9;1,1;
2012-03-31;26;236;997,7;25,7;4,8;1,2;
2012-04-30;15;137,6;997,3;26,4;4;1,1;
2012-05-31;17;76,6;998,2;26,2;3,6;1;
2012-06-30;9;38,6;999,5;25,6;4,5;1;
2012-07-31;2;20,8;999;25,6;3,7;1;
2012-08-31;1;,2;999,5;26,1;4,6;1,2;
2012-09-30;3;20,4;999,1;27,5;4,9;1,4;
2012-10-31;6;17;996,7;27,4;4,4;1,4;
2012-11-30;11;57,8;996,3;27;4,2;1,2;
2012-12-31;16;139,8;996,4;26;3,7;1,1;
2013-01-31;22;114,4;997,7;25,7;5,3;1,2;
2013-02-28;20;97;996,8;25,9;4,4;1,1;
2013-03-31;17;119;997,5;26,4;4,1;1,2;
2013-04-30;21;112,8;998,1;26,2;3,3;1,1;
2013-05-31;10;53,2;998,4;26,4;3,8;1,1;
2013-06-30;null;null;999;26;3,7;1;
2013-07-31;6;4;999,7;26,1;3,9;1,1;
2013-08-31;3;2,8;998,3;26,7;4,1;1,2;
2013-09-30;7;27,6;998,1;27;4,5;1,4;
2013-10-31;5;54;997,5;26,8;4,9;1,3;
2013-11-30;7;21,6;996,1;26,1;3,7;1,2;
2013-12-31;11;24,4;996,7;26,3;4,1;1,1;
2014-01-31;null;null;997,9;25,5;3,8;1,2;
2014-02-28;2;null;997,1;25,4;4,6;1,1;
2014-03-31;null;null;997,8;25,7;5,2;1,2;
2014-04-30;null;null;998,2;26;4,2;1,2;
2014-05-31;null;null;998,2;26,4;6,3;1,1;
2014-06-30;null;0;998,8;26,3;3,8;1;
2014-07-31;0;0;1000,6;26,1;3,8;1,1;
2014-08-31;null;null;999,4;26,5;3,8;1,2;
2014-09-30;null;null;998,6;26,7;5,3;1,4;
2014-10-31;2;42,6;997,7;26,7;4,2;1,4;
2014-11-30;12;103;996,8;26,6;6,5;1,3;
2014-12-31;16;367,4;997,4;26;3,5;1,3;
2015-01-31;11;null;998,5;25,6;6,1;1,3;
2015-02-28;22;246,2;998,3;25,3;4,8;1,3;
2015-03-31;24;414,6;998,1;25,7;5,6;1,2;
2015-04-30;17;129,8;998,3;26,3;3,6;1,2;
2015-05-31;18;58,8;998,7;26,5;3,7;1,1;
2015-06-30;9;10,6;999,9;26,3;3,8;1,1;
2015-07-31;10;60;999,6;26,2;4,8;1,2;
2015-08-31;5;16,8;998,8;26,8;4,2;1,3;
2015-09-30;2;9,8;998,2;27,7;6,1;1,7;
2015-10-31;5;10,8;997,6;28,5;7,2;1,7;
2015-11-30;null;null;996,6;27,6;5,2;1,4;
2015-12-31;null;null;997,9;26,9;5,4;1,3;
2016-01-31;13;4,8;998,1;26,1;3,7;1,3;
2016-02-29;12;147,4;997,7;27;4,8;1,3;
2016-03-31;11;null;null;26,6;6,4;null;
2016-04-30;5;null;null;27,2;7,7;null;
2016-05-31;12;94;999,2;26,7;4,9;1,1;
2016-06-30;4;24,6;1000,4;26,3;5,2;1,1;
2016-07-31;10;14,8;999,6;26,3;4,2;1,1;
2016-08-31;2;null;999,2;27;4,5;1,5;
2016-09-30;1;null;999;null;6,3;1,6;
2016-10-31;1;null;null;null;4,2;null;
2016-11-30;2;null;null;null;4,7;null;
2016-12-31;16;135,6;997;26,1;4,6;1,2;
2017-01-31;20;267,2;997,8;25,7;6,5;1,3;
2017-02-28;23;487,2;997,9;25,3;5,2;1,3;
2017-03-31;22;359,2;997,9;25,8;5,4;1,3;
2017-04-30;18;265,6;997,8;26,4;5,3;1,2;
2017-05-31;10;114;998,3;26,8;4,5;1,2;
2017-06-30;2;8,2;999;26,3;4,3;1,1;
