Nome: ARAGUAINA
Codigo Estacao: A021
Latitude: -7.10388888
Longitude: -48.20111111
Altitude: 230.76
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;22;186,8;984,4;25,1;4,2;,7;
2010-02-28;22;223,2;983,7;25,4;5,3;,8;
2010-03-31;22;155;984,3;25,8;5,2;,7;
2010-04-30;18;270,4;984,4;26,1;4,6;,8;
2010-05-31;9;17,4;984,6;26,4;4,7;,7;
2010-06-30;7;62,6;986,7;25,2;7,2;1;
2010-07-31;1;,2;986,3;25;6,7;1,2;
2010-08-31;null;0;985,9;25,2;8,4;1,2;
2010-09-30;0;0;984;27;7,2;1,3;
2010-10-31;15;174,8;983,8;26,2;6,2;1;
2010-11-30;17;180,2;982,6;26;6,7;,8;
2010-12-31;17;217,8;982,3;25,3;5,5;,8;
2011-01-31;23;279,6;983,3;24,7;6,9;,8;
2011-02-28;26;291,4;984,3;24,4;9,1;,8;
2011-03-31;20;231,2;984;25;4,2;,7;
2011-04-30;22;201,6;984,5;24,9;3,8;,7;
2011-05-31;12;91,4;984,8;25,3;6,1;,9;
2011-06-30;1;,4;985,9;25,1;6,9;,9;
2011-07-31;2;6,8;986;24,3;6,8;1,1;
2011-08-31;2;3,6;985,7;25,7;5,4;1,1;
2011-09-30;2;26,2;985,3;26,6;7,3;1,2;
2011-10-31;18;154,2;983,2;25,7;6;1;
2011-11-30;19;null;983,7;24,6;6,4;,8;
2011-12-31;null;null;null;null;5,5;null;
2012-01-31;null;null;null;null;3,9;null;
2012-02-29;null;null;null;null;3,6;null;
2012-03-31;16;null;null;25,1;5,9;null;
2012-04-30;20;45,8;984,4;25,2;5,8;,6;
2012-05-31;12;76,6;985,4;25,1;4,8;,7;
2012-06-30;9;29;986,6;24,7;6,1;,8;
2012-07-31;3;20,2;986,2;24,5;6;1,1;
2012-08-31;1;,2;986,8;25,3;8,1;1,4;
2012-09-30;4;56,4;985,9;26,5;4,7;1;
2012-10-31;10;137;983,7;25,8;4,6;,8;
2012-11-30;21;334,8;983,5;25,1;6;,7;
2012-12-31;15;null;983,3;25,1;5,8;,7;
2013-01-31;21;309,8;984,8;25;6,5;,9;
2013-02-28;17;null;null;24,9;5,4;null;
2013-03-31;1;null;null;null;null;null;
2013-04-30;3;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;1;null;null;null;null;null;
2013-10-31;9;null;984,4;26;5,5;1;
2013-11-30;20;246,4;983,2;24,8;5,4;,8;
2013-12-31;19;269,4;983,9;25,2;6,9;,7;
2014-01-31;25;220,4;984,9;24,7;4,2;,7;
2014-02-28;22;360,2;984,1;24,7;3,6;,6;
2014-03-31;30;283,6;984,9;25;5,2;,6;
2014-04-30;23;224,8;985,3;25,3;5,2;,6;
2014-05-31;12;96,4;985,3;25,8;4,4;,6;
2014-06-30;0;0;986,1;25,5;5,3;,8;
2014-07-31;2;null;null;null;5;null;
2014-08-31;null;null;null;null;5,5;null;
2014-09-30;1;null;null;null;5,2;null;
2014-10-31;5;null;null;null;4,5;null;
2014-11-30;1;null;null;null;4,9;null;
2014-12-31;null;null;null;null;4;null;
2015-01-31;2;null;null;null;3,6;null;
2015-02-28;1;null;null;null;4,3;null;
2015-03-31;4;null;null;null;4,4;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;25,4;5,8;null;
2015-07-31;null;null;null;null;6,2;null;
2015-08-31;null;null;null;null;6,2;null;
2015-09-30;null;null;null;null;4,9;null;
2015-10-31;null;null;null;null;5,4;null;
2015-11-30;null;null;null;null;4,5;null;
2015-12-31;10;48,2;984,9;25,9;4;,8;
2016-01-31;25;357;985,2;25,2;3,7;,8;
2016-02-29;14;123,2;984,7;26,8;4,4;,9;
2016-03-31;22;252,4;985,6;26,2;5,2;,8;
2016-04-30;18;106;984,6;26,2;4,6;,7;
2016-05-31;10;56,2;986,3;25,8;5,9;,6;
