Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;1;null;null;null;null;null;
2017-11-30;18;223,8;924,2;22,8;7,6;2,2;
2017-12-31;15;354,8;923,7;23,6;8,2;2;
2018-01-31;16;346;924,9;23,9;null;null;
2018-02-28;16;150,4;924,4;23,3;6,1;2;
2018-03-31;12;62,6;924,6;24;6,6;1,7;
2018-04-30;3;3;928;21,7;6,1;2,1;
2018-05-31;2;23,4;929,3;19;7,1;2;
2018-06-30;3;9,6;930,2;19,2;5,7;1,8;
2018-07-31;0;0;930,1;18,5;5;1,9;
2018-08-31;9;46,6;929,6;19,4;null;null;
2018-09-30;9;48,2;926,2;22,1;6,3;2,1;
2018-10-31;16;132,8;925,1;23,6;7,9;2,2;
2018-11-30;18;350,2;925,4;22,4;7,5;2;
2018-12-31;15;201,2;925,2;23,6;8,4;2;
2019-01-31;9;115,8;927;25,2;8,1;1,9;
2019-02-28;14;378,4;925,1;24;9,4;1,9;
2019-03-31;13;167,6;926,4;23,4;6,3;2;
2019-04-30;9;92;926,1;22,9;5,5;1,8;
2019-05-31;8;19,8;927,2;21;5,4;1,7;
2019-06-30;2;15,8;931;18,6;9,1;2;
2019-07-31;1;,8;930,4;17,4;7;2,2;
2019-08-31;0;0;931,2;20,1;8,3;2,5;
2019-09-30;2;57,2;927,6;23,9;7,2;2,3;
2019-10-31;8;95,8;925,6;24,3;8,6;2,3;
2019-11-30;18;156,6;924,2;23,4;8,9;2,3;
2019-12-31;14;309,8;924,8;23,7;6,4;2,1;
2020-01-31;18;312,6;923,7;24,1;7,4;2,1;
2020-02-29;19;311,4;925,7;23,4;7;2;
2020-03-31;16;115,8;926;22,6;8,4;2;
2020-04-30;12;60,6;927,4;21,7;5,5;2;
2020-05-31;11;32;928,9;18,2;5;1,9;
2020-06-30;1;,2;930,1;18,7;6,5;1,9;
2020-07-31;1;,2;929,8;19,3;6,3;2;
2020-08-31;2;11,2;930;19,3;6,8;2,3;
2020-09-30;2;12,8;928;23,5;7,5;2,2;
2020-10-31;12;94,2;925;24,1;8,6;2,5;
2020-11-30;14;127,6;925;23,3;7,7;2,3;
2020-12-31;23;191,4;924,6;23,7;8,6;2;
2021-01-31;13;198,8;925;24,1;7,9;1,9;
2021-02-28;20;212;923,9;23;7,1;2;
2021-03-31;10;80,6;925,4;23,7;5,1;1,7;
2021-04-30;null;null;926,4;21,4;5,8;2,2;
2021-05-31;1;3,2;928,1;20,1;7,1;2;
2021-06-30;5;17,8;929,2;18,5;5,4;2;
2021-07-31;0;0;930,9;17;5,4;2,3;
2021-08-31;2;2,4;930,1;20,1;7,6;2,3;
2021-09-30;3;5;926,8;24,7;9,3;2,4;
2021-10-31;20;212,6;925,5;22,8;7,6;2,4;
2021-11-30;11;141,4;923,6;22,9;6,8;2,3;
2021-12-31;19;277,2;923,1;22,9;9,2;2,1;
2022-01-31;21;624,6;924,5;23,2;7,2;2;
2022-02-28;21;302,6;924,8;22,9;6;1,8;
2022-03-31;2;20,4;925,6;24,5;8,1;1,9;
2022-04-30;6;66,2;926,2;22,6;5,8;2,1;
2022-05-31;4;27,6;928,3;18,4;5,8;1,9;
2022-06-30;0;0;928,6;18,1;5,5;1,9;
2022-07-31;1;1,6;930,2;18,5;5,3;null;
2022-08-31;2;2,4;929,3;19,8;null;null;
2022-09-30;3;36,2;927,2;22;null;null;
2022-10-31;10;124,8;925,9;23,8;null;null;
2022-11-30;22;201,2;924,5;21,7;null;null;
2022-12-31;26;378,4;923,6;22,3;null;null;
2023-01-31;29;530,8;925;22,7;null;null;
2023-02-28;15;149;925,7;24,2;null;null;
2023-03-31;10;85;926,4;24;null;null;
2023-04-30;14;72;926;22;null;null;
2023-05-31;11;9;928,5;19,1;null;null;
2023-06-30;11;6,4;930,6;17,8;null;null;
2023-07-31;2;2;930,5;18,8;7,2;2;
2023-08-31;5;null;null;20,8;8,2;null;
2023-09-30;5;20,6;927;24,9;8,6;2,2;
2023-10-31;12;164,4;924,9;25,6;12,3;2,2;
2023-11-30;12;201,6;924,4;25,5;10,9;2,2;
2023-12-31;16;76,2;924,5;25,5;9,7;2,2;
2024-01-31;21;290,2;924,4;24,1;7,5;1,9;
2024-02-29;18;123,8;926,3;24;7,9;1,9;
2024-03-31;19;235,2;925,8;24,4;8,3;1,9;
2024-04-30;7;47;926,7;23,4;4,6;1,8;
2024-05-31;9;12,8;928,2;21,8;5,6;1,8;
2024-06-30;4;,8;930,1;19,2;4,6;1,8;
2024-07-31;null;null;null;null;null;null;

