Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;1;null;null;null;null;null;
2017-06-30;null;0;982,8;22,8;7,6;1,4;
2017-07-31;3;3;987,1;20,7;6,6;2;
2017-08-31;null;0;982,8;21,5;7,1;1,5;
2017-09-30;1;1;983,9;24,2;7,3;2,6;
2017-10-31;3;10,4;978,7;27,6;8;2,8;
2017-11-30;13;93,2;976,9;25,7;7,4;1,6;
2017-12-31;17;168,8;976,5;24,8;4,3;,9;
2018-01-31;6;33,2;977,1;27,2;6,4;1,5;
2018-02-28;13;243,6;976,8;25,5;6;1;
2018-03-31;11;122;976,8;25,5;4,9;,7;
2018-04-30;9;22,6;980,2;23,9;5,3;,8;
2018-05-31;6;12,6;981,8;22,8;5,6;1,1;
2018-06-30;2;,8;983,2;22,3;5,9;1,1;
2018-07-31;2;1,2;983,3;21,6;6;1,2;
2018-08-31;1;,2;982,4;24,6;8;1,7;
2018-09-30;2;4,4;979,1;26;5,8;2;
2018-10-31;11;96,8;977,6;27,2;10,5;2;
2018-11-30;10;93,2;978;25,3;5,2;1,4;
2018-12-31;14;138,4;977,9;24,9;8,7;,9;
2019-01-31;6;30,2;979,1;27,3;11,1;1,6;
2019-02-28;9;116,6;976,7;27,6;7,1;1,2;
2019-03-31;10;53,2;977,8;27,5;6,7;1,1;
2019-04-30;11;27;978;26,7;5,6;1,1;
2019-05-31;5;6,6;979,2;25,4;5,3;1,1;
2019-06-30;3;4,4;983,6;23,3;6,5;1,4;
2019-07-31;1;,2;983,4;21,6;6,7;1,4;
2019-08-31;6;8;984,7;23,1;7,6;1,9;
2019-09-30;3;1,8;981,1;25,6;6,8;2,3;
2019-10-31;3;64,2;978,4;27,7;5,9;2,5;
2019-11-30;6;43,6;976,1;28,3;6,3;1,9;
2019-12-31;9;65,6;976,9;27,7;7,1;1,7;
2020-01-31;16;314,2;976,3;26,9;9,2;1,3;
2020-02-29;10;42,6;977,6;27;6,7;,9;
2020-03-31;21;186,4;978,3;24,7;5,4;,6;
2020-04-30;5;13,8;980;23,9;5,2;,6;
2020-05-31;4;null;null;22;3,9;null;
2020-06-30;null;null;null;null;6,7;null;
2020-07-31;null;null;null;null;5,7;null;
2020-08-31;null;null;null;null;6,3;null;
2020-09-30;1;null;980,9;null;6,3;2,5;
2020-10-31;null;null;977,4;null;8,8;2,1;
2020-11-30;null;null;978,1;null;5,1;1,4;
2020-12-31;2;null;977;null;6,4;1,2;
2021-01-31;4;14;977,2;27,6;5,7;1,7;
2021-02-28;16;211;976,5;25,6;6,8;1,1;
2021-03-31;8;22,4;977,7;24,9;6,8;,7;
2021-04-30;6;47,6;978,6;24,3;6,5;,9;
2021-05-31;3;,6;980,9;22,5;4,7;,9;
2021-06-30;4;2,2;982,1;21,5;5,4;1,1;
2021-07-31;0;0;984;21;6,1;1,2;
2021-08-31;2;4,2;983,7;22,6;6,7;1,7;
2021-09-30;2;2,4;980,1;26,2;6,1;2;
2021-10-31;11;79,4;978;27,2;5,8;1,8;
2021-11-30;20;204,4;976,6;24,4;6,5;,9;
2021-12-31;20;362,8;975,8;24,6;4,8;1;
2022-01-31;13;85;977,3;25;6,8;,9;
2022-02-28;15;86,4;977,1;25,6;4,5;,8;
2022-03-31;7;39,4;977,9;25,5;4,3;,8;
2022-04-30;4;2,6;978,4;25;5,2;,9;
2022-05-31;2;7,4;980,9;22,1;6,1;,9;
2022-06-30;0;0;981,7;19,6;5,9;,9;
2022-07-31;1;,2;983,4;22;6,5;1,5;
2022-08-31;2;,6;982,8;22,5;6;1,7;
2022-09-30;1;4,4;980,6;24,5;6,2;1,8;
2022-10-31;5;8,8;978,6;27,5;8,1;2,1;
2022-11-30;13;null;977;24,7;5,5;1,2;
2022-12-31;21;294;976,5;24,3;6,6;,9;
2023-01-31;9;105,4;977,6;25,4;5,8;1;
2023-02-28;3;3;978;26;4,2;,9;
2023-03-31;3;null;978,5;26,3;4,7;1,1;
2023-04-30;7;139,8;977,9;25,4;6,2;,9;
2023-05-31;4;4,4;981,1;22,1;4,9;,6;
2023-06-30;2;,4;983,6;20,6;4,2;,8;
2023-07-31;3;6;983,9;21,3;5,5;,9;
2023-08-31;2;null;981,4;24,1;5,7;1,2;
2023-09-30;1;null;980,5;25,3;7,8;1,9;
2023-10-31;5;null;977,8;null;5,8;2;
2023-11-30;1;null;976,8;null;6,1;1,6;
2023-12-31;5;null;976,7;null;5,6;1,7;
2024-01-31;1;null;null;null;4,7;null;
2024-02-29;null;null;null;null;3,8;null;
2024-03-31;4;null;null;null;5;null;
2024-04-30;10;31;979;25;4,4;,6;
2024-05-31;5;1,6;980,6;23,6;5,1;,8;
2024-06-30;6;6,8;983,1;21,8;5,6;,8;
2024-07-31;2;null;null;null;5,3;null;

