Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;2;null;null;null;null;null;
2017-06-30;2;22;930,6;19,2;7,4;2,5;
2017-07-31;0;0;933,8;17,6;8,9;3;
2017-08-31;null;0;928,8;21,7;8;2,8;
2017-09-30;1;null;929,4;23,7;7,8;3,5;
2017-10-31;13;110;925,7;25;8,5;2,9;
2017-11-30;19;399,2;924,3;23,4;8,3;2,6;
2017-12-31;23;284,4;924,3;23,5;8,4;2,1;
2018-01-31;24;419,6;925,5;23,5;null;null;
2018-02-28;16;267,6;924,9;23,5;5,7;null;
2018-03-31;10;54,2;925,3;24,6;6,6;2,1;
2018-04-30;11;121,2;928,3;22,1;6,4;2,1;
2018-05-31;4;60,8;929,6;20;6,9;2,4;
2018-06-30;null;0;930,4;20,6;6,9;2,3;
2018-07-31;1;,2;930,4;19,8;7,7;2,6;
2018-08-31;7;34,6;929,8;20,9;8,1;2,5;
2018-09-30;8;63,4;926,4;23,2;10;2,5;
2018-10-31;14;284,6;925,5;24,3;8,3;2,3;
2018-11-30;22;363,2;925,2;22,9;7,4;2,8;
2018-12-31;21;214,8;925,9;24,1;8,1;2;
2019-01-31;17;66,6;927,6;25;6,2;2,2;
2019-02-28;15;401,4;925,7;23,9;11,2;2;
2019-03-31;18;252,4;927,1;23,4;7,7;2;
2019-04-30;10;195,8;926,9;23,4;5,4;1,8;
2019-05-31;6;29,2;928;21,6;6,3;2;
2019-06-30;0;0;931,2;19,6;7,4;2,6;
2019-07-31;2;1,6;930,4;19,3;7,3;2,7;
2019-08-31;3;40,2;931,2;21,2;7,5;2,8;
2019-09-30;3;57,2;927,4;25,5;9,8;2,7;
2019-10-31;10;140,2;925,8;25,1;9,5;2,5;
2019-11-30;16;167,8;924,5;24,2;7;2,3;
2019-12-31;24;259,2;925,3;23,7;10,8;2,1;
2020-01-31;23;510,4;924,5;23,9;9,5;1,9;
2020-02-29;24;330;926;23,4;8,5;2,2;
2020-03-31;11;108;926,3;23,5;7,4;2,2;
2020-04-30;6;53,2;928;22,5;6,5;2;
2020-05-31;1;10;929,6;18,6;6,1;2,2;
2020-06-30;0;0;930,2;20;7,4;2,6;
2020-07-31;0;0;929,9;20,1;null;null;
2020-08-31;0;0;929,7;21,1;null;null;
2020-09-30;null;0;927,8;25,3;null;null;
2020-10-31;3;8,4;925;25,6;8,4;2,6;
2020-11-30;null;null;925,4;24;9,3;2,5;
2020-12-31;23;null;925,2;23,4;7,9;2,2;
2021-01-31;11;null;925,5;24,4;7;2;
2021-02-28;23;264;924,3;23,2;6;2,2;
2021-03-31;15;137;926;23,8;6,1;2;
2021-04-30;6;26,8;927,1;22,1;7,8;2;
2021-05-31;1;null;928,9;21;7,9;2;
2021-06-30;2;null;929,8;null;6,9;2,2;
2021-07-31;null;null;931,2;null;7;2,4;
2021-08-31;null;null;null;null;8,8;null;
2021-09-30;null;null;926,8;null;9,5;2,8;
2021-10-31;null;null;925,6;null;8,2;2,6;
2021-11-30;10;null;923,9;24;7,4;2,3;
2021-12-31;18;138,6;923,2;23,8;7,5;2,3;
2022-01-31;25;338,8;924,8;23,3;7,4;2,2;
2022-02-28;18;156,4;925,2;23,5;6,2;2,1;
2022-03-31;14;156,2;926;24,2;7,6;2,3;
2022-04-30;8;40,4;926,8;23,3;7,5;2,1;
2022-05-31;6;57,6;929;18,9;7,1;2,4;
2022-06-30;6;10,2;929,1;19,4;6,7;2,2;
2022-07-31;null;0;930,1;20,3;7,2;3;
2022-08-31;1;11,6;929,3;21,3;8,8;2,8;
2022-09-30;9;76;927,2;23,3;8,6;2,8;
2022-10-31;13;135,2;926;24,2;8,2;2,7;
2022-11-30;12;null;924,7;22,8;7,4;2,4;
2022-12-31;20;295,6;923,9;23,1;6,7;2,5;
2023-01-31;24;393;925,4;22,8;7,7;2,2;
2023-02-28;19;null;926,4;23,6;null;null;
2023-03-31;14;null;926,9;23,7;5,7;null;
2023-04-30;15;90,6;926,6;22,1;null;null;
2023-05-31;1;25,2;929;19,8;null;null;
2023-06-30;6;3,8;931;18,4;null;null;
2023-07-31;3;20,2;930,7;20,2;null;null;
2023-08-31;5;23,2;928,4;22,5;null;null;
2023-09-30;6;35,8;927;25,6;null;null;
2023-10-31;7;null;null;null;7,8;null;
2023-11-30;6;null;925;26,1;7,5;2,3;
2023-12-31;9;null;924,9;26,1;7,1;2,3;
2024-01-31;14;null;925,1;24,3;5,8;2;
2024-02-29;9;null;926,7;24,4;6,6;2,2;
2024-03-31;24;407,4;926,4;24,3;6,2;2;
2024-04-30;6;45,8;927;24,3;6,3;2,1;
2024-05-31;0;0;928,9;22;6,1;2,2;
2024-06-30;0;0;930,2;21;6,4;2,6;
2024-07-31;null;null;null;null;6,9;null;

