Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;4;null;null;24,8;6;null;
2018-04-30;10;67,4;934,9;23;8,3;2;
2018-05-31;2;6,4;936,3;21,6;6,3;1,8;
2018-06-30;0;0;937,2;21,7;6,3;1,8;
2018-07-31;0;0;937,2;21,3;5,7;1,8;
2018-08-31;null;null;936,3;23,5;7,5;2,2;
2018-09-30;5;16,6;933,1;25,2;6,8;2,3;
2018-10-31;null;null;932;26,4;7,8;2,3;
2018-11-30;8;47,4;932,3;23,4;6,6;2,4;
2018-12-31;24;268,2;932,8;24,7;8;2,1;
2019-01-31;5;21,4;934,1;26,2;6,9;2;
2019-02-28;15;224,2;932,5;25,2;12,2;2;
2019-03-31;13;143,4;933,6;24,5;8,5;1,9;
2019-04-30;12;73;933,5;24,4;10,2;1,6;
2019-05-31;5;81,8;934,5;23,2;5,3;1,6;
2019-06-30;0;0;937,9;21,3;6,9;1,9;
2019-07-31;0;0;937,4;20,6;6,3;1,9;
2019-08-31;0;0;937,8;23,2;7,5;2,3;
2019-09-30;3;7,8;934,3;26,5;7,2;2,4;
2019-10-31;7;50,8;932,3;27,2;8,7;2,4;
2019-11-30;13;198,8;931,1;25,9;7,1;2,3;
2019-12-31;22;165,4;932;24,9;11,3;null;
2020-01-31;17;380,8;931,4;25;7,8;2;
2020-02-29;24;314;933,1;24,4;null;null;
2020-03-31;18;223;933,1;23,8;7,5;2;
2020-04-30;15;55,2;934,6;23,4;6,1;1,8;
2020-05-31;7;72;936,3;20,7;6,1;1,6;
2020-06-30;0;0;937,2;20,9;8,2;1,7;
2020-07-31;0;0;936,9;21,2;6,6;2;
2020-08-31;0;0;936,6;21,8;7,4;2,3;
2020-09-30;null;null;null;25;6,3;null;
2020-10-31;null;null;null;null;8,3;null;
2020-11-30;null;null;null;null;6,2;null;
2020-12-31;13;null;931,9;24,6;6;1,9;
2021-01-31;10;43,4;932,2;25,3;8;2,1;
2021-02-28;22;278,6;931,3;23,7;7;2;
2021-03-31;8;191,2;932,9;24,3;null;null;
2021-04-30;6;26,4;933,5;23,5;null;null;
2021-05-31;0;0;935,5;22,5;null;null;
2021-06-30;0;0;936,3;21,6;null;null;
2021-07-31;0;0;937,9;20,3;null;null;
2021-08-31;0;0;936,9;22,7;null;null;
2021-09-30;1;,8;933,6;27,3;null;null;
2021-10-31;18;146,4;932,3;25,6;6,4;2,4;
2021-11-30;19;237;931,2;23,8;8,1;2,3;
2021-12-31;null;null;930,3;23,7;9;2,1;
2022-01-31;null;null;931,9;24,2;null;null;
2022-02-28;null;null;932,3;23,6;null;null;
2022-03-31;5;null;932,7;25;null;null;
2022-04-30;1;23;933,3;24,8;null;null;
2022-05-31;2;29,6;935,7;20,9;null;null;
2022-06-30;0;0;935,8;20,9;null;null;
2022-07-31;1;3,2;937,1;20,9;6,9;1,9;
2022-08-31;0;0;936,1;22,8;5,4;null;
2022-09-30;4;45,4;934;24,9;null;null;
2022-10-31;null;null;932,9;25,4;null;null;
2022-11-30;null;null;931,6;23,3;9,5;2,2;
2022-12-31;null;null;931;23,2;7,6;2,1;
2023-01-31;null;null;932,6;23,4;7,9;1,9;
2023-02-28;null;null;933;25,4;6,2;1,9;
2023-03-31;1;null;null;25,1;9,3;null;
2023-04-30;13;131,4;933,2;23,8;5,8;1,8;
2023-05-31;1;,4;935,5;22,3;6;1,6;
2023-06-30;3;13;937,5;20,9;4,8;1,6;
2023-07-31;null;0;937,5;21,8;5,7;1,8;
2023-08-31;3;null;null;null;7,1;null;
2023-09-30;5;10,4;933,9;27;8,3;2,3;
2023-10-31;8;27,4;932;27,7;7,8;2,3;
2023-11-30;8;102,6;931,5;27,7;13,2;2,3;
2023-12-31;16;265,2;931,7;26,9;9;2,2;
2024-01-31;20;302,6;932;25,2;6,1;1,9;
2024-02-29;20;195,6;933,7;24,6;6,7;1,9;
2024-03-31;15;116;933,1;25,4;6,6;1,8;
2024-04-30;10;51,8;933,8;24,8;6,1;1,7;
2024-05-31;0;0;935,5;23,6;5,6;1,6;
2024-06-30;0;0;937,2;21,8;5,1;1,6;
2024-07-31;null;null;null;null;6,2;null;

