Nome: OIAPOQUE
Codigo Estacao: A242
Latitude: 3.81361111
Longitude: -51.8625
Altitude: 15.14
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;27;405,2;1009,9;25,1;4,1;1,2;
2010-02-28;23;454,2;1009,1;25,6;4,5;1,2;
2010-03-31;27;385,2;1009,6;25,9;4,2;1,1;
2010-04-30;26;403,8;1009,3;25,9;3,9;,9;
2010-05-31;30;616,4;1009,8;25,6;3,4;,8;
2010-06-30;25;287,2;1011,5;25,6;2,9;,9;
2010-07-31;29;219,6;1011,1;25,4;4,5;,8;
2010-08-31;19;126,6;1011;25,8;3,4;,9;
2010-09-30;8;null;1010;26,7;3,3;1;
2010-10-31;4;null;null;null;null;null;
2010-11-30;14;107,2;1007,8;26,2;4,2;1;
2010-12-31;27;446,6;1007,6;25;4,5;,9;
2011-01-31;29;462,6;1008,7;24,3;5,1;1;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;10;null;1008,1;25,9;3,8;1;
2011-11-30;17;114,8;1008,4;25,6;3,5;1;
2011-12-31;23;176;1008,9;25,2;4,3;1;
2012-01-31;31;497,8;1009,8;24,3;4,8;,9;
2012-02-29;27;537,4;1009,6;24;4,1;,9;
2012-03-31;26;298,2;1010,2;24,8;4;1,1;
2012-04-30;30;454,4;1009,7;25,1;4,3;,9;
2012-05-31;27;329,2;1010,5;25,2;3,5;,9;
2012-06-30;28;226,6;1011,7;25,2;5;,9;
2012-07-31;25;107,6;1011,2;25,3;3,6;,9;
2012-08-31;13;107,4;1011,8;25,9;3,6;1;
2012-09-30;6;18,2;1011,6;26,5;3,8;1,1;
2012-10-31;5;12,2;1009,1;26,7;3,2;1,1;
2012-11-30;9;39,8;1008,5;26,6;4,2;1,2;
2012-12-31;19;188,6;1008,6;25,8;3,8;1,1;
2013-01-31;28;211,4;1010,4;25,1;4,2;1,3;
2013-02-28;27;514,2;1009,4;24,6;4,2;,9;
2013-03-31;28;278;1010,1;25,3;4;1,2;
2013-04-30;28;350,2;1010,4;25,4;4,1;1;
