Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;301,8;1009,1;27;6,5;1;
2010-02-28;13;309,8;1009,6;27,2;5,6;1,1;
2010-03-31;24;356,2;1009,4;25,4;5;,9;
2010-04-30;20;330,4;1013,1;23,1;4,7;,9;
2010-05-31;16;99,6;1013,2;21,1;4,3;,8;
2010-06-30;10;null;1017,9;18,5;3,8;,8;
2010-07-31;11;null;1017,7;20,3;6,3;,9;
2010-08-31;9;null;null;20,7;4,6;null;
2010-09-30;18;102,4;1014,4;21,6;6;1;
2010-10-31;16;252,4;1011,8;21,7;6,7;1;
2010-11-30;19;421;1008,8;23,6;5,2;1;
2010-12-31;27;610;1006,1;25,6;5,3;,9;
2011-01-31;22;225,6;1006,8;26,6;4,4;null;
2011-02-28;9;102,6;1008,6;26,9;null;null;
2011-03-31;22;466;1010;24,3;null;null;
2011-04-30;19;265,8;1012,2;23,8;null;null;
2011-05-31;23;170,4;1015,1;20,1;5,1;,8;
2011-06-30;19;62,2;1015,6;18,8;6,9;,8;
2011-07-31;17;102,8;1016,2;18,9;4,1;,8;
2011-08-31;14;75,6;1017,3;21,1;4,7;1;
2011-09-30;6;null;null;20,3;4,4;null;
2011-10-31;1;null;null;null;5,4;null;
2011-11-30;null;null;null;null;5;null;
2011-12-31;null;null;null;25;5;null;
2012-01-31;null;null;1009,9;24,4;5,7;,9;
2012-02-29;null;null;1009,9;26;5,4;1;
2012-03-31;null;null;1011,4;24,8;6,1;,8;
2012-04-30;11;null;1011,5;23,6;4,5;,8;
2012-05-31;18;141,2;1016;20,3;4,1;,7;
2012-06-30;18;143,6;1015,5;21;4,6;,6;
2012-07-31;16;45,8;1016,3;19,7;4,4;,7;
2012-08-31;19;33,6;1020,3;19,5;4,8;,7;
2012-09-30;13;140,4;1015,8;21,5;5,1;,9;
2012-10-31;12;95,8;1011,4;24,1;5,4;1,1;
2012-11-30;21;241,2;1010,3;23;5,8;,8;
2012-12-31;15;129,2;1007,9;26,8;5,6;,9;
2013-01-31;23;590,2;1010,2;24,7;5,3;,7;
2013-02-28;14;91,2;1009,7;26,5;5,4;,9;
