Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;1;23,8;1010,3;27,7;9,7;4,1;
2010-02-28;4;63,2;1010,9;27,9;10,2;4;
2010-03-31;18;110,8;1009,7;26,5;7,7;2,9;
2010-04-30;16;31,4;1013;24,4;9,9;3;
2010-05-31;18;43;1013,3;22,5;9,3;2,6;
2010-06-30;22;44,8;1018,1;19,9;7,5;2,7;
2010-07-31;19;57,6;1019;21,2;7,8;2,7;
2010-08-31;10;6,4;1018,1;20,6;10,7;3,4;
2010-09-30;7;9,4;1015,5;22,4;11,7;4,2;
2010-10-31;10;99,2;1011,9;23,1;11,8;3,9;
2010-11-30;23;171,2;1009,5;23,7;8,9;3,2;
2010-12-31;3;null;null;null;7,4;null;
2011-01-31;null;null;null;null;8,6;null;
2011-02-28;8;null;null;27;8,9;null;
2011-03-31;22;242;1009,9;24,9;7,6;2,5;
2011-04-30;18;57,8;1012,8;24,7;7,1;2,7;
2011-05-31;15;47,6;1014,9;21,5;8,8;2,5;
2011-06-30;15;17,8;1016;20,4;8,2;2,7;
2011-07-31;17;7,4;1016,9;20,4;8;3,1;
2011-08-31;11;23,4;1015,7;21,8;9,9;3,5;
2011-09-30;8;15,2;1018,1;21,1;9,7;3,9;
2011-10-31;16;151,6;1012,2;22,8;10,4;3,9;
2011-11-30;14;118,6;1012,4;22,7;8,6;3,8;
2011-12-31;17;120,2;1009,6;24,3;9;3,1;
2012-01-31;14;208,2;1011;24,9;9,3;3,6;
2012-02-29;4;18,2;1011,5;26;10;3,9;
2012-03-31;12;90,2;1011,8;25,5;7,9;3,1;
2012-04-30;10;17,2;1011,8;24,9;8;2,7;
2012-05-31;21;149,4;1016;21,4;7,5;2,6;
2012-06-30;17;97;1015,9;22,1;8,4;2,5;
2012-07-31;13;15,4;1016,8;21,4;9;3,1;
2012-08-31;26;70,8;1021,1;21;11,3;2,8;
2012-09-30;9;30;1016,6;21,9;11,3;3,8;
2012-10-31;3;5,6;1012,8;24,4;10,5;4,5;
2012-11-30;21;169;1010,6;23,8;9,3;3,4;
2012-12-31;5;14;1008,8;27,3;10,6;3,6;
2013-01-31;3;67;1010,6;25,9;10,8;3,6;
2013-02-28;1;47;1010,8;26,5;8,4;3,7;
2013-03-31;null;null;1011,3;25,8;8,7;2,9;
2013-04-30;5;null;null;null;6,7;null;
2013-05-31;11;54,8;1014,5;22,1;12,2;2,7;
2013-06-30;11;23,4;1015,8;22,1;8,2;2,4;
2013-07-31;13;76,8;1017,8;20,7;8,3;2,8;
2013-08-31;14;58,2;1017;21,2;8,8;3,4;
2013-09-30;6;52,4;1015,9;22,2;9,6;3,5;
2013-10-31;6;13,4;1014;23;11;3,5;
2013-11-30;2;null;1011,6;23,8;9,5;3,5;
2013-12-31;22;343,2;1008;25,1;7,2;3;
2014-01-31;2;34,6;1012;26,6;9,7;3,7;
2014-02-28;3;10,6;1011,8;27;8,9;3,8;
2014-03-31;11;112,2;1012,1;26;8,6;3,4;
2014-04-30;15;134,4;1013;24,4;7,9;null;
2014-05-31;19;7,6;1014,4;22,6;null;null;
2014-06-30;20;32,2;1016,6;22,1;null;null;
2014-07-31;16;113,8;1019,9;20,8;null;null;
2014-08-31;17;19;1017,9;20,8;11,2;3;
2014-09-30;6;10,4;1015,3;22,9;9,8;4,2;
2014-10-31;11;34,6;1014,9;23,1;11,4;4;
2014-11-30;11;74,8;1011,3;24,6;11;4,1;
2014-12-31;6;27,8;1010,8;26,4;9,3;3,9;
2015-01-31;0;0;1011,4;27,6;9,9;4,4;
2015-02-28;8;50,2;1010,7;27,4;10;3,7;
2015-03-31;12;114,2;1011,2;26,6;8,9;2,7;
2015-04-30;13;62,4;1012,9;24,4;10,2;2,7;
2015-05-31;26;125,8;1016,1;22;6,1;2,4;
2015-06-30;23;44,4;1018,6;21,6;7,6;2,7;
2015-07-31;16;18;1017,7;22;8,8;2,9;
2015-08-31;16;36,4;1017,8;21,7;7,8;2,9;
2015-09-30;12;82,4;1013;23,3;10,8;3,5;
2015-10-31;9;96;1013,6;24,3;9,6;3,9;
2015-11-30;15;151,8;1009,6;25,6;10,2;3;
2015-12-31;9;106,4;1011,2;26,4;9;3,5;
2016-01-31;17;215,6;1009,7;26;7,9;3,1;
2016-02-29;7;79,6;1011;27,4;7,6;3,1;
2016-03-31;11;63,6;1012,7;26,8;7,6;2,9;
2016-04-30;12;18,6;1012,7;26,2;8;2,7;
2016-05-31;14;28,6;1015,7;22,7;8,8;2,6;
2016-06-30;14;59;1018,4;20,3;6,5;2,5;
2016-07-31;13;27,8;1017,7;21;7,4;2,8;
2016-08-31;12;17;1016,4;21,7;9,4;3,2;
2016-09-30;9;40,6;1015,7;22,9;8,5;3,6;
2016-10-31;15;88,8;1013,2;23,1;9,4;3,6;
2016-11-30;15;223,8;1011,4;24,2;9,9;3,7;
2016-12-31;15;168,4;1010,4;25,7;8,2;3,2;
2017-01-31;6;71,2;1010,6;27;8,8;3,7;
2017-02-28;14;44,2;1011,6;26,7;8,2;3,1;
2017-03-31;12;86,8;1011,6;25,9;8,6;3;
2017-04-30;11;66,8;1013,7;24,3;7,9;2,7;
2017-05-31;19;76;1015,3;22,2;7,5;2,6;
2017-06-30;18;28,8;1017,4;21,9;8;2,6;
2017-07-31;26;79;1023,2;19,5;7,5;2,4;
2017-08-31;1;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;6;null;1013,3;24,4;10,2;4,4;
2017-11-30;14;121,8;1011;23,9;9,2;3,5;
2017-12-31;11;114,6;1009,8;25,4;8,5;3;
2018-01-31;10;138;1010;26,7;9;3,4;
2018-02-28;15;119,4;1010,2;25,9;8,6;2,7;
2018-03-31;16;412,8;1009,9;26,2;7;2,3;
2018-04-30;15;50,4;1014,8;24;6,3;2;
2018-05-31;13;38,8;1016,4;22,3;6,2;2,2;
2018-06-30;11;4,6;1017,1;22;7,1;2,5;
2018-07-31;13;33;1017,3;21,5;6,9;2,4;
2018-08-31;12;78,8;1017,8;20,9;9,1;2,5;
2018-09-30;10;34;1013,7;22,6;10,1;2,9;
2018-10-31;16;94,4;1012,1;23,5;7,6;3,4;
2018-11-30;16;128,4;1012,3;24,3;8,7;3,3;
2018-12-31;12;53;1010,7;25,7;7,6;2,9;
2019-01-31;2;32,2;1012;27,7;8,6;3,9;
2019-02-28;14;106,6;1009,6;27,5;8,1;2,8;
2019-03-31;13;100,6;1011,7;26,6;6,9;2,5;
2019-04-30;10;46;1011,5;25,9;6,7;2,3;
2019-05-31;15;133,2;1013,1;24,1;7,9;2,2;
2019-06-30;16;23,2;1017,9;22,5;8,9;2,3;
2019-07-31;11;7,2;1017,8;20,7;8,8;2,7;
2019-08-31;14;58;1020;20,8;8;3;
2019-09-30;8;72,2;1015,6;22,7;8,2;3,2;
2019-10-31;10;25,4;1013;24,3;9,5;3,5;
2019-11-30;17;336;1011;24,3;8,2;3,1;
2019-12-31;18;127,2;1010,8;25,4;8,1;3;
2020-01-31;11;167;1008,6;26,2;9,1;2,7;
2020-02-29;12;135,2;1011;26;7,8;2,9;
2020-03-31;16;148,6;1012,5;24,8;8,7;2,3;
2020-04-30;13;79,2;1014,2;23,5;6,7;2,3;
2020-05-31;11;75,4;1015,5;21,6;7,6;2,5;
2020-06-30;13;10,2;1016,7;21,9;6;2,5;
2020-07-31;13;28,8;1017,2;21,4;8,6;2,7;
2020-08-31;10;32;1018;21,3;7,6;3,1;
2020-09-30;9;64;1014,9;23,7;7,6;3,2;
2020-10-31;15;152,6;1011,8;23,9;10,4;3,3;
2020-11-30;19;195,4;1011,9;24;8,9;2,9;
2020-12-31;14;202;1009,8;25,7;7,6;3;
2021-01-31;3;43,8;1010,7;26,5;8,7;3,7;
2021-02-28;13;189,6;1009,3;25,5;8,2;2,7;
2021-03-31;10;110,8;1010,5;26;6,5;2,4;
2021-04-30;15;55,4;1013;23,6;7,8;2,3;
2021-05-31;8;14,8;1014,7;22,6;7,3;2,3;
2021-06-30;13;110,6;1016,6;21;7,8;2,4;
2021-07-31;10;4,6;1019,1;19,8;6,4;2,4;
2021-08-31;13;133,6;1018,6;21;8,8;2,9;
2021-09-30;6;49,6;1014,6;23,1;8,5;3,3;
2021-10-31;24;244,8;1013,5;22,3;7,5;2,8;
2021-11-30;19;125,2;1010,7;23;9,3;2,8;
2021-12-31;19;105,8;1009,2;24,7;7,5;2,8;
2022-01-31;12;117,2;1009,8;26,2;8;3;
2022-02-28;14;197;1010,2;25,6;7,5;2,6;
2022-03-31;4;22;1011,1;26,5;8,6;3;
2022-04-30;10;59,4;1012,3;24,9;7,9;2,3;
2022-05-31;12;51,4;1014,5;22,3;9,2;2,5;
2022-06-30;12;15,6;1015,7;20,7;6,2;2,6;
2022-07-31;10;2,6;1017,5;21,8;8;2,7;
2022-08-31;6;8,4;1017,6;21,3;9,3;3,3;
2022-09-30;8;62,6;1015,7;21,4;7,8;3,1;
2022-10-31;7;60,8;1012,9;24,5;8,3;3,3;
2022-11-30;18;330,6;1011,7;23,3;7,2;3,1;
2022-12-31;22;304,6;1009,7;24,5;7,6;3,2;
2023-01-31;20;221;1010,3;25,8;7,8;3,2;
2023-02-28;7;30,2;1010,5;27,1;7,3;3;
2023-03-31;7;13,4;1012,2;26,8;8,1;2,8;
2023-04-30;17;136,8;1012,1;24,4;8,6;2,3;
2023-05-31;14;30;1015,7;22,1;5,7;2;
2023-06-30;9;4,8;1017,5;21,6;6,1;2,4;
2023-07-31;16;38;1018,2;20,8;6,7;2,5;
2023-08-31;14;146;1015,3;22,1;7,1;null;
2023-09-30;6;28,2;1014,3;23,5;null;null;
2023-10-31;17;61,6;1011,6;24,2;7,4;2,8;
2023-11-30;7;21,2;1010,4;26;7,6;3;
2023-12-31;12;67;1010,5;26,7;8,5;2,9;
2024-01-31;2;null;null;null;6,8;null;
2024-02-29;null;null;null;null;9,6;null;
2024-03-31;18;283;1011;26,6;8,1;2,3;
2024-04-30;7;15,4;1012,9;25,3;5,6;2,1;
2024-05-31;8;2;1013,9;24,8;6,3;2,4;
2024-06-30;11;58,2;1016,6;22,9;6,5;2,4;
2024-07-31;4;null;null;null;5,5;null;

