Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;10,3;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;3;null;null;null;null;null;
2010-04-30;20;374,2;827,7;13,8;13,6;4,6;
2010-05-31;17;141;826,8;12,3;12,5;5;
2010-06-30;15;119;829,5;10,9;13,7;5;
2010-07-31;16;62,4;830,6;11,9;15,7;4,5;
2010-08-31;11;29,2;829,6;11,5;12,3;4,4;
2010-09-30;16;64,6;828;13,2;14,4;5,6;
2010-10-31;23;276,6;825,5;13,1;13,9;4,9;
2010-11-30;26;364,6;824;14,2;12,8;5;
2010-12-31;27;463,6;823,3;16,4;11,2;3,9;
2011-01-31;23;252,4;824,5;16,6;15,9;5,8;
2011-02-28;16;71,8;826,3;17,2;10,2;3,8;
2011-03-31;27;64,8;825,5;15,2;9,9;3,9;
2011-04-30;20;39;827,5;14,7;12,4;4,1;
2011-05-31;14;49,2;827,5;11,2;10,1;4,3;
2011-06-30;6;3,8;827,5;10,4;17,4;5,3;
2011-07-31;4;3,4;828,6;11,6;14,8;4,5;
2011-08-31;4;1,4;828,5;13,2;14;5,8;
2011-09-30;0;0;829,8;12,5;12,6;4,9;
2011-10-31;3;6,4;826;13,3;12,8;5,6;
2011-11-30;4;13;825,4;12,4;13,9;5,1;
2011-12-31;22;278,4;824,7;14,7;14,2;5;
2012-01-31;25;450,8;825,9;14,9;16,2;5,3;
2012-02-29;14;155,4;827,2;16,3;12,4;4,4;
2012-03-31;22;233,8;827,5;15,5;10,7;4,2;
