Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.98833333
Longitude: -40.57944443
Altitude: 975.92
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;12,6;906;21,4;5,9;1,5;
2010-02-28;17;48,8;906,1;21,4;6,1;1,5;
2010-03-31;24;273,4;904,7;21,2;6,6;1,8;
2010-04-30;19;163,4;906,5;18,7;8,3;2;
2010-05-31;26;164,8;906,5;17,6;7,8;1,7;
2010-06-30;21;44,4;909,9;15,2;8,8;2,1;
2010-07-31;27;237;911,2;15,6;5,6;1,2;
2010-08-31;9;null;910;14,4;8;2,2;
2010-09-30;6;null;null;null;7,7;null;
2010-10-31;7;null;null;null;null;null;
2010-11-30;22;337;903,6;18,6;6,9;1,6;
2010-12-31;21;366;901,8;20,3;7,9;1,8;
2011-01-31;23;213,2;904,1;20,3;5,2;1,3;
2011-02-28;19;44,8;905,1;20,5;6,5;1,1;
2011-03-31;26;400;903,8;19,6;6,1;1,5;
2011-04-30;26;263,6;906,6;18,8;6,7;1,3;
2011-05-31;19;37,4;907,3;16,5;7,6;1,5;
2011-06-30;21;43,6;908,2;15,6;7,2;1,5;
2011-07-31;23;106;909,2;15,4;6,2;1,4;
2011-08-31;14;33,6;908,7;16,7;6,8;1,9;
2011-09-30;19;125,4;909,9;15,2;7,9;1,8;
2011-10-31;26;259,6;905,6;16,9;6;1,5;
2011-11-30;25;313;905,4;16,6;6,2;1,2;
2011-12-31;24;293,6;904,2;18,7;9,5;1,3;
2012-01-31;23;441,8;905,6;19,3;5,9;1;
2012-02-29;19;99;906,2;19,5;5,4;1,1;
2012-03-31;14;45,8;906,1;19,8;5,3;1,4;
2012-04-30;20;79,4;906;19,1;6,4;1,4;
2012-05-31;22;120,4;908,2;16,6;5,7;2,1;
2012-06-30;13;181,4;909;17,1;6,5;2,2;
2012-07-31;14;63,8;909,5;16,2;6,4;2;
2012-08-31;26;588,6;912,3;14,9;6,2;2,3;
2012-09-30;19;61,2;909,4;16,4;8,4;2,7;
2012-10-31;19;87;906,8;18;7,9;2;
2012-11-30;28;353;904,1;18,2;8,3;1,9;
2012-12-31;12;153,6;904,4;21,4;6;1,9;
2013-01-31;24;233,2;905,2;20;7,4;1,8;
2013-02-28;19;160,4;905,9;20,4;4,8;1,5;
2013-03-31;21;258,8;905,7;20,3;6,6;2;
2013-04-30;16;null;907,4;17,7;6,7;1,9;
2013-05-31;8;null;null;17,5;7,4;null;
2013-06-30;14;null;908,7;17;5,7;2;
2013-07-31;16;80,8;910;15,8;6,4;2,4;
2013-08-31;16;122;909,6;15,8;7,3;2,3;
2013-09-30;19;86;908,8;16,4;6,3;1,9;
2013-10-31;26;143;907,3;16,8;5,8;2,2;
2013-11-30;18;null;905,8;18,1;6,7;1,9;
2013-12-31;21;837,8;902,7;19,8;7;2,2;
2014-01-31;14;70;906,9;20,2;6,4;1,7;
2014-02-28;17;null;906,7;19,9;4,5;1,4;
2014-03-31;15;86,8;906,5;19,7;6,1;1,7;
2014-04-30;14;122,8;906,6;19;6,4;2;
2014-05-31;9;null;907,5;17,4;6,5;2,1;
2014-06-30;1;null;909,5;16,8;5,3;2;
2014-07-31;14;null;911,4;15,1;6,8;2;
2014-08-31;11;null;910,2;16,1;7,1;2,6;
2014-09-30;15;49,4;908,9;16,6;6,5;1,9;
2014-10-31;22;111,6;908,1;17;6,3;2,3;
2014-11-30;20;197,6;905,3;18,4;6,2;2;
2014-12-31;16;208,2;905,8;19,8;7;1,9;
2015-01-31;6;20,2;906,9;21,1;7,2;1,8;
2015-02-28;11;148,2;906,2;20,6;6,2;2;
2015-03-31;14;76,6;906;20,4;5,2;2;
2015-04-30;14;null;906,5;18,6;7,4;2,1;
2015-05-31;16;null;908,1;17;6,2;2,1;
2015-06-30;21;null;911,3;16,1;7,1;2,2;
2015-07-31;19;40,6;910,7;16,7;5,4;1,6;
2015-08-31;18;110,2;910,3;15,8;5,6;1,8;
2015-09-30;18;47,8;907,2;18,7;7,9;2,2;
2015-10-31;3;null;null;null;6,5;null;
2015-11-30;9;null;null;21,3;9,4;null;
2015-12-31;11;66;906,5;21,6;8,6;1,7;
2016-01-31;16;null;904,6;20,5;7,9;2;
2016-02-29;5;null;906,4;22,1;5,4;1,8;
2016-03-31;12;78,4;907,5;21;4,6;1,5;
2016-04-30;11;null;907,1;20,2;4,8;1,6;
2016-05-31;11;21,2;908,7;18,1;6,1;2;
2016-06-30;17;81,2;910,2;16,3;6,5;1,9;
2016-07-31;19;58;910,2;16,1;6,3;1,9;
2016-08-31;14;16;909,4;16,6;6,6;1,9;
2016-09-30;16;null;909;17,1;5,7;1,5;
2016-10-31;21;166,2;906,6;17,5;5,6;1,7;
2016-11-30;23;286,4;905,3;18,4;8,2;1,8;
2016-12-31;21;157,8;905,2;20,3;7,5;2,2;
2017-01-31;14;21,8;906,2;20,7;5;1,6;
2017-02-28;20;130,2;906,4;20,2;4,2;1,3;
2017-03-31;15;120,4;905,9;19,8;5,9;1,9;
2017-04-30;18;36,2;907,1;18,4;5,4;2;
2017-05-31;null;null;908,1;16,7;6;1,4;
2017-06-30;null;null;910;16,8;5,4;1,9;
2017-07-31;null;null;913,8;14;6,6;1,9;
2017-08-31;2;null;909,5;14,6;6,5;1,7;
2017-09-30;15;7,8;911,5;15,4;5,2;,9;
2017-10-31;null;null;907;18,5;5,1;1,5;
2017-11-30;null;null;904,9;17,9;4,7;1,6;
2017-12-31;null;null;904,2;19,4;5;1,4;
2018-01-31;4;11,6;905,4;20,7;6,5;1,6;
2018-02-28;null;null;904,8;19,8;4,3;1,3;
2018-03-31;null;null;904,8;20,7;5;1,4;
2018-04-30;null;null;908;18,2;3,6;1,2;
2018-05-31;null;null;909;16,8;6,3;1,4;
2018-06-30;null;null;910;16,9;5;1,6;
2018-07-31;1;null;909,8;16,6;5;1,2;
2018-08-31;19;114,8;909,8;16;5,6;1,7;
2018-09-30;13;26,6;907,1;17;5,8;1,8;
2018-10-31;11;null;null;18,5;6,8;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;9;null;null;20,7;7,4;null;
2019-01-31;7;27;907,6;21,5;5,6;1,6;
2019-02-28;13;122;905,2;22;5,7;2,1;
