Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;5;9,6;1009,6;27,8;8,7;3;
2010-02-28;14;52,4;1009,5;27,5;11,7;2,8;
2010-03-31;14;201,6;1007,8;26,9;7,8;2,7;
2010-04-30;21;192,8;1010,5;24,6;9;2,6;
2010-05-31;14;48,2;1011,1;23,5;7,7;2,3;
2010-06-30;15;18,6;1015,8;21,2;9,1;2,8;
2010-07-31;23;154,4;1016,9;21,6;8;2,1;
2010-08-31;17;12,4;1016,4;20,9;9,3;2,9;
2010-09-30;9;null;1014,9;22,1;9,4;3,2;
2010-10-31;3;null;null;null;10;null;
2010-11-30;3;null;null;null;8,6;null;
2010-12-31;12;213,2;1005,4;26,2;9,4;3,4;
2011-01-31;18;105,8;1007,8;26,4;7,4;3,1;
2011-02-28;13;74,8;1008,7;26,6;7,2;2,6;
2011-03-31;21;305,8;1007,3;25,7;7,2;2,6;
2011-04-30;19;12,2;1010,6;24,7;7;2,3;
2011-05-31;8;32,4;1012,4;22,4;8,4;2,6;
2011-06-30;14;10,4;1013,8;21,4;8;2,9;
2011-07-31;10;62,8;1015,1;21;8,6;2,6;
2011-08-31;16;8,2;1014,5;22;9,3;3,2;
2011-09-30;11;30;1016,1;21,5;9,1;3,4;
2011-10-31;21;237,8;1010,6;22,9;11,3;3,4;
2011-11-30;19;213;1010,6;22,8;8,4;3;
2011-12-31;15;159,2;1008,5;24,7;7,8;3;
2012-01-31;20;174,2;1009,8;25,3;7,1;2,7;
2012-02-29;17;91,8;1010,3;25,7;7,3;2,7;
2012-03-31;9;45,8;1010,2;25,6;8,3;2,7;
2012-04-30;9;59,8;1010,1;25,1;8,5;2,5;
2012-05-31;18;51,6;1013,3;22,4;10,1;3;
2012-06-30;11;50,8;1014,2;22,9;8;2,7;
2012-07-31;20;80,6;1015,2;21,7;9,4;2,7;
2012-08-31;23;125,4;1018,4;21,3;8,4;2,8;
2012-09-30;10;42,4;1015,2;22,3;10,2;3,4;
2012-10-31;15;32,2;1011,9;23,7;8,2;3,3;
2012-11-30;21;362,4;1008,4;24,2;8,1;2,9;
2012-12-31;10;62,6;1008;26,6;7,9;3;
2013-01-31;16;76,4;1009,1;26,2;8;3;
2013-02-28;9;22;1009,7;26,6;7,5;2,7;
2013-03-31;13;109,4;1009,1;26,5;8,4;2,7;
2013-04-30;9;null;null;23,9;8,8;null;
2013-05-31;1;null;null;null;10,3;null;
2013-06-30;3;null;null;null;8,6;null;
2013-07-31;9;44,2;1015,7;21,9;8,5;3;
2013-08-31;13;30,4;1015,4;21,7;8,7;3,1;
2013-09-30;16;42,4;1014,4;22,6;9,1;3,2;
2013-10-31;17;89,6;1012,6;23;9,8;3,3;
2013-11-30;19;196,4;1010;24,2;9;3,1;
2013-12-31;23;648,2;1006,7;25,2;7,9;3,2;
2014-01-31;11;50,6;1011;26,3;7,3;2,7;
2014-02-28;14;83,2;1010,4;26,2;9,9;2,4;
2014-03-31;21;88,4;1010,5;25,7;7,5;2,5;
2014-04-30;12;77;1010,6;25;8,4;2,5;
2014-05-31;8;10,4;1012,3;23,3;7,7;2,6;
2014-06-30;15;37,8;1014,9;22,3;7,2;2,2;
2014-07-31;18;79,8;1017,7;21,4;8,1;2,6;
2014-08-31;12;58,6;1016,1;21,6;10,4;3;
2014-09-30;12;15;1014,4;22,8;9,8;3,3;
2014-10-31;11;105,6;1013,5;23,1;12,2;3,7;
2014-11-30;14;83,8;1009,9;24,5;8;3,3;
2014-12-31;18;101,6;1010,2;25,5;8,3;3,1;
2015-01-31;6;30,8;1011,1;26,8;8,5;3,1;
2015-02-28;13;87,4;1010,1;26,7;7,6;3;
2015-03-31;11;150,6;1009,6;26,4;9;2,7;
2015-04-30;13;19;1010,5;25,2;9,7;2,9;
2015-05-31;8;null;1013,4;23,2;11,3;2,8;
2015-06-30;12;null;1016,4;21,7;8,4;3,1;
2015-07-31;5;null;1016,3;null;9,5;2,3;
2015-08-31;2;null;null;null;7,8;null;
2015-09-30;null;null;null;null;8,1;null;
2015-10-31;null;null;null;null;9,2;null;
2015-11-30;7;null;null;26,8;8,3;null;
2015-12-31;9;30,2;1010,3;27,6;8,4;3,4;
2016-01-31;20;151,2;1008,4;26,4;9,5;3,3;
2016-02-29;7;25,8;1010,1;27,7;7,7;2,9;
2016-03-31;8;46;1011,1;27,4;8,4;2,7;
2016-04-30;7;22,4;1011,1;26,6;7,7;2,5;
2016-05-31;6;23;1013,5;24,2;8,4;3,1;
2016-06-30;8;39;1015,8;22,2;8,6;3,1;
2016-07-31;11;57;1016;22;8,3;2,9;
2016-08-31;10;16,6;1015;22,4;10,6;3;
2016-09-30;9;15,2;1014,2;23,5;8,5;3,3;
2016-10-31;14;55,4;1011,6;23,9;8,4;3;
2016-11-30;17;261;1009,9;24,3;9,2;3,1;
2016-12-31;15;59,4;1009,1;25,8;8,4;3,4;
2017-01-31;9;18,8;1010,1;26,8;8,7;3,1;
2017-02-28;22;41;1010,1;26,5;8,7;2,7;
2017-03-31;10;57,2;1009,7;26,3;9,2;3;
2017-04-30;12;52,2;1011,4;25;7,9;3;
2017-05-31;14;135,8;1013,2;22,9;9,7;2,6;
2017-06-30;14;63;1015,4;22,6;8,8;2,8;
2017-07-31;26;92,4;1020,3;20,3;9,9;2,8;
2017-08-31;9;9,2;1015,9;20,6;9,6;2,9;
2017-09-30;11;null;null;21,1;8,7;null;
2017-10-31;null;null;null;null;7;null;
2017-11-30;11;null;1009;24,4;8,4;2,7;
2017-12-31;21;281,2;1008,3;24,9;8;2,7;
2018-01-31;11;113,2;1009,2;26,5;9,8;3;
2018-02-28;9;null;1008,6;25,3;8,3;2,6;
2018-03-31;7;null;1008,2;null;7,4;2,8;
2018-04-30;13;null;1012,2;24,1;7,3;2,6;
2018-05-31;13;110,8;1014;22,9;6,7;2,8;
2018-06-30;10;39,2;1015,5;22,4;7,1;2,7;
2018-07-31;15;12,6;1015,8;21,9;7,9;2,4;
2018-08-31;13;63,6;1015,6;22;7,4;2,9;
2018-09-30;12;27,8;1012,4;23,1;7,5;3,3;
2018-10-31;19;113,2;1010,6;24,1;11,2;3,5;
2018-11-30;22;254,4;1010,7;24,5;7,2;3;
2018-12-31;17;215,8;1009,5;25,5;null;null;
2019-01-31;6;null;1011,5;27,4;null;null;
2019-02-28;8;90,8;1008,4;28;null;null;
2019-03-31;17;57,4;1009,6;27,2;8,8;3,3;
2019-04-30;13;48,4;1009,7;26,6;7,1;2,7;
2019-05-31;9;93,6;1011,1;25,1;7,8;2,7;
2019-06-30;16;52,4;1016;22,9;9,8;2,7;
2019-07-31;15;23,4;1015,9;21,5;9,4;3,1;
2019-08-31;9;28,4;1017,9;21,8;10;3,4;
2019-09-30;8;22,8;1014,3;23,5;11,1;3,6;
2019-10-31;12;38,6;1011,7;24,6;7,9;3;
2019-11-30;15;352;1009,1;24,9;8,3;3,3;
2019-12-31;16;117;1009,5;25,8;8,3;3,2;
2020-01-31;15;227;1007,8;26,3;9,1;3,5;
2020-02-29;13;113,6;1009,4;26,8;11,6;2,9;
2020-03-31;17;84,8;1010;25,2;7,3;3;
2020-04-30;10;22,2;1011,8;24,6;10,9;3,4;
2020-05-31;9;46,6;1013,6;22,9;8,7;2,8;
2020-06-30;11;36,4;1015,2;22,7;7,4;2,5;
2020-07-31;11;75,8;1015,5;21,9;8,7;2,6;
2020-08-31;15;53,2;1016,1;21,6;8,4;3,2;
2020-09-30;5;31,8;1014;23,7;7,9;3;
2020-10-31;16;155;1010,1;24,4;8,8;3,3;
2020-11-30;18;75,8;1010,1;24,6;8,8;3,2;
2020-12-31;6;36;1009,1;26,6;7,6;3,5;
2021-01-31;15;42,4;1009,9;26,4;7,4;3;
2021-02-28;17;175;1008,2;25,8;10,5;2,9;
2021-03-31;10;170,6;1009,3;26,4;6,7;2,7;
2021-04-30;8;25,6;1010,6;24,8;9,4;3;
2021-05-31;6;7,8;1012,8;23,6;7,6;3;
2021-06-30;11;48,2;1014,5;22,1;8,8;2,6;
2021-07-31;4;1,4;1016,8;21,2;9,2;3,1;
2021-08-31;16;37;1016,8;21,6;8,8;2,8;
2021-09-30;8;43,6;1013,2;23,7;10,7;3,5;
2021-10-31;14;241;1011,3;23,8;7,9;3,4;
2021-11-30;16;209,4;1008,7;23,8;11,9;3,3;
2021-12-31;20;188;1007,7;24,8;7,7;3,1;
2022-01-31;11;164,8;1008,9;26,5;8,3;2,9;
2022-02-28;17;275,2;1008,8;26,1;7,8;2,7;
2022-03-31;16;37;1009,8;26,4;7,5;2,7;
2022-04-30;6;33,2;1010,2;25,8;8,3;2,9;
2022-05-31;10;38,4;1012,7;23,3;7,4;2,9;
2022-06-30;10;13,6;1013,7;21,9;8,9;3;
2022-07-31;17;26,6;1016,2;21,8;7,4;2,3;
2022-08-31;8;8;1015,8;22;11,2;3,6;
2022-09-30;8;6,2;1013,9;22,4;9,2;3,6;
2022-10-31;17;108,2;1011,7;24,6;7,7;3;
2022-11-30;19;419;1009,5;23,5;9,5;3,5;
2022-12-31;22;390,8;1008,2;24,7;9,1;3,1;
2023-01-31;25;314,8;1009,4;25,8;6,8;2,7;
2023-02-28;14;81;1009,9;26,8;6,8;2,8;
2023-03-31;15;55,4;1010,7;26,5;7;2,5;
2023-04-30;17;68,6;1009,7;25,4;8,2;3,1;
2023-05-31;12;23,6;1013,2;23,3;7,2;2,6;
2023-06-30;10;17,4;1015,9;22,3;7;2,3;
2023-07-31;14;81,2;1016,3;21,8;8,8;2,9;
2023-08-31;14;103,8;1013,7;22,7;8,9;2,8;
2023-09-30;10;54,8;1013,5;23,7;10,2;3;
2023-10-31;11;74,2;1010,2;24,9;8,4;3,4;
2023-11-30;9;10,6;1008,9;26,1;8,4;3,7;
2023-12-31;10;105,8;1008,9;26,8;8,2;3,3;
2024-01-31;14;120;1008;26,7;11,4;3,2;
