Nome: TERESOPOLIS-PARQUE NACIONAL
Codigo Estacao: A618
Latitude: -22.4486111
Longitude: -42.98694444
Altitude: 981
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;267;905,9;22,2;4,1;1;
2010-02-28;5;36,8;906,5;22,3;3;,9;
2010-03-31;19;273,4;905,4;20,7;3,3;,8;
2010-04-30;11;90,8;907,7;18;2,9;,8;
2010-05-31;12;56,4;907,3;15,9;3,7;,8;
2010-06-30;14;129,4;910,8;13,8;3,8;,8;
2010-07-31;6;2,8;911,6;15,7;4,7;,7;
2010-08-31;6;4,2;910,8;14,8;3,1;,6;
2010-09-30;12;85;908,6;17,1;3,9;,9;
2010-10-31;21;297;905,8;16,6;6,9;,8;
2010-11-30;21;395,4;903,8;18,5;3,9;1;
2010-12-31;26;707,8;902,2;20,3;3,6;,7;
2011-01-31;18;306,2;903,7;21,4;3,8;1,4;
2011-02-28;11;130,8;905,4;21,8;3,2;,9;
2011-03-31;30;294,4;905,1;19,1;2,7;,5;
2011-04-30;12;null;907,1;19,2;2,8;,8;
2011-05-31;15;null;908,6;14,2;3,3;,6;
2011-06-30;13;97,8;908,9;14;4,8;,8;
2011-07-31;8;109,6;909,5;14,9;3,6;,9;
2011-08-31;4;null;908,7;17;4,1;1,2;
2011-09-30;12;102,8;910,4;15,7;3,7;1,1;
2011-10-31;21;333;905,9;17,7;4;1,1;
2011-11-30;18;288;905,7;16,6;3,8;1;
2011-12-31;24;484,6;904,2;19;3,9;1,1;
2012-01-31;19;428,6;905,4;19,6;4,1;1,1;
2012-02-29;9;123,2;906,3;21;3,2;1;
2012-03-31;18;327,4;906,8;19,7;3,1;,8;
2012-04-30;22;368,6;906,6;18,7;3,5;,8;
2012-05-31;17;156,8;909,5;15,5;3,6;,8;
2012-06-30;14;102,6;909,4;16,5;4;1;
2012-07-31;13;80,2;909,9;15,4;4,6;1,1;
2012-08-31;12;96,2;913,2;15,5;3,4;1,1;
2012-09-30;12;157,8;909,7;16,8;3,8;1,1;
