Nome: SANTA CRUZ
Codigo Estacao: A367
Latitude: -6.22805554
Longitude: -36.02666666
Altitude: 227.49
Situacao: Pane
Data Inicial: 2010-08-16
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-08-31;4;null;null;null;null;null;
2010-09-30;2;2,6;987,9;25,4;7,6;3,4;
2010-10-31;2;7,6;986,3;27;6,1;2,9;
2010-11-30;1;,4;984,9;27,3;6,9;3,2;
2010-12-31;7;15,8;983,8;27,1;5,8;2,8;
2011-01-31;16;277,2;984,2;26,2;6,1;2,3;
2011-02-28;9;116,4;984,9;26,5;6,8;2,2;
2011-03-31;14;80,6;984,7;26,4;6,2;1,8;
2011-04-30;10;null;null;26,1;5,6;null;
2011-05-31;18;124,4;986;24,9;6,8;1,9;
2011-06-30;15;32,2;987,7;24,5;5,9;2,1;
2011-07-31;9;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;1;,8;989;25,2;7,6;3,4;
2011-10-31;6;6,6;985,8;26,1;6,8;2,9;
2011-11-30;6;3,8;985,7;26,6;6,5;3;
2011-12-31;4;12;985,7;26,9;6,3;3;
2012-01-31;null;null;985,9;26,8;6,2;3;
2012-02-29;null;null;985,4;26,6;6,4;2,7;
2012-03-31;7;23,8;985,9;26,9;6,3;2,7;
2012-04-30;0;0;985,7;27,4;6,2;2,7;
2012-05-31;8;19,8;987,3;26,4;5,7;2,6;
2012-06-30;11;45,2;988,7;25;7;2,3;
2012-07-31;13;44,4;989;24,1;7,7;2,5;
2012-08-31;2;,8;990;24,7;6,9;3,2;
2012-09-30;1;1;989,6;25,5;6,3;3,1;
2012-10-31;2;2,4;987,1;26,2;6,7;3,2;
2012-11-30;3;1,6;985,7;26,9;6;2,9;
2012-12-31;2;,4;985,3;27,5;6,2;3,1;
2013-01-31;3;5;986,1;27,7;6;2,8;
2013-02-28;4;26,8;985,3;27,9;6,1;3;
2013-03-31;6;12,8;985,7;28,2;6,1;2,8;
2013-04-30;12;57,6;986;27,6;5,8;2,3;
2013-05-31;12;46,4;987;26,2;6,5;2,2;
2013-06-30;14;83,8;988;25;5,6;2;
2013-07-31;14;63;989,1;24,2;6,7;2,3;
2013-08-31;5;25,8;988,5;24,8;5,7;2,6;
2013-09-30;11;40,6;988,6;25;6,5;2,9;
2013-10-31;2;1,4;987,5;26,5;6,1;3;
2013-11-30;5;1,2;985,7;26,7;6,1;null;
2013-12-31;5;20,6;985,9;26,9;5,7;2,8;
2014-01-31;7;45;986,3;26,9;5,9;2,9;
2014-02-28;6;6;985,4;26,7;6,7;2,7;
2014-03-31;11;42,2;985,9;27,2;6,2;2,5;
2014-04-30;6;5;986;27,7;6;2,4;
2014-05-31;11;150,4;986,4;26,5;6;2,2;
2014-06-30;null;null;null;null;6,2;null;
2014-07-31;9;null;null;24,1;6,6;null;
2014-08-31;null;null;989,7;25;7,4;2,8;
2014-09-30;9;45,8;989;25,3;6,4;2,6;
2014-10-31;7;6;987,9;26,3;6,5;3;
2014-11-30;5;8,2;986,5;26,7;5,2;2,6;
2014-12-31;5;2,8;986,7;27,1;5,7;2,7;
2015-01-31;2;,8;987,2;27,5;5,7;2,8;
2015-02-28;9;66,4;986,4;27,5;6,2;2,5;
2015-03-31;13;93,6;986,1;26,5;6,3;2;
2015-04-30;null;null;986,4;27,2;6,1;2,1;
2015-05-31;null;null;987,3;26,8;6;2,2;
2015-06-30;8;22,4;989,2;25;6,3;2,1;
2015-07-31;21;67,8;989,5;24,2;6;2,2;
2015-08-31;4;4,4;989,5;24,7;7;2,7;
2015-09-30;2;1,6;988,7;26;6,7;2,6;
2015-10-31;4;2,8;988,2;26,5;6,4;2,8;
2015-11-30;0;0;986,4;27,3;5,4;2,6;
2015-12-31;6;14,2;987,5;27,3;5,6;2,5;
2016-01-31;16;143,6;986,6;26,5;7,4;1,8;
2016-02-29;6;16,8;986,6;27,1;5,7;2,2;
2016-03-31;7;40,6;986,8;27,9;4,7;2,3;
2016-04-30;12;56;986,3;26,8;6,8;2,2;
2016-05-31;14;63,8;988,3;26;5,3;2;
2016-06-30;6;null;989,5;25,6;5,9;2,1;
2016-07-31;null;null;null;null;null;null;
2016-08-31;2;3,2;989,4;25,8;6;2,7;
2016-09-30;2;2,4;988,9;26,4;5,6;2,9;
