Nome: PRESIDENTE KENNEDY
Codigo Estacao: A622
Latitude: -21.10083333
Longitude: -41.03944444
Altitude: 69.12
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;88,6;1003,6;27,8;12,6;5,4;
2010-02-28;24;197;1004,1;27,8;13,6;5;
2010-03-31;23;165,6;1003;26,3;9,6;3,2;
2010-04-30;16;57,8;1006,3;24,2;9,4;3,3;
2010-05-31;16;51,4;1006,6;22,7;10,4;2,9;
2010-06-30;12;35,4;1011,4;20,3;9,7;2,9;
2010-07-31;17;104,8;1012,2;21,2;9,3;3,3;
2010-08-31;14;56,8;1011,3;20,6;12,5;3,8;
2010-09-30;26;307,8;1008,7;22,2;15,6;4,9;
2010-10-31;19;109;1005,1;22,8;12,5;3,9;
2010-11-30;19;172,6;1002,8;23,5;12,9;3,4;
2010-12-31;24;324,2;999,7;25,8;13,5;3,6;
2011-01-31;27;327,6;1001,8;26,4;13,2;4,5;
2011-02-28;24;393,4;1003,2;26,9;12,9;4,9;
2011-03-31;23;334;1003,1;24,7;9,4;2,7;
2011-04-30;16;216,6;1006,1;24,3;11;2,9;
2011-05-31;20;79,8;1008,1;21,6;7,7;2,5;
2011-06-30;13;92;1009,2;20,6;8,8;2,8;
2011-07-31;17;39,8;1010,1;20,5;9,8;3,5;
2011-08-31;12;28;1009;21,8;10,5;3,8;
2011-09-30;14;19,2;1011,2;20,9;13;4,2;
2011-10-31;19;112,2;1005,8;22,6;13,1;4,5;
2011-11-30;null;null;null;null;12,3;null;
2011-12-31;17;null;1002,6;24,5;10;3,4;
2012-01-31;22;117,6;1004,2;24,7;13,8;4,5;
2012-02-29;24;67,2;1004,6;25,9;12,8;5,1;
2012-03-31;22;106,2;1005;25,2;11,4;3,6;
2012-04-30;9;37,2;1005,2;24,6;8,6;2,8;
2012-05-31;16;88,6;1009,2;21,6;9,5;2,8;
2012-06-30;14;140,6;1009,2;22,3;8;2,7;
2012-07-31;6;null;1010;21,3;10;3,4;
2012-08-31;21;97,4;1014,2;20,8;10,8;3,1;
2012-09-30;13;null;1009,7;21,9;14,6;4,2;
2012-10-31;2;null;1005,9;24,1;15,2;5,4;
2012-11-30;25;238,2;1003,8;23,5;13;3,7;
2012-12-31;6;46,8;1002,1;26,7;13,1;3,9;
2013-01-31;16;203,2;1003,7;25,7;13,4;4,5;
2013-02-28;5;6,2;1004;26,3;12,4;4,7;
2013-03-31;17;179,2;1004,7;25,3;11,8;3,1;
2013-04-30;13;23,6;1007;23,3;8,8;2,6;
2013-05-31;11;35,8;1007,8;22,2;18,4;2,9;
2013-06-30;13;71,8;1009;22,1;10,3;2,6;
2013-07-31;12;48,2;1011;20,9;7,6;2,8;
2013-08-31;6;70,6;1010,2;21,3;11;3,8;
2013-09-30;9;10,8;1009;22,1;13,6;4,2;
2013-10-31;11;29,4;1007,2;22,9;13;4,1;
2013-11-30;15;126,2;1004,9;23,8;13,5;4,4;
2013-12-31;11;null;null;24,8;9,9;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;9;65,2;1005,3;25,9;12,7;4,3;
2014-04-30;10;95,2;1006,2;24,3;10,2;3,2;
2014-05-31;7;17,4;1007,7;22,7;9,4;2,8;
2014-06-30;14;57,6;1009,9;21,9;9,2;3,1;
2014-07-31;7;57;1013,1;20,8;10,3;3,2;
2014-08-31;10;18,4;1011,1;21;11,2;3,6;
2014-09-30;6;15,2;1008,5;22,6;13,8;5,2;
2014-10-31;15;52,4;1008;22,8;15,4;4,6;
2014-11-30;6;null;null;null;14,8;null;
2014-12-31;null;null;null;null;14,2;null;
2015-01-31;null;null;null;null;13,4;null;
2015-02-28;null;null;null;null;14,5;null;
2015-03-31;null;null;null;null;10;null;
2015-04-30;2;null;null;null;9,1;null;
2015-05-31;13;88,4;1009,3;22,1;9,1;3;
