Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-05-15
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;4,6;996,1;27,3;6,6;2,2;
2010-02-28;11;65;996,1;26,8;6,7;2;
2010-03-31;24;186;994,5;26,3;6,8;1,9;
2010-04-30;17;141,6;997;24,1;8,2;1,9;
2010-05-31;10;28;997,6;23;5,6;1,6;
2010-06-30;9;4,6;1002,1;20,8;5,6;1,9;
2010-07-31;21;74,4;1003,2;21,1;5,9;1,9;
2010-08-31;7;3,8;1002,7;20,8;6,1;2,1;
2010-09-30;7;17,8;1000,5;22,5;6,5;2,4;
2010-10-31;9;66,4;996,5;23,7;6,6;2,5;
2010-11-30;19;291,8;994,3;24;8,1;2,3;
2010-12-31;11;259,8;992;25,6;9,7;2,1;
2011-01-31;18;122,8;994,4;25,7;9,1;2,1;
2011-02-28;9;88,2;995,2;26,4;6,5;2;
2011-03-31;17;378,2;993,9;25,2;6,6;1,8;
2011-04-30;25;173,4;997,1;24;6,5;1,7;
2011-05-31;12;8,6;998,8;21,8;5,6;1,7;
2011-06-30;9;41;1000,2;21,2;6,6;1,9;
2011-07-31;10;29,4;1001,4;20,7;5,8;1,8;
2011-08-31;4;null;null;21,4;6,3;null;
2011-09-30;1;null;null;null;6,1;null;
2011-10-31;20;147,2;996,9;22,7;6,6;2,5;
2011-11-30;17;213,2;996,9;22,5;6,3;2,2;
2011-12-31;19;129,4;995;24,4;6,6;2;
2012-01-31;19;135,6;996,3;24,7;6,1;2;
2012-02-29;12;48;996,7;25,2;6,3;2,1;
2012-03-31;19;128,4;996,6;25,3;6,4;1,9;
2012-04-30;12;50;996,5;25;5,2;1,8;
2012-05-31;17;33,4;999,7;22,5;6,6;2,1;
2012-06-30;4;,8;1000,6;22,8;5,6;1,9;
2012-07-31;null;null;1001,5;21,2;6,6;1,8;
2012-08-31;9;76,6;1004,5;20,7;8,4;2,3;
2012-09-30;10;27;1001,4;22;8,1;2,3;
2012-10-31;11;36,2;998,2;23,3;6,2;2,2;
2012-11-30;22;271,8;994,8;23,8;6,9;2,1;
2012-12-31;7;10,2;994,5;26,3;6,3;2,1;
2013-01-31;15;180;995,6;25,7;7,9;2,1;
2013-02-28;9;4;996,2;26;6,2;2;
2013-03-31;11;74,2;995,9;26,1;6,8;2;
2013-04-30;13;95,8;997,7;23,7;5,9;1,9;
2013-05-31;10;31,6;998,9;22,6;7,1;1,8;
2013-06-30;10;44,6;1000,3;22,3;5,3;1,6;
2013-07-31;10;26,2;1001,9;21,8;6,1;2,1;
2013-08-31;20;44,6;1001,6;21,2;7,2;2,2;
2013-09-30;15;58;1000,6;22,3;7,1;2,3;
2013-10-31;15;118;998,9;22,5;6,6;2,2;
2013-11-30;7;null;996,2;23,9;6,6;2,3;
2013-12-31;null;null;993,2;24,9;6,3;2;
2014-01-31;null;null;997,5;25,2;6,8;1,8;
2014-02-28;10;90,2;996,9;25,2;6,8;1,9;
2014-03-31;14;69;996,9;25,2;5,6;1,8;
2014-04-30;9;45,6;997,1;24,5;5,4;1,7;
2014-05-31;6;7,6;998,7;23,1;6,3;1,8;
2014-06-30;16;51,4;1001,2;21,7;5;1,7;
2014-07-31;17;26,2;1003,8;21;7;2;
2014-08-31;15;73,6;1002,3;21,2;6,7;2,1;
2014-09-30;10;19,8;1000,5;22,5;8,2;2,4;
2014-10-31;9;116,2;999,6;22,9;6,9;2,7;
2014-11-30;15;102,4;996,2;24,1;6,1;2,4;
2014-12-31;12;74,8;996,5;25;6,4;2,2;
2015-01-31;7;12,2;997,4;26,6;7,2;2,4;
2015-02-28;8;182;996,6;26,3;6,3;2,2;
2015-03-31;12;131,4;996,1;25,7;6,9;1,8;
2015-04-30;10;11,6;996,9;24,6;5,9;1,9;
2015-05-31;15;45;1000;22,7;6,4;2,1;
2015-06-30;18;56,6;1002,5;22,1;5,8;2,2;
2015-07-31;16;21,8;1002,5;21,2;6,6;1,6;
2015-08-31;19;42;1002,3;21,2;5,9;1,8;
2015-09-30;5;4,2;998,4;24,5;6,8;2,5;
2015-10-31;4;8;998,4;25,2;8,2;2,8;
2015-11-30;9;69;994,6;26,9;7,1;2,6;
2015-12-31;9;58,8;996,7;27,1;6,9;2,5;
2016-01-31;21;214,6;994,9;25,9;7,3;2,3;
2016-02-29;4;72,2;996,7;27;5,7;2;
2016-03-31;null;null;997,6;26,8;6,6;1,9;
2016-04-30;null;null;997,5;25,9;6,3;1,8;
2016-05-31;null;null;999,8;24;6,4;2;
2016-06-30;null;null;1001,9;22,1;5,6;2,1;
2016-07-31;5;8,2;1002,2;21,6;5,6;2,1;
2016-08-31;10;12,6;1001,2;22,3;6;2,2;
2016-09-30;9;26,8;1000,3;23,5;6,8;2,5;
2016-10-31;12;47,6;997,7;24;6,7;2,7;
2016-11-30;17;174;996,2;24,2;7,2;2,4;
2016-12-31;15;150,8;995,6;25,5;6,2;2,3;
2017-01-31;9;19,2;996,6;26,3;6,4;2,2;
2017-02-28;19;98,4;996,6;25,6;6,1;2;
2017-03-31;12;65;996,1;25,7;5,3;1,9;
2017-04-30;7;25,2;997,7;24,8;6,6;2,2;
2017-05-31;13;63,6;999,5;22,7;6,1;1,9;
2017-06-30;17;50,8;1001,6;22,1;5,6;1,9;
2017-07-31;21;57,6;1006,3;19,8;6,5;2,2;
2017-08-31;10;13;1002;20,3;8,1;2;
2017-09-30;1;1,2;1003,8;21,1;7,9;2,3;
2017-10-31;12;11,6;998,2;24,6;7,1;2,6;
2017-11-30;1;null;null;null;7,2;null;
2017-12-31;null;null;null;null;6,6;null;
2018-01-31;null;null;null;null;6,6;null;
2018-02-28;null;null;null;null;4,9;null;
2018-03-31;null;null;null;null;4,9;null;
2018-04-30;6;null;null;null;5;null;
2018-05-31;11;77,6;1000,4;22,2;4,8;1,7;
2018-06-30;12;18,6;1001,8;21,9;5,4;1,6;
2018-07-31;9;10;1002,1;21,3;4,8;1,5;
2018-08-31;13;114;1001,6;21,8;5,6;1,8;
2018-09-30;12;20,6;998,6;22,8;6;2,1;
2018-10-31;18;160,8;996,9;23,8;6,9;2,2;
2018-11-30;21;202;996,9;24;6,9;2;
2018-12-31;22;305,2;996;24,6;6,4;1,9;
2019-01-31;9;13,2;998;26,2;5,6;1,9;
2019-02-28;8;74;994,9;27,4;5,7;1,8;
2019-03-31;9;36;996,1;26,9;6,7;2,1;
2019-04-30;10;61,8;996,2;26,4;7,1;1,8;
2019-05-31;12;22;997,6;24,6;7,1;1,7;
2019-06-30;17;47,4;1002,3;22,5;6,6;1,8;
2019-07-31;15;34,8;1002,1;21,1;7,2;2,1;
2019-08-31;13;64,8;1004;21,4;7,5;2,4;
2019-09-30;8;13,2;1000,5;23,1;8,1;2,4;
2019-10-31;12;120;997,9;24,1;6,2;2,3;
2019-11-30;17;157;995,5;24,6;7,2;2,2;
2019-12-31;17;122,2;995,9;25,1;7,6;2,2;
2020-01-31;17;189;994,4;25,8;7;2,2;
2020-02-29;14;77,2;995,9;26,4;6;2;
2020-03-31;21;182,6;996,4;24,7;6,5;2,1;
2020-04-30;10;46,2;998,1;24,2;5,7;2,3;
2020-05-31;15;58,4;999,9;22,4;6;1,8;
2020-06-30;17;29,2;1001,4;22,1;6,4;1,7;
2020-07-31;18;39;1001,8;21,3;6,9;1,9;
2020-08-31;4;1,2;1002,2;21,5;5,8;2,4;
2020-09-30;1;,2;1000,3;23,7;6,9;null;
2020-10-31;null;null;null;null;7,6;null;
2020-11-30;null;null;996,6;24,3;6,6;null;
2020-12-31;null;0;995,5;26;6,4;null;
2021-01-31;1;,2;996,3;25,8;6,7;null;
2021-02-28;5;9,6;994,7;25,3;6;null;
2021-03-31;null;null;995,9;25,7;5,7;null;
2021-04-30;null;null;null;null;5,4;null;
2021-05-31;null;null;null;null;5,8;null;
2021-06-30;null;null;null;null;6;null;
2021-07-31;null;null;null;null;5,9;null;
2021-08-31;null;null;null;null;6,2;null;
2021-09-30;null;null;null;null;5,7;null;
2021-10-31;5;null;null;null;6,3;null;
2021-11-30;14;163;995,1;23,5;6,7;2,3;
2021-12-31;24;297,4;994,1;24,1;5,8;2,2;
2022-01-31;14;92,6;995,3;25,9;6,5;2,1;
2022-02-28;20;218,8;995,2;25,6;6,6;1,8;
2022-03-31;18;148,4;996,3;25,4;7;1,7;
2022-04-30;6;19;996,7;25,2;5,8;1,9;
2022-05-31;12;62,4;999,1;22,5;5,4;1,9;
2022-06-30;7;8,4;1000;21;6,4;1,8;
2022-07-31;16;38,8;1002,4;20,9;6,3;1,8;
2022-08-31;6;4,8;1001,9;21,3;8,2;2,4;
2022-09-30;8;6;1000;22,1;7,8;2,6;
2022-10-31;23;50,2;997,9;24,5;6,6;2,5;
2022-11-30;22;275,8;995,7;23,4;7;2,5;
2022-12-31;23;477,6;994,6;24,2;6,6;2,2;
2023-01-31;16;null;995,7;25,5;5,5;2;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;

