Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Operante
Data Inicial: 2018-10-10
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;5;null;null;22,6;3,4;null;
2018-11-30;13;202,6;981,2;23,5;5,6;1,1;
2018-12-31;14;233,2;980;24,9;6,1;1;
2019-01-31;6;106,6;981,3;27;3,2;1;
2019-02-28;15;198,6;979,4;25,8;4,5;1;
2019-03-31;16;126,8;981,3;25,1;4,7;1;
2019-04-30;5;37,6;980,9;24,1;4;,8;
2019-05-31;7;125,2;982,4;22;3,6;,7;
2019-06-30;4;14,8;987;19,9;3,3;,7;
2019-07-31;2;3,2;986,6;17,8;3,4;,8;
2019-08-31;8;22;988,4;19,2;3,5;,9;
2019-09-30;6;54,4;984;22,7;3,9;1;
2019-10-31;13;44;981,6;24,1;5;1;
2019-11-30;20;159,4;979,9;24;3,9;1,1;
2019-12-31;15;247,6;980;24,5;4;1,1;
2020-01-31;21;219,2;978,3;25,1;3,9;,9;
2020-02-29;17;193,8;980,4;24,9;4,1;,9;
2020-03-31;16;234,2;981,7;23,7;3,5;,9;
2020-04-30;11;32,6;983,3;22;3,1;,8;
2020-05-31;12;73;984,7;18,9;2,7;,7;
2020-06-30;3;,6;985,9;19,4;3;,7;
2020-07-31;8;18,2;986;19,4;4,1;,8;
2020-08-31;8;14,6;986,6;19,5;3,3;,9;
2020-09-30;5;49,2;983,6;23,3;3,8;,9;
2020-10-31;17;84,6;980,7;24,1;4,8;1,1;
2020-11-30;19;216,2;980,8;23,6;4,1;1,1;
2020-12-31;17;205,4;979,2;25,3;2,8;,9;
2021-01-31;6;98;979,9;25,6;3,9;1,1;
2021-02-28;17;215,6;978,6;24,8;3,6;1;
2021-03-31;19;156,4;980;24,8;6,7;1;
2021-04-30;18;80;982,2;21,2;3,9;,9;
2021-05-31;4;16,8;983,8;20,2;3,5;,7;
2021-06-30;6;12;985,4;18,4;2,8;,7;
2021-07-31;5;3;987,7;16,6;3,1;,8;
2021-08-31;1;7,8;987;19,5;4,1;,9;
2021-09-30;7;13,4;983,1;23,4;3,6;1,1;
2021-10-31;22;208,6;982,1;22,4;4,6;1;
2021-11-30;13;143,2;979,4;22,8;3,5;1;
2021-12-31;24;321,8;978,5;23,5;4,7;1;
2022-01-31;17;321;979,2;25,2;4;1;
2022-02-28;19;null;979,4;24,8;3,4;1;
2022-03-31;4;27;980,4;25,2;3,2;,9;
2022-04-30;8;56;981,6;23;5,7;,8;
2022-05-31;11;51,2;983,7;19,6;3;,8;
2022-06-30;6;1,2;984,6;18,2;3,9;,7;
2022-07-31;1;,2;986,3;19;3,6;,7;
2022-08-31;4;2,2;986,2;19,3;3,8;,9;
2022-09-30;9;96,2;984,2;20,8;3,8;,9;
2022-10-31;16;71,8;981,9;23,6;5;1;
2022-11-30;21;269;980,8;22,6;4;1,1;
2022-12-31;23;236,4;979;23,8;4,5;1,1;
2023-01-31;19;364,8;979,8;24,6;3,7;1;
2023-02-28;13;185,4;980,4;25,8;4,7;1;
2023-03-31;6;57,2;981,7;25,2;3,9;,9;
2023-04-30;10;66,6;981,5;22,9;4,4;,8;
2023-05-31;0;0;984,8;20,1;3,6;,7;
2023-06-30;0;null;986,7;18,4;3,1;,7;
2023-07-31;7;null;987,2;18,6;3,3;,7;
2023-08-31;13;75,4;984,3;20,7;3,9;,8;
2023-09-30;6;64,4;983,2;23;3,4;,9;
2023-10-31;18;235,2;980,5;24,5;4,5;1;
2023-11-30;13;74,8;979,4;26,1;6;1;
2023-12-31;14;203,8;979,7;26;5,7;1,1;
2024-01-31;18;194,6;978,9;25,7;4,6;,9;
2024-02-29;21;134,4;981,1;25,7;6,3;1;
2024-03-31;14;null;980,1;26;5,7;,9;
2024-04-30;6;4,6;982,4;23,9;2,9;,8;
2024-05-31;4;null;null;23,5;3,4;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;1;null;null;null;2,4;null;

