Nome: BACABAL
Codigo Estacao: A220
Latitude: -4.24305555
Longitude: -44.79499999
Altitude: 22.33
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;313;1007,6;27;5;,6;
2010-02-28;16;298,6;1006,7;27,2;,5;0;
2010-03-31;15;167,8;1007,5;27,8;0;0;
2010-04-30;23;257,6;1007,4;27,3;2,3;,1;
2010-05-31;12;102,8;1007,8;27,8;3,8;1;
2010-06-30;11;26,4;1009,9;26,8;5,6;1,3;
2010-07-31;3;14,2;1009,6;26,9;5,9;1,2;
2010-08-31;0;0;1009,5;27,6;6,6;1,1;
2010-09-30;1;1,6;1007,8;29;6,6;1,1;
2010-10-31;7;42,2;1007,3;29;5,5;1,6;
2010-11-30;8;74,2;1005,8;28,8;5,4;1,4;
2010-12-31;13;100,4;1005,4;27,7;5,4;1,1;
2011-01-31;15;null;1006;26,7;5,6;1;
2011-02-28;20;null;1007,3;25,9;5,6;1;
2011-03-31;27;330;1007,2;26,5;5,8;1;
2011-04-30;26;361,2;1007,7;26,3;6,4;,9;
2011-05-31;13;302,6;1007,9;26,9;6;1,1;
2011-06-30;6;15,8;1009,2;26,9;5,6;1;
2011-07-31;5;104,2;1009,4;26,3;8,2;1,1;
2011-08-31;6;10;1009,6;27,4;4,6;1;
2011-09-30;1;,2;1009,2;28,7;5,7;1,3;
2011-10-31;null;null;1006,6;28,4;7,2;1,5;
2011-11-30;null;null;1006,6;28,1;6;1,4;
2011-12-31;null;null;null;null;4,1;null;
2012-01-31;null;null;null;null;6,3;null;
2012-02-29;null;null;1007,3;null;5;1,1;
2012-03-31;null;null;1008;26,1;4,5;,6;
2012-04-30;null;null;1007,6;26,9;4;,6;
