Nome: PORTO DE MOZ
Codigo Estacao: A245
Latitude: -1.82194443
Longitude: -52.11166666
Altitude: 19
Situacao: Operante
Data Inicial: 2022-04-06
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-04-30;21;null;1008,8;26,1;3,8;1;
2022-05-31;27;427,2;1010,4;26,1;5,6;1;
2022-06-30;26;329;1010;25,8;4,1;1;
2022-07-31;18;118;1010,3;26,5;4,1;1;
2022-08-31;12;102,6;1010;26,8;4,3;1;
2022-09-30;6;27,6;1009,3;27,6;3;1,1;
2022-10-31;11;28,8;1008,2;27,9;3,6;1,1;
2022-11-30;12;132,8;1008,2;27,3;4,8;1,1;
2022-12-31;21;247,8;1008,2;26,5;3,6;1;
2023-01-31;30;335,8;1009,5;25,6;3,4;,9;
2023-02-28;25;null;1009,4;25,6;3,7;,9;
2023-03-31;26;393;1009,7;26;4,1;1;
2023-04-30;27;293,4;1009;26,3;5;1;
2023-05-31;25;182,6;1009,8;26,8;4,7;1;
2023-06-30;21;206,2;1010,9;26,8;3,5;1;
2023-07-31;14;39,2;1011,1;27,1;3,8;,9;
2023-08-31;4;13,2;1010,1;28,1;3,9;1;
2023-09-30;8;59;1009,2;28,6;6,9;1,1;
2023-10-31;6;7;1008,1;29;5,8;1,1;
2023-11-30;10;119,2;1007,8;28,7;6,1;null;
2023-12-31;20;159,2;1008,2;27,4;5,1;null;
2024-01-31;26;180,8;1009,8;27,2;7;null;
2024-02-29;22;374,2;1009,9;27;9,4;null;
2024-03-31;28;360,8;1009,4;27;6;null;
2024-04-30;27;383,2;1008,9;27,3;3,1;null;
2024-05-31;29;444;1009,2;27,3;4,8;null;
2024-06-30;20;120,6;1010,2;27,4;4,2;null;
2024-07-31;6;null;null;null;3,6;null;

