Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Pane
Data Inicial: 2017-03-21
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;4;null;null;null;null;null;
2017-04-30;4;6,6;1003,8;24,9;5,6;1,5;
2017-05-31;7;53,6;1005,6;22,5;5,2;1,2;
2017-06-30;11;84,6;1007,7;21,9;7,4;1,2;
2017-07-31;23;78;1012,7;19,3;7,3;1,3;
2017-08-31;8;6,2;1008,1;20;6,3;1,3;
2017-09-30;15;17,2;1009,9;21,4;5,3;1,4;
2017-10-31;10;41,4;1004;25,2;7,2;1,7;
2017-11-30;17;128,6;1001,8;24,3;7,1;1,8;
2017-12-31;20;223,4;1000,6;25,2;6;1,4;
2018-01-31;11;130,8;1001,5;27;5,2;1,4;
2018-02-28;15;230;1001;25,6;7,7;1,3;
2018-03-31;15;133,2;1000,6;26,3;5,1;1,2;
2018-04-30;21;112,8;1004,9;23,5;6,7;1,1;
2018-05-31;17;58,4;1006,6;21,8;4,7;1,1;
2018-06-30;13;32,6;1007,8;21,5;5,2;1;
2018-07-31;10;5,2;1008,2;20,8;4,1;1;
2018-08-31;9;37,6;1007,9;22,1;5,7;1,3;
2018-09-30;7;13;1004,6;23,3;7,4;1,5;
2018-10-31;17;77,2;1002,8;24,7;7,7;1,7;
2018-11-30;18;139,2;1003;24,6;5,7;1,4;
2018-12-31;14;329;1001,8;25,4;7,5;1,3;
2019-01-31;7;6;1003,8;27,3;5;1,3;
2019-02-28;7;69,2;1000,7;28;7,3;1,3;
2019-03-31;7;56;1002,1;27,1;7,5;1,4;
2019-04-30;13;33,2;1002,2;26,5;6,3;1,2;
2019-05-31;7;40;1003,6;24,6;5,1;1,1;
2019-06-30;12;12;1008,5;22,4;5,7;1,1;
2019-07-31;11;15,8;1008,3;21;6,9;1,3;
2019-08-31;7;24,4;1010,2;21,6;8,1;1,7;
2019-09-30;8;24,8;1006,4;24,2;7,9;1,8;
2019-10-31;11;45;1003,8;25,3;6,4;1,5;
2019-11-30;19;215,6;1001,4;25;7,5;1,4;
2019-12-31;16;114,6;1001,8;25,9;6,4;1,4;
2020-01-31;15;249,4;1000;26,7;6,9;1,3;
2020-02-29;14;150,6;1001,8;26,6;6,7;1,1;
2020-03-31;22;203,6;1002,5;24,9;5,9;1,2;
2020-04-30;11;31,2;1004,3;24;5,9;1,2;
2020-05-31;20;66,2;1006,1;21,6;5,8;1;
2020-06-30;17;33;1007,6;21,2;4,6;1;
2020-07-31;15;25,2;1007,9;20,9;6,4;1;
2020-08-31;15;34;1008,4;21,2;6;1,3;
2020-09-30;6;11,8;1006,2;24,2;5,8;1,3;
2020-10-31;14;274;1002,4;24,9;8,1;1,6;
2020-11-30;20;138,8;1002,4;24,5;6,6;1,2;
2020-12-31;7;166;1001,3;26,8;5,9;1,2;
2021-01-31;12;84,8;1002,2;26,3;5,2;1,1;
2021-02-28;21;168,2;1000,6;25,6;4,6;1;
2021-03-31;4;null;null;null;5,8;null;
2021-04-30;null;null;null;null;6,1;null;
2021-05-31;null;null;null;null;5,5;null;
2021-06-30;null;null;null;null;5;null;
2021-07-31;null;null;null;null;4,6;null;
2021-08-31;null;null;null;null;5,4;null;
2021-09-30;null;null;null;null;6,9;null;
2021-10-31;5;null;null;null;6,4;null;
2021-11-30;17;184,4;1001;23,8;4,8;1,2;
2021-12-31;17;188,8;1000,1;24,6;6;1,1;
2022-01-31;13;105,8;1001,1;26,6;4;1,2;
2022-02-28;22;284,6;1001,1;25,9;7,6;1;
2022-03-31;11;31,8;1002,3;26,1;4,2;,9;
2022-04-30;6;11,4;1002,7;25,2;4,6;1;
2022-05-31;10;45;1005,2;22,3;4,4;1;
2022-06-30;12;3,4;1006,2;20,4;4,9;1;
2022-07-31;13;24,6;1008,6;20,9;4,2;,9;
2022-08-31;6;11,4;1008;21,7;7;1,3;
