Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2022-11-07
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;3;null;765;9,3;9,6;2,5;
2017-10-31;15;159,2;763,5;11,7;11,3;3,3;
2017-11-30;22;276,4;761,3;10,9;11,1;null;
2017-12-31;26;242;761,7;12,2;null;null;
2018-01-31;28;483,8;762,9;12,5;null;null;
2018-02-28;25;214;762,3;12;8,4;null;
2018-03-31;26;336,4;762,9;12,8;null;null;
2018-04-30;22;42,8;764,4;9,7;null;null;
2018-05-31;14;50,6;764,5;7,8;null;null;
2018-06-30;14;56,6;765,3;7,6;null;null;
2018-07-31;12;28,2;765,1;6,9;9,5;2,7;
2018-08-31;17;117,6;764,8;7,9;11,9;3;
2018-09-30;16;130;762,9;9,8;13;3,1;
2018-10-31;26;175,4;763;11,9;12,7;2,9;
2018-11-30;22;null;762,8;11,3;9,4;3;
2018-12-31;23;279,8;763;12,3;6,9;2,4;
2019-01-31;28;197,4;765,4;13,6;null;null;
2019-02-28;23;308,4;762,2;12,9;10,6;null;
2019-03-31;29;342,6;763,2;12,1;8,4;2,4;
2019-04-30;19;137,8;762,7;11,3;8,1;2,4;
2019-05-31;17;106,2;762,2;9,8;14,3;2,7;
2019-06-30;16;34,4;763,9;7,8;9,9;3,3;
2019-07-31;7;82,6;761,4;6,6;13,9;3,1;
2019-08-31;15;58,4;764,9;8,3;7,6;2,8;
2019-09-30;12;159,2;763,1;11,3;12,5;2,7;
2019-10-31;16;232,4;762,8;11,8;7,1;2,4;
2019-11-30;25;264,6;761,5;12,1;11,2;2,9;
2019-12-31;24;300;761,5;12,2;8,8;2,9;
2020-01-31;24;328,4;761,3;13,1;7,6;2,5;
2020-02-29;29;465,2;762,7;12,7;9,9;3;
2020-03-31;23;228,4;762,2;10,7;5,8;null;
2020-04-30;18;42,4;761,2;9,7;9,8;3;
2020-05-31;15;70,8;762,4;8;12,1;3,4;
2020-06-30;18;42;763,4;8,5;13;2,7;
2020-07-31;12;16,6;763,3;8,2;13,3;3,4;
2020-08-31;9;42,2;762,8;7,4;8,1;2,9;
2020-09-30;11;83,8;763,7;11;9,5;2,6;
2020-10-31;20;156,8;761,2;12;9;2,7;
2020-11-30;24;236,6;761,4;10,9;7,8;2,8;
2020-12-31;30;517,8;762,4;12,6;8,4;2,6;
2021-01-31;23;null;762,9;13,2;5,9;2,4;
2021-02-28;25;362,8;760,5;11,8;6,6;2,5;
2021-03-31;25;183,2;762,2;12,1;11,9;2,6;
2021-04-30;18;28,8;760,5;8,7;6,5;2,4;
2021-05-31;18;54,6;762,8;8,5;10,8;3;
2021-06-30;13;24,8;761,8;7,3;11;2,9;
2021-07-31;7;42,2;762,2;5,6;9,4;3,1;
2021-08-31;10;33;764,2;8,1;7,4;2,6;
2021-09-30;12;30,6;764,1;12,5;8,9;2,8;
2021-10-31;30;312;761,7;11,1;10,7;3;
2021-11-30;20;335;760,5;11;9,2;2,7;
2021-12-31;26;386,4;759,7;11,2;7,8;2,9;
2022-01-31;30;817,4;761,8;12,5;null;null;
2022-02-28;25;273,8;761,8;12,2;null;null;
2022-03-31;27;221,6;762,8;12,4;9,2;null;
2022-04-30;21;182,6;761,6;10,7;12,2;2,5;
2022-05-31;18;64,8;761,3;7,1;11,2;null;
2022-06-30;8;15,6;761,4;7,3;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;

