Nome: QUIXADA
Codigo Estacao: A369
Latitude: -4.97888888
Longitude: -39.05722222
Altitude: 193
Situacao: Operante
Data Inicial: 2018-03-19
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;9;null;null;null;null;null;
2018-04-30;26;226,4;990,3;25,6;3,9;1,2;
2018-05-31;12;119;991,2;25,6;null;null;
2018-06-30;4;8,6;992,6;25,3;null;null;
2018-07-31;3;4;992,4;26,3;5,3;1,8;
2018-08-31;2;1,4;992,7;27,4;5,3;2,2;
2018-09-30;0;0;990,5;27,9;5,8;2,5;
2018-10-31;2;1;989,8;28,4;5,4;2,7;
2018-11-30;4;7,6;988,8;28,8;5,7;2,8;
2018-12-31;11;48,2;990;28,1;5,3;2,1;
2019-01-31;19;126,6;990,6;27,3;7,6;1,9;
2019-02-28;18;195;989,7;26,5;4,9;1,4;
2019-03-31;22;142;990,3;26;4,2;1,2;
2019-04-30;24;206,2;990,1;26;5,3;null;
2019-05-31;12;44,6;990,3;26,3;null;null;
2019-06-30;5;11,4;992,3;26,6;null;null;
2019-07-31;11;29,8;992,4;26,7;null;null;
2019-08-31;2;,6;993,5;27,2;null;null;
2019-09-30;1;,2;991,6;28,1;null;null;
2019-10-31;1;,4;989,9;28,4;null;null;
2019-11-30;null;null;null;28,9;null;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;26,4;4,8;null;
2022-09-30;3;5,2;991,2;27,6;5;2,3;
2022-10-31;2;1,2;989,8;28,4;5,7;2,7;
2022-11-30;12;81;989,2;27,6;5;2,2;
2022-12-31;9;35,2;989;27,6;6,2;2,2;
2023-01-31;14;62,6;989,7;27,4;5,7;2,1;
2023-02-28;13;91,6;989,5;27,3;5,5;1,9;
2023-03-31;22;236,2;989,9;26;null;null;
2023-04-30;21;124,2;989,4;25,9;null;null;
2023-05-31;13;39,6;990,7;26,7;null;null;
2023-06-30;18;50,6;992,2;26,6;null;null;
2023-07-31;4;15;992,8;26,9;null;null;
2023-08-31;4;3,2;991,8;27,8;null;null;
2023-09-30;2;1,2;991,1;28,5;null;null;
2023-10-31;0;0;989,9;28,8;null;null;
2023-11-30;6;25,8;989,4;29;null;null;
2023-12-31;7;34,4;989,1;28,8;null;null;
2024-01-31;14;89;990,3;28,3;null;null;
2024-02-29;18;172;990,2;27,7;null;null;
2024-03-31;24;303,4;989,7;26,9;null;null;
2024-04-30;23;223,8;989,3;26,7;null;null;
2024-05-31;14;82;990,2;26,6;null;null;
2024-06-30;16;90,6;991,8;25,9;null;null;
2024-07-31;3;null;null;null;null;null;

