Nome: Paty do Alferes - Avelar
Codigo Estacao: A637
Latitude: -22.34722221
Longitude: -43.41777777
Altitude: 508
Situacao: Operante
Data Inicial: 2022-11-09
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-11-30;10;null;null;21,4;6,2;null;
2022-12-31;20;169,8;949;22;3,9;1,4;
2023-01-31;25;379,2;950,3;22,8;5,8;1,2;
2023-02-28;21;111;950,8;24;5,7;1,2;
2023-03-31;9;82,4;951,1;23,4;4;1,1;
2023-04-30;16;104,2;954,5;20,8;4,7;1;
2023-05-31;6;3,8;960,9;17,7;3,8;,9;
2023-06-30;11;10,8;962,5;15,9;3,5;,9;
2023-07-31;7;10;962,8;16,9;4,2;1,1;
2023-08-31;9;34;960,3;18,8;3,9;1,2;
2023-09-30;3;9,8;959,1;21,7;4,3;1,5;
2023-10-31;22;158,2;956,6;22,8;4,1;1,4;
2023-11-30;8;33,6;955,8;23,8;5,8;1,3;
2023-12-31;10;48,4;955,9;24,5;5;1,4;
2024-01-31;21;254,6;955,4;23,9;5,9;1,2;
2024-02-29;10;30,2;957,3;24,3;4,9;1,2;
2024-03-31;16;116,4;957,1;24;3,5;1,1;
2024-04-30;3;1;958,6;21,9;3,8;1,1;
2024-05-31;2;16;959,6;20,7;4,2;1,1;
2024-06-30;0;0;961,8;17,3;3,9;1;
2024-07-31;4;null;null;null;4,1;null;

