Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Operante
Data Inicial: 2011-09-23
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-09-30;null;null;null;null;null;null;
2011-10-31;13;115,8;956,2;21,2;8,8;2,3;
2011-11-30;19;299,8;956;20,9;7,2;2;
2011-12-31;22;204,8;954,5;24,7;7,9;1,9;
2012-01-31;15;239,2;955,8;30,5;6,4;2;
2012-02-29;8;28,2;956,3;26,4;7,5;2;
2012-03-31;9;64,2;956,3;24,6;7;1,9;
2012-04-30;8;59,8;956,2;23,9;8,2;1,7;
2012-05-31;10;65,6;959,2;19,9;7,3;1,9;
2012-06-30;7;8,6;959,9;20,3;6,1;1,6;
2012-07-31;4;8,2;960,6;19,6;6,1;1,8;
2012-08-31;8;18;963,6;19,2;7,3;1,9;
2012-09-30;5;31,2;960,2;21,3;9;2,7;
2012-10-31;10;17;957,2;22,7;9,8;2,5;
2012-11-30;20;196,8;null;22,3;8,4;2;
2012-12-31;8;93,8;null;25,5;9,7;2,1;
2013-01-31;18;227,4;null;24;9,8;2,1;
2013-02-28;7;84,2;null;24,4;9,7;1,9;
2013-03-31;17;103,4;null;23,7;7,7;1,7;
2013-04-30;9;94,2;null;21,5;7,1;1,7;
2013-05-31;9;58;958,3;20,2;6,7;1,5;
2013-06-30;6;11;959,6;19,9;6;1,4;
2013-07-31;5;3,8;961;19,5;7;1,9;
2013-08-31;6;27;960,6;19,8;7,2;2;
2013-09-30;6;36;959,5;21,1;6,4;2,2;
2013-10-31;13;51,6;957,9;21,2;6,1;2,2;
2013-11-30;13;145;955,7;22,6;7,9;2,2;
2013-12-31;23;508;952,8;23,4;9,4;2;
2014-01-31;4;14,2;956,9;24,5;6,2;2;
2014-02-28;8;33,8;956,6;24;6,9;2;
2014-03-31;11;24;956,6;23,9;7,5;2,1;
2014-04-30;8;77,4;956,8;22,7;8,2;2;
2014-05-31;6;20,8;958,2;20,7;7,1;1,7;
2014-06-30;6;17,2;960,4;19,6;5,2;1,6;
2014-07-31;9;60;962,9;18,8;7,9;1,8;
2014-08-31;5;3,6;961,2;19,5;7,8;2;
2014-09-30;5;12;959,5;21,3;7;2,5;
2014-10-31;9;76,2;958,8;21,5;14,4;2,4;
2014-11-30;11;213;955,5;23;8,3;2,5;
2014-12-31;12;102,4;955,9;23,9;6,9;2,2;
2015-01-31;0;0;956,8;25,8;7,6;2,5;
2015-02-28;10;188;956,3;24,4;8,5;2,2;
2015-03-31;9;50,8;955,9;24,3;9,8;1,9;
2015-04-30;10;46,8;956,6;22,7;7,8;1,8;
2015-05-31;14;64,8;959,5;20,1;6,6;1,7;
2015-06-30;8;13,6;961,8;19,7;6,9;1,8;
2015-07-31;9;6,6;961,6;19,5;6,6;1,6;
2015-08-31;2;,8;961,3;20,3;5,7;1,8;
2015-09-30;5;21,8;957,5;23,4;10,2;2,3;
2015-10-31;1;null;957,6;24,1;10,7;2,7;
2015-11-30;9;null;953,5;25,7;10;2,5;
2015-12-31;10;74,6;956,3;26;8,1;2,6;
2016-01-31;19;233;954,6;24,5;8,1;2,3;
2016-02-29;8;120,6;956,4;25,9;8,1;1,9;
2016-03-31;3;null;null;null;6;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;3;null;null;21,7;6,1;null;
2016-06-30;7;23;961,3;19,4;7;1,7;
2016-07-31;2;7,2;961,2;19,6;5,7;1,7;
2016-08-31;4;3,6;960,2;20,9;6,5;2,2;
2016-09-30;6;25,2;959,4;21,9;6,6;2,3;
2016-10-31;8;null;956,7;22,7;9,2;2,5;
2016-11-30;12;219,4;955,4;23;7,2;2,2;
2016-12-31;7;null;null;null;7,4;null;
2017-01-31;5;null;955,9;24,9;6,3;2,4;
2017-02-28;11;93,6;956,4;24,1;7;1,7;
2017-03-31;9;33;955,9;24;6,9;2;
2017-04-30;13;49,8;957,4;22,8;7,3;1,9;
2017-05-31;11;31,6;958,9;20,5;6,4;1,6;
2017-06-30;7;11,6;960,9;20,3;6,9;1,9;
2017-07-31;13;12,4;965,4;17,9;8,1;2;
2017-08-31;1;,2;960,7;19,3;7,1;2,1;
2017-09-30;6;30,4;962,5;20,5;6,8;2,4;
2017-10-31;7;35,6;957,3;23,6;6,7;2,5;
2017-11-30;15;98;955,2;22,4;6,4;2,4;
2017-12-31;15;231;954,3;23,6;5,7;2,1;
2018-01-31;8;92,4;955,3;24,9;6,2;2,1;
2018-02-28;17;265;954,8;23,7;9,4;1,8;
2018-03-31;3;null;null;null;null;null;
2018-04-30;5;null;null;null;null;null;
2018-05-31;17;64,4;959,9;20,1;6,3;1,5;
2018-06-30;8;7,6;961,1;19,7;4,9;1,5;
2018-07-31;8;5,2;961,2;19;4,7;1,4;
2018-08-31;9;35,4;960,8;20;8,3;1,8;
2018-09-30;8;27,6;957,7;21,4;6;2;
2018-10-31;13;65,6;956,2;22,7;7,7;2,2;
2018-11-30;18;75;956,5;22,7;6,7;2,1;
2018-12-31;14;235,4;955,6;23,6;7,5;1,9;
2019-01-31;3;16,4;957,6;25,4;6;2;
2019-02-28;14;97;955;25;7,1;1,8;
2019-03-31;13;190,6;956,3;24,4;7,5;2;
2019-04-30;9;34,6;956,2;23,7;6,6;1,4;
2019-05-31;null;null;957,4;22;5,4;1,5;
2019-06-30;null;null;961,8;20,2;7,2;1,6;
2019-07-31;6;4,6;961,3;19;6,9;1,8;
2019-08-31;1;9,6;962,9;19,8;6,8;2,2;
2019-09-30;1;35,2;959,5;22;8;2,2;
2019-10-31;11;44,2;957,1;23,2;10,4;2,2;
2019-11-30;19;167,8;955;23,2;8,7;1,9;
2019-12-31;16;174,6;955,6;23,6;11,1;2,1;
2020-01-31;15;278,2;954;24,1;8,8;2;
2020-02-29;16;149,6;955,8;24,3;10,1;1,9;
2020-03-31;18;186,2;956,4;22,9;6,1;1,8;
2020-04-30;null;null;null;null;6,4;null;
2020-05-31;null;null;null;null;5,5;null;
2020-06-30;null;null;null;null;4,1;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;17;null;954,5;23,3;6,2;1,8;
2021-03-31;12;112;955,7;23,7;7,1;1,6;
2021-04-30;11;48,4;956,7;21,8;8;1,7;
2021-05-31;6;1,4;958,7;20,4;6,9;1,6;
2021-06-30;10;21,2;960;18,9;6,7;1,6;
2021-07-31;1;,2;962;18,5;6,5;1,8;
2021-08-31;3;3;961,9;19,9;6,8;2,1;
2021-09-30;4;null;958,8;22,3;6,7;2,1;
2021-10-31;14;188,4;957;22;7,9;2;
2021-11-30;17;218,2;954,5;21,9;9;2;
2021-12-31;17;227,2;953,8;22,7;6,9;2;
2022-01-31;11;205,8;955;24,3;9,6;2;
2022-02-28;14;null;null;null;7,1;null;
2022-03-31;null;null;null;null;5,4;null;
2022-04-30;4;null;956,6;22,8;5,2;1,8;
2022-05-31;9;17,8;958,8;20;5,9;1,6;
2022-06-30;3;,6;959,6;18,7;7,6;1,7;
2022-07-31;11;6,6;961,8;19,2;7,2;1,6;
2022-08-31;2;25;961,2;19,4;7,2;2,2;
2022-09-30;4;24;959,3;20,4;7,3;2,2;
2022-10-31;9;63;957,5;23,1;8;2,2;
2022-11-30;17;162,4;955,6;21,8;6,6;2,3;
2022-12-31;25;239,6;954,6;22,4;6,1;1,8;
2023-01-31;20;421,8;955,7;23,5;8,5;1,8;
2023-02-28;3;9,6;956,4;24,8;5,6;1,8;
2023-03-31;6;38,4;957,3;24,4;6,2;1,8;
2023-04-30;12;88,2;956,4;22,6;7,1;1,8;
2023-05-31;11;54,4;959,3;20,2;7,6;1,5;
2023-06-30;5;10,6;961,7;19;7;1,6;
2023-07-31;7;13,6;961,9;19,2;7,3;1,7;
2023-08-31;8;92,4;959,5;20,7;6,5;1,7;
2023-09-30;7;9,2;959,1;22,2;6,7;2;
2023-10-31;14;78,8;956,2;23,7;5,6;2;
2023-11-30;4;null;null;25,4;7,8;null;
2023-12-31;null;null;null;null;11,3;null;
2024-01-31;null;null;null;null;6,8;null;
2024-02-29;null;null;null;null;6,7;null;
2024-03-31;14;145,8;955,9;25;6,4;1,6;
2024-04-30;8;48,2;957,4;23,2;4,9;1,6;
2024-05-31;9;9;958,8;22,4;6,9;1,4;
