Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2012-10-24
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;null;null;null;null;null;null;
2012-11-30;24;533;923,1;23;13,6;3,2;
2012-12-31;8;null;null;24,1;8,4;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;10;26,8;null;24;7,8;2,8;
2013-03-31;18;186,8;null;24;9,6;2,7;
2013-04-30;12;165;null;23,8;8,9;3;
2013-05-31;4;57;null;24,1;9,7;3,3;
2013-06-30;1;,4;null;23,6;9,7;3,6;
2013-07-31;0;0;null;23,1;10;4,3;
2013-08-31;1;,2;null;23,7;10,3;4,2;
2013-09-30;1;12;null;25,8;10,8;4,4;
2013-10-31;8;78,8;null;25,7;10,9;4,1;
2013-11-30;14;181,4;null;24,4;11,1;3,5;
2013-12-31;21;230,4;923,3;23,5;12,1;3,4;
2014-01-31;14;45,8;924,2;24;10,8;3,1;
2014-02-28;11;159,4;923,5;23,1;8,2;3;
2014-03-31;18;145,6;924,2;23,2;8,9;2,6;
2014-04-30;13;163;null;23,3;8,5;2,6;
2014-05-31;6;34,4;null;23,5;9,3;3,4;
2014-06-30;0;0;null;22,1;8,4;3,7;
2014-07-31;0;0;null;22,3;10,6;4,2;
2014-08-31;0;0;926,7;23,2;10,2;4,2;
2014-09-30;1;,2;925,2;25,6;10,1;3,9;
2014-10-31;6;21,8;924,4;25,6;11,3;4,4;
2014-11-30;16;142,6;923,3;24,8;8,6;3,3;
2014-12-31;15;276,4;924,1;23,7;9;3,4;
2015-01-31;10;108,8;924,8;24,4;9,7;3,1;
2015-02-28;16;181;924,7;22,8;11,3;3,1;
2015-03-31;16;148,6;924,4;22,9;9;2,3;
2015-04-30;23;175,6;924,8;23,1;7,4;2,5;
2015-05-31;null;null;925,8;23,2;9,4;3,5;
2015-06-30;null;0;927,4;22;10,2;3,9;
2015-07-31;0;0;927,1;22,5;9,9;4,1;
2015-08-31;0;0;926,5;23,1;10,4;4,1;
2015-09-30;null;null;null;26,4;9,3;3,9;
2015-10-31;5;null;924,4;26,8;12,1;4;
2015-11-30;8;26,2;923,1;25,1;12,7;3,2;
2015-12-31;null;null;924,3;26,2;11,7;3,4;
2016-01-31;null;null;null;null;8,3;null;
2016-02-29;null;null;null;null;9,8;null;
2016-03-31;null;null;null;null;8,8;null;
2016-04-30;1;null;null;null;9;null;
2016-05-31;0;0;926,2;24,2;8,5;3,4;
2016-06-30;3;20;927,5;23,1;9,3;3,6;
2016-07-31;0;0;927,2;22,3;9,3;3,8;
2016-08-31;0;0;926,3;24,5;10,6;4;
2016-09-30;null;null;925,5;25,3;10;3,9;
2016-10-31;null;null;923,6;25,7;10,3;3,9;
2016-11-30;null;null;923;25,4;10,3;3,6;
2016-12-31;null;null;923,5;24,3;9,9;3,4;
2017-01-31;null;null;923,9;23,5;9,3;2,6;
2017-02-28;12;145,2;924,2;22,1;8,5;2,6;
2017-03-31;17;122,4;924,1;23,4;8,5;2,5;
2017-04-30;8;124,4;924,6;24,3;8,8;3,1;
2017-05-31;1;8,4;925,4;24,3;8,5;3,2;
2017-06-30;0;0;926,5;22,8;9;3,8;
2017-07-31;0;0;928,8;20,8;10,1;4,4;
2017-08-31;0;0;926,1;24,1;10,2;3,7;
2017-09-30;0;0;926,3;24,4;11,8;5;
2017-10-31;0;0;923,4;27,3;10,7;4,5;
2017-11-30;18;203,2;922,9;24,2;10,8;3,3;
2017-12-31;19;229,2;923,3;24;11,2;3,4;
2018-01-31;20;218,8;923,8;23;7,9;2,5;
2018-02-28;20;241,8;923,8;22,2;7,8;2,7;
2018-03-31;17;228,6;924,1;22,6;8,3;2,7;
2018-04-30;10;68,8;925,1;23,1;9,1;3,2;
2018-05-31;0;0;926;23,3;9,2;3,9;
2018-06-30;0;0;927,3;21,9;9,7;4;
2018-07-31;0;0;927,1;21,8;11,3;3,7;
2018-08-31;null;null;null;25;9,4;null;
2018-09-30;null;null;null;null;10,3;null;
2018-10-31;4;null;null;null;9,4;null;
2018-11-30;16;230,4;923,2;24,4;9,1;3,4;
2018-12-31;15;257;924,8;23,6;9,8;3,5;
2019-01-31;13;75,8;925,1;24,1;8,9;2,9;
2019-02-28;18;174,6;924,5;23,3;7;2,3;
2019-03-31;22;315,8;924,9;23,5;8,5;2,5;
2019-04-30;15;201,2;924,8;24;8,2;2,7;
2019-05-31;3;21;925;23,7;8,6;2,9;
2019-06-30;0;0;927,4;21,9;8,1;3,6;
2019-07-31;null;null;927;22,9;11,7;3,7;
2019-08-31;null;0;927,9;23,1;11,7;4,6;
2019-09-30;1;2,6;925,3;25,9;11;4;
2019-10-31;8;71,2;923,6;26,2;9,5;3,6;
2019-11-30;10;80,6;922,6;25,6;13;3,1;
2019-12-31;11;52,6;923;26,2;12;3,4;
2020-01-31;22;303,8;924,4;23,6;10,6;2,6;
2020-02-29;13;244,2;924,8;23,3;7;2,5;
2020-03-31;23;329;924,7;23;8,4;2,5;
2020-04-30;11;173,6;925,5;23,9;8,2;3,1;
2020-05-31;3;null;926,4;23,3;9,5;3,4;
2020-06-30;1;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
