Nome: TUCURUI
Codigo Estacao: A229
Latitude: -3.82277777
Longitude: -49.67499999
Altitude: 137.94
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;26;404,4;993,9;26,5;5,2;1,2;
2010-02-28;20;348,2;993;27;5,9;1,4;
2010-03-31;12;15,8;993,8;27,3;6,6;1,2;
2010-04-30;26;345;993,9;26,6;5,8;1,1;
2010-05-31;15;186,6;994,2;27,7;5,9;1,1;
2010-06-30;8;74;996;27,7;7,2;1,3;
2010-07-31;7;28,6;995,5;27,9;4,6;1,4;
2010-08-31;3;12,8;995,3;28,2;5,7;1,6;
2010-09-30;3;19,2;993,9;28,1;5,6;1,8;
2010-10-31;10;83,2;993,5;28;7;1,7;
2010-11-30;12;85,8;992,2;27,5;6,9;1,5;
2010-12-31;19;265,6;991,9;26,7;5,3;1,3;
2011-01-31;23;519,4;992,9;25,6;4,9;1,2;
2011-02-28;24;293,2;993,8;25,5;5,3;,9;
2011-03-31;26;209,2;993,6;25,7;6,7;1,1;
2011-04-30;30;493,2;994,1;25,8;5,7;,8;
2011-05-31;10;219,8;994,1;26,7;6,6;,8;
2011-06-30;null;null;995,2;27,3;7,6;1;
2011-07-31;11;57,6;995,3;27,3;5,2;,9;
2011-08-31;null;null;995,5;27,5;5,3;1,2;
2011-09-30;4;13,4;995,2;27,9;5,4;1,3;
2011-10-31;7;86,6;992,7;27,7;6,9;1,3;
2011-11-30;13;182,4;992,9;26,9;6,8;1;
2011-12-31;14;66;993;27,2;4,2;1,2;
2012-01-31;25;541,2;993,8;25,9;6,2;,9;
2012-02-29;24;425;993,7;25,3;7,6;,9;
2012-03-31;29;367,8;994,4;25,7;8;,7;
2012-04-30;21;109,8;994;26,5;6,8;,5;
2012-05-31;16;50,6;994,9;26,8;3,6;,6;
2012-06-30;11;44;996,1;26,6;7,1;,8;
2012-07-31;7;59,6;995,7;26,7;7,3;1,3;
2012-08-31;2;1;996,2;27,2;5,3;1,1;
2012-09-30;null;null;null;27,5;4,4;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;7;101,6;992,9;27,7;3,9;1,4;
2012-12-31;25;364,2;992,9;26,2;6,8;1,2;
2013-01-31;27;295,2;994,3;25,8;5,5;,7;
2013-02-28;23;214;993,4;25,8;4,5;,6;
2013-03-31;22;92,2;994,2;26;5;,7;
2013-04-30;29;70,8;994,7;26,1;5,7;,7;
2013-05-31;24;64,8;995,1;26,5;6,3;,5;
2013-06-30;13;78,4;995,6;26,6;4,5;,6;
2013-07-31;15;76,4;996,4;26,3;6,3;,6;
2013-08-31;5;23;995,1;26,7;8,6;,8;
2013-09-30;7;46,6;994,9;27;5,3;,9;
2013-10-31;7;111;994,2;27,3;7,3;1;
2013-11-30;17;57,6;992,7;26,5;3,9;1;
2013-12-31;10;67;993,4;27;5,8;,9;
2014-01-31;25;436,4;994,5;25,5;5,3;,7;
2014-02-28;23;127,6;993,7;25,3;6,7;,9;
2014-03-31;null;null;994,5;25,4;4,7;,6;
2014-04-30;24;319,6;994,9;25,8;4,9;,7;
2014-05-31;22;269,6;994,9;26,3;4,9;,8;
2014-06-30;null;null;995,4;26,8;5,5;,5;
2014-07-31;null;null;997,3;26,6;4,5;,7;
2014-08-31;7;23,6;996,1;26,7;7;,8;
2014-09-30;4;6,8;995,4;27;4;1;
2014-10-31;7;63;994,3;27,3;5,6;,9;
2014-11-30;10;62;993,4;27,2;4,2;1;
2014-12-31;11;165;993,9;26,9;4,5;1,1;
2015-01-31;25;421,2;995,1;25,7;4,5;,7;
2015-02-28;18;87,6;994,9;25,3;7;,7;
2015-03-31;4;,8;994,7;25,3;5,3;,7;
2015-04-30;4;28,6;995;25,7;6,1;,6;
2015-05-31;18;163,6;995,3;26,4;5,6;,3;
2015-06-30;12;52,8;996,5;26,7;4,2;,2;
2015-07-31;4;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;2;null;994,9;27,4;4,4;,8;
2015-10-31;9;9;994,5;28,1;6,6;1,1;
2015-11-30;6;2;993,3;28,1;4,3;1,1;
2015-12-31;13;55,8;994,5;27,8;5;1;
2016-01-31;27;296;994,7;26,3;5;,7;
2016-02-29;22;209,6;994,4;26,6;4,9;,8;
2016-03-31;26;141,8;995,3;26,3;6,8;,5;
2016-04-30;27;110,8;994,1;26,6;7,3;,4;
2016-05-31;23;107;995,8;26,9;6,1;,4;
2016-06-30;11;34;996,9;27,2;4,1;,7;
2016-07-31;5;8,8;996,2;27,4;5,1;,7;
2016-08-31;1;,2;995,8;27,8;4,5;,8;
2016-09-30;9;24,8;995,6;27,5;5,6;,7;
2016-10-31;11;31,4;993,6;27,5;4,8;,7;
2016-11-30;10;95,4;992,7;28;4,5;,6;
2016-12-31;11;104,2;993,5;26,4;6,5;,4;
2017-01-31;24;617;994,4;25,3;6,3;,3;
2017-02-28;27;503;994,4;25;3,7;,3;
2017-03-31;31;171,2;994,5;25,5;4,6;,3;
2017-04-30;24;297,4;994,5;26;4,3;,2;
2017-05-31;19;139;995;26,9;3,7;,2;
2017-06-30;9;57,6;995,4;27,5;3,3;,1;
2017-07-31;6;18,6;997,3;27,6;4,6;,4;
2017-08-31;7;48,4;995,5;27,4;4,9;,2;
2017-09-30;2;,6;995;27,9;5,1;,6;
2017-10-31;4;3,8;993,6;27,8;5,3;,6;
2017-11-30;null;null;992,8;27,5;4,4;,3;
2017-12-31;18;372;993,4;26,4;4;,3;
2018-01-31;23;157,8;994;25,8;7;,3;
2018-02-28;1;null;null;null;4,5;null;
2018-03-31;null;null;null;null;3,5;null;
2018-04-30;null;null;null;null;3,3;null;
2018-05-31;10;null;null;26,1;3,9;null;
2018-06-30;7;47,6;996,3;27;3,9;,3;
2018-07-31;6;19;996,1;27,1;4,5;,3;
2018-08-31;5;19,4;996,6;26,8;4,1;,3;
2018-09-30;7;64,8;994,2;27;5,8;,4;
2018-10-31;3;12;993,7;28;4,3;,5;
2018-11-30;16;173;993;27,7;3,5;,7;
2018-12-31;21;288,8;995;25,5;7,2;,5;
2019-01-31;null;null;null;null;5,2;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;3;null;null;null;null;null;
2019-04-30;4;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;4;null;null;27,2;4,4;null;
2019-08-31;6;30,6;996,8;27,2;5,3;,5;
2019-09-30;5;32;995,2;27,5;4,6;,6;
2019-10-31;null;null;993,8;27,4;4,2;,5;
2019-11-30;null;null;992,7;27,6;3,7;,4;
2019-12-31;22;255,8;993,2;26,8;5,2;,4;
2020-01-31;25;340,8;995;25,8;3,8;,3;
2020-02-29;28;358,8;995,1;25,4;4,6;,4;
2020-03-31;27;361,2;994,9;25,6;4,4;,3;
2020-04-30;null;null;995,4;25,9;4,4;,3;
2020-05-31;11;null;995,7;26,6;5,4;,2;
2020-06-30;11;97,6;995,7;27,3;4,4;,4;
2020-07-31;4;11,8;995,3;27,9;3,7;,2;
2020-08-31;4;23;995,1;28,2;4,7;,4;
2020-09-30;null;null;994,5;28,3;4,5;,6;
2020-10-31;5;9,6;993,8;28,3;6,7;,5;
2020-11-30;17;310,4;993,6;26,4;4,8;,5;
2020-12-31;13;69,6;993,6;26,5;5,1;,5;
2021-01-31;26;372,6;993,6;25,8;4,8;,4;
2021-02-28;22;417,2;993,9;25,6;5,4;,4;
2021-03-31;28;536,8;994,3;25,1;5,3;,3;
2021-04-30;19;157,6;994,1;26,2;5,9;,2;
2021-05-31;null;null;null;null;3,3;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;3,2;null;
2021-08-31;null;null;null;null;4,5;null;
2021-09-30;null;null;null;null;4;null;
2021-10-31;null;null;null;null;3,5;null;
2021-11-30;null;null;null;null;3,1;null;
2021-12-31;null;null;null;null;3,5;null;
2022-01-31;null;null;null;null;3,5;null;
2022-02-28;null;null;null;null;2,8;null;
2022-03-31;null;null;null;null;2,8;null;
2022-04-30;null;null;null;null;1,7;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;5;null;null;27,3;3,6;null;
2022-07-31;4;6,4;995,5;27,8;4,6;,5;
2022-08-31;10;41,2;995,3;27,4;4,6;,4;
2022-09-30;9;7;994,6;27,9;4;,4;
2022-10-31;null;null;993,5;28,1;4,4;,3;
2022-11-30;null;null;993,6;26,7;4,4;,1;
2022-12-31;null;null;993,5;26,2;4;,2;
2023-01-31;22;273;994,6;25,5;3,8;,2;
2023-02-28;26;363,2;994,4;25,5;6,5;,2;
2023-03-31;30;652;994,8;25,2;4;,1;
2023-04-30;22;525;994,1;26;4,8;,1;
2023-05-31;21;143,8;995;26,8;4,8;,1;
2023-06-30;8;37,4;996,1;27,4;3,2;,2;
2023-07-31;5;8,8;996,4;27,7;4,6;,1;
2023-08-31;4;11;995,4;28,2;2,9;,1;
2023-09-30;0;0;994,5;28,8;3,6;,2;
2023-10-31;17;8,6;993,5;28,6;7,8;,1;
2023-11-30;12;8;993,2;28,8;4,9;,2;
2023-12-31;23;4,6;993,4;27,4;3,8;,2;
2024-01-31;null;null;994,9;27,1;4,5;,1;
2024-02-29;null;null;995,2;25,9;5,1;,2;
2024-03-31;null;null;994,6;26,4;2,5;,1;
2024-04-30;18;null;994,1;26,5;4;,2;
2024-05-31;31;58,4;994,3;27,5;5,9;,1;
2024-06-30;12;7,8;995,4;27,8;5;,1;
2024-07-31;8;null;null;null;4,5;null;

