Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;22;270,2;935,1;24;6,4;2,2;
2010-02-28;15;229,2;935,7;24,9;5,7;2,4;
2010-03-31;12;167,2;936,1;24,6;6,9;2,2;
2010-04-30;10;82;939;21,6;5,6;2,2;
2010-05-31;18;300,4;939,7;16,7;6,8;2,6;
2010-06-30;13;11,4;941;18,6;7,1;2,8;
2010-07-31;6;57,2;940,4;17,3;6,5;2,8;
2010-08-31;4;3,2;940,7;18,9;7,8;2,9;
2010-09-30;9;232,2;937,5;21;7,8;3,2;
2010-10-31;12;111,8;936,9;21;8,1;2,7;
2010-11-30;10;180,8;934,9;22,1;6,2;2,4;
2010-12-31;13;99,6;932,8;24,2;6,8;2,5;
2011-01-31;20;206,8;934,1;24,5;6,3;2;
2011-02-28;20;161,4;935,4;23,7;6,8;1,9;
2011-03-31;16;73,4;935,5;23;6,9;2,6;
2011-04-30;11;null;null;22,2;5,8;null;
2011-05-31;1;null;null;null;null;null;
2011-06-30;8;89,6;939,6;16,6;7,2;2,7;
2011-07-31;11;83,2;939,4;18,1;7,5;2,6;
2011-08-31;8;57,6;939,2;19,1;7,3;3,2;
2011-09-30;9;51,6;939,6;21;6,9;2,7;
2011-10-31;11;176,4;935,7;23,3;7,2;2,7;
2011-11-30;5;125,6;935,6;23,1;11,3;2,8;
2011-12-31;11;99,6;934,9;24,7;6,3;2,1;
2012-01-31;9;88,6;934,9;24,9;5,3;2,1;
2012-02-29;14;null;936,2;24,8;5,9;2;
2012-03-31;5;80,4;938;24;8;2;
2012-04-30;11;null;937,7;22,1;6,1;2;
