Nome: CAMPOS DO JORDAO
Codigo Estacao: A706
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.95
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;183,4;835,9;18,1;3,8;1,5;
2010-02-28;21;126,8;836,5;18;6;1,6;
2010-03-31;24;243,8;835,2;17,1;7,1;1,7;
2010-04-30;23;128,8;837;14,6;5,6;1,6;
2010-05-31;22;53;836,1;12,6;null;null;
2010-06-30;21;24;null;10,9;null;null;
2010-07-31;21;65,6;null;12,2;null;null;
2010-08-31;10;2,2;null;12,1;null;null;
2010-09-30;11;88,6;null;14,6;null;null;
2010-10-31;21;184,4;null;14,5;null;null;
2010-11-30;20;170,6;null;15,8;null;null;
2010-12-31;25;259,2;null;17,6;4,5;1,5;
2011-01-31;27;385,4;null;17,8;4,4;1,5;
2011-02-28;20;301;null;17,7;4,4;1,4;
2011-03-31;29;311,2;834,8;16,5;7;1,9;
2011-04-30;28;179,2;836,7;15,3;4,8;1,4;
2011-05-31;21;38;837;11,8;4,5;null;
2011-06-30;23;45,8;836,9;10,3;null;null;
2011-07-31;16;5;837,9;12;null;null;
2011-08-31;13;20,2;837,6;13,9;null;null;
2011-09-30;11;27,4;838,4;14;null;null;
2011-10-31;16;176,2;834,8;15,1;null;null;
2011-11-30;19;247;834,3;14,4;null;null;
2011-12-31;21;205,2;833,6;16,4;null;null;
2012-01-31;26;291,2;834,7;15,8;null;null;
2012-02-29;21;169,4;836;17,6;4,4;null;
2012-03-31;24;99,2;836,3;16,4;4,7;1,4;
2012-04-30;24;162,4;835,9;15,6;5;1,3;
2012-05-31;23;80,6;837,8;11,8;null;null;
2012-06-30;23;142,8;837,9;12,6;null;null;
2012-07-31;17;63,8;838,2;11,5;null;null;
2012-08-31;15;11,6;840,8;12,1;null;null;
2012-09-30;10;36,8;838,3;14,4;null;null;
2012-10-31;16;155,2;836,1;16,8;null;null;
2012-11-30;19;169,6;833,9;16;null;null;
2012-12-31;26;296,2;834,9;18,6;null;null;
2013-01-31;31;391;835,1;16,5;null;null;
2013-02-28;23;285,2;836;17,2;null;null;
2013-03-31;26;184,8;836,2;16,7;null;null;
2013-04-30;18;80;836,7;14,2;null;null;
2013-05-31;23;91,4;837,1;12,7;null;null;
2013-06-30;25;34,2;837,8;12,7;null;null;
2013-07-31;19;85,2;838,7;11,4;null;null;
2013-08-31;11;9,6;838,1;12,4;null;null;
2013-09-30;15;56,4;837,5;14;null;null;
2013-10-31;18;171,8;836,2;14,5;null;null;
2013-11-30;22;182,4;835;16;null;null;
2013-12-31;24;232;833,3;17,3;null;null;
2014-01-31;20;81;837;18,5;null;null;
2014-02-28;10;112,4;836,4;18,3;null;null;
2014-03-31;26;110,8;836,5;16,9;null;null;
2014-04-30;24;83;836,9;15,2;null;null;
2014-05-31;22;42;837,1;12,6;null;null;
2014-06-30;21;35,2;838,4;12,7;null;null;
2014-07-31;20;49,8;840;11;null;null;
2014-08-31;18;25;839;12,8;null;null;
2014-09-30;14;71,4;837,4;15,2;null;null;
2014-10-31;11;55,8;837,3;15,8;null;null;
2014-11-30;19;146,4;834,9;16,4;null;null;
2014-12-31;23;129,8;835,6;17,4;null;null;
2015-01-31;16;108,8;837,3;18,9;null;null;
2015-02-28;20;185,6;835,9;17,3;3,9;null;
2015-03-31;24;224;836;16,6;4,6;1,1;
2015-04-30;20;62,8;836,6;15,5;3,4;1,2;
2015-05-31;24;93;837,8;12,7;4,8;1,1;
2015-06-30;23;77,8;839,8;12,2;4,3;1,1;
2015-07-31;16;42,2;838,8;12,8;4,1;1,1;
2015-08-31;18;26,4;839;13;3,7;1,1;
2015-09-30;16;138;836,5;15,8;4,2;1,3;
2015-10-31;16;95,6;837,1;17,8;null;null;
2015-11-30;25;227,8;834,8;17,7;null;null;
2015-12-31;29;235;836,3;17,8;null;null;
2016-01-31;27;287,2;834,7;17,5;null;null;
2016-02-29;24;203,8;836,9;18,3;null;null;
2016-03-31;26;269,8;837,5;17,2;null;null;
2016-04-30;21;27;837,5;16,7;null;null;
2016-05-31;26;82;838,1;12,8;null;null;
2016-06-30;24;159;838,8;10,7;null;null;
2016-07-31;16;3,4;838,7;12,3;null;null;
2016-08-31;11;42,6;837,8;12,9;5,2;null;
2016-09-30;13;65,4;837,5;14,9;3,8;1,2;
2016-10-31;17;124;835,7;15,8;3,8;1,3;
2016-11-30;22;224,8;834,9;15,7;6;1,4;
2016-12-31;7;null;null;null;5;null;
2017-01-31;null;null;null;null;2,6;null;
2017-02-28;null;null;null;null;3,9;null;
2017-03-31;9;null;null;15;4;null;
2017-04-30;15;102,4;837,1;15;3,7;1,1;
2017-05-31;18;134,8;837,2;13,1;4,6;1;
2017-06-30;18;32,2;839,1;12,1;5,1;1,1;
2017-07-31;19;9,4;842;9,9;4,8;1;
2017-08-31;15;53;838,1;12,5;4,8;1,1;
2017-09-30;4;71,4;839,4;15;4,3;1,2;
2017-10-31;16;136,2;836;16,7;5;1,1;
2017-11-30;17;201;834,2;15,7;5,1;1,2;
2017-12-31;25;192,6;834,3;17,2;3,5;1,1;
2018-01-31;27;357,2;835,4;17,3;3,8;1;
2018-02-28;23;89,4;835;16,8;3,3;1,1;
2018-03-31;25;147,2;835,3;17,8;3,2;1;
2018-04-30;20;65,4;838;14,9;4,9;1,1;
2018-05-31;19;31,2;838,3;12,6;4,5;1;
2018-06-30;15;21,2;839,1;12,6;4,1;1,1;
2018-07-31;12;17,4;839;11,7;5;1,4;
2018-08-31;13;114,2;838,4;12,1;4,8;1,4;
2018-09-30;13;88,8;836;14,6;5;1,5;
2018-10-31;24;258,2;835,4;15,8;null;null;
2018-11-30;24;213,8;835,5;16;null;null;
2018-12-31;20;179,2;835,7;17,3;null;null;
2019-01-31;20;147,2;837,8;18,9;null;null;
2019-02-28;23;270;835,6;17,6;null;null;
2019-03-31;25;255,2;837;17,1;null;null;
2019-04-30;19;134,6;836,4;16,4;null;null;
2019-05-31;18;104,2;837;14,5;null;null;
2019-06-30;15;33,8;839,8;12,3;null;null;
2019-07-31;16;75;838,7;10,6;null;null;
2019-08-31;13;32,4;840,3;12,2;null;null;
2019-09-30;14;90,6;838;15,8;null;null;
2019-10-31;13;49,6;836,3;16,9;null;null;
2019-11-30;17;191,8;834,7;16,8;null;null;
2019-12-31;22;236,2;835,1;17,2;null;null;
2020-01-31;24;189,8;834,4;17,8;null;null;
2020-02-29;27;406,2;835,7;17;null;null;
2020-03-31;20;138,2;836,4;15,9;null;null;
2020-04-30;17;7,8;837,2;14,5;null;null;
2020-05-31;16;24,4;837,4;11,7;null;null;
2020-06-30;20;57,2;838,8;13;null;null;
2020-07-31;16;5;838,5;12,4;null;null;
2020-08-31;15;48;838,9;12,2;null;null;
2020-09-30;13;26,6;838,3;16,5;null;null;
2020-10-31;15;14,8;835,6;16,6;null;null;
2020-11-30;null;null;835,3;15,7;null;null;
2020-12-31;null;null;835;17,1;null;null;
2021-01-31;null;null;835,5;18,1;null;null;
2021-02-28;null;null;834,3;16,7;null;null;
2021-03-31;null;null;835,8;17,1;null;null;
2021-04-30;null;0;836,5;13,9;null;null;
2021-05-31;4;10;837,3;12,7;null;null;
2021-06-30;19;28,2;837,9;11,5;4,8;1,2;
2021-07-31;5;28,2;839,1;9,6;4,6;1,3;
2021-08-31;8;16,2;839,2;12,4;7,3;1,6;
2021-09-30;7;12,6;837,4;16,8;4,9;1,4;
2021-10-31;25;294;835,6;15;4,8;1,6;
2021-11-30;14;179,6;833,9;15,8;5,2;1,5;
2021-12-31;3;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;8;null;null;null;3,1;null;
2022-03-31;17;182,6;836,2;17,4;5,6;1,3;
2022-04-30;20;102,6;836,5;15,4;5,2;1,2;
2022-05-31;12;49,2;836,7;11,5;4,2;1,2;
2022-06-30;null;null;837,3;11,8;4,7;1,2;
2022-07-31;null;null;838,8;12,3;4;1,3;
2022-08-31;null;null;838,2;11,8;6,5;1,4;
2022-09-30;null;null;836,7;13,4;6,6;1,4;
2022-10-31;null;null;836;16,2;5,2;1,4;
2022-11-30;17;null;834,6;14;5,2;1,5;
2022-12-31;25;354;833,7;16;null;null;
2023-01-31;27;255,8;834,8;16,8;null;null;
2023-02-28;28;229,4;836,1;17,6;null;null;
2023-03-31;19;162,2;837;17,1;null;null;
2023-04-30;null;null;835,8;14,9;null;null;
2023-05-31;null;null;837,8;12,4;null;null;
2023-06-30;null;null;839,1;11;null;null;
2023-07-31;6;null;839,1;11,8;null;null;
2023-08-31;10;39,2;837,6;13,9;4,5;1,3;
2023-09-30;5;55;837,4;17,1;6;1,3;
2023-10-31;24;293,6;835,5;17,7;4,3;1,3;
2023-11-30;18;232,6;835,4;18,4;3,8;1,2;
2023-12-31;19;176,4;835,4;18,6;4,8;1,3;
2024-01-31;26;252;835,1;17,9;5,2;1,3;
2024-02-29;24;349,8;836,8;17,9;4,7;1,3;
2024-03-31;28;262,8;836,6;18;5,3;1,3;
2024-04-30;16;30;837,3;16,7;4;1,1;
2024-05-31;16;56,8;838;15;4,9;1,1;
2024-06-30;12;3,2;839,1;12,7;3,4;1,1;
2024-07-31;11;null;null;null;3,8;null;

