Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-09-30;6;null;null;26,3;7,8;null;
2016-10-31;12;59,2;982,4;26,5;7,1;1,5;
2016-11-30;10;53;981,7;26,2;7,5;1,4;
2016-12-31;15;158,8;982,6;25,7;7,7;1,5;
2017-01-31;20;209,6;983,3;25,3;7,8;1,4;
2017-02-28;20;376,4;983,5;25,2;6,5;1,6;
2017-03-31;20;273,2;983,5;25,6;5,6;1,4;
2017-04-30;22;203,4;983,5;25,9;6,3;1,3;
2017-05-31;7;68,8;984;26,6;5,7;1,4;
2017-06-30;3;22,4;985;25,3;6,3;1,5;
2017-07-31;1;,6;986,9;25,5;6,9;2;
2017-08-31;0;0;984;28,1;5,7;1,8;
2017-09-30;0;0;983,5;28,6;6,1;2;
2017-10-31;10;138,4;982,1;27,5;8,7;1,8;
2017-11-30;14;167,8;981,9;26;7;1,5;
2017-12-31;19;207,2;982,5;25,4;6,6;1,4;
2018-01-31;21;199,2;983;25,1;6,4;1,4;
2018-02-28;27;605,8;983,3;24,7;7;1,4;
2018-03-31;22;294,4;983,3;25,3;7,2;1,4;
2018-04-30;13;167,4;984,2;25,3;6,6;1,3;
2018-05-31;10;78,4;984,7;25,8;5,9;1,4;
2018-06-30;0;0;985,7;25,4;5,3;1,5;
2018-07-31;2;,6;985,2;26,2;5,6;1,6;
2018-08-31;6;42,2;985,2;27;6,3;1,6;
2018-09-30;6;25,8;982,8;27,3;6,2;1,6;
2018-10-31;14;173;982,6;26,7;7,2;1,3;
2018-11-30;7;null;null;26,4;null;null;
2018-12-31;4;null;null;null;null;null;
2019-01-31;25;210,6;984,5;25,2;null;null;
2019-02-28;20;280,2;983,8;25,6;null;null;
2019-03-31;27;345,4;984,3;25,7;null;null;
2019-04-30;20;167,4;983,9;26;null;null;
2019-05-31;8;56;983,8;26,3;null;null;
2019-06-30;5;14,4;985,7;26;null;null;
2019-07-31;2;21,4;985,5;26,2;null;null;
2019-08-31;1;5,6;985,8;27,2;null;null;
2019-09-30;4;124,6;983,6;28,1;null;null;
2019-10-31;19;198;982,9;25,7;null;null;
2019-11-30;14;138,6;982;25,7;null;null;
2019-12-31;15;239;982,3;25,9;6;1,3;
2020-01-31;19;205,2;983,9;25,9;6,3;1,4;
2020-02-29;24;281;984,1;25,5;null;null;
2020-03-31;25;359;984;25,7;null;null;
2020-04-30;22;278,6;984,6;25,8;null;null;
2020-05-31;15;127,4;985,2;26,1;null;null;
2020-06-30;4;12,4;985,3;25,6;null;null;
2020-07-31;0;0;984,9;25,7;null;null;
2020-08-31;1;9;984,2;27,3;null;null;
2020-09-30;null;null;983,3;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;11;null;null;null;5,6;null;
2021-01-31;23;94,8;982,7;25,9;6,2;1,5;
2021-02-28;23;448,2;983,1;25,1;null;null;
2021-03-31;25;336,6;983,5;25,1;null;null;
2021-04-30;22;156;983,4;25,6;null;null;
2021-05-31;11;65,8;984,7;25,5;null;null;
2021-06-30;3;38;985;25,7;null;null;
2021-07-31;0;0;985,9;26,2;null;null;
2021-08-31;2;5;984,5;27,5;null;null;
2021-09-30;9;73,6;984;26,6;null;null;
2021-10-31;11;70,2;983;26,6;null;null;
2021-11-30;22;212,6;982,5;25,7;null;null;
2021-12-31;27;313,8;982,1;25,4;5;null;
2022-01-31;22;202,6;983,6;25,1;null;null;
2022-02-28;19;169,2;983;25,7;null;null;
2022-03-31;22;189,2;982,9;25,4;null;null;
2022-04-30;14;166;983,1;25,9;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;8;null;984,5;26,9;5,9;1,5;
2023-06-30;1;5,2;985,6;26,8;5,7;1,5;
2023-07-31;0;0;985,7;26,9;null;null;
2023-08-31;7;71,2;984,3;28,1;null;null;
2023-09-30;9;56,8;983,4;28;null;null;
2023-10-31;8;91,4;982,3;28,4;null;null;
2023-11-30;16;151;982,4;27;null;null;
2023-12-31;17;158,2;982,5;26,9;null;null;
2024-01-31;18;303;984,2;26,3;null;null;
2024-02-29;18;226,6;984,4;26,1;null;null;
2024-03-31;23;469;983,8;26,7;null;null;
2024-04-30;23;198,6;983,4;26,8;null;null;
2024-05-31;6;47;983,8;27,6;null;null;
2024-06-30;1;4;985;27,2;null;null;
2024-07-31;null;null;null;null;null;null;

