Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-09-30;null;null;null;null;6,5;null;
2017-10-31;null;null;null;28;7;null;
2017-11-30;5;19;960,1;29,2;8,4;2,6;
2017-12-31;6;22,4;960,2;29,2;6,6;2,5;
2018-01-31;8;51,2;960,9;27,5;7;2,1;
2018-02-28;13;228,6;960,6;25,9;6;1,4;
2018-03-31;4;53,6;961,1;25,8;5,2;1,5;
2018-04-30;11;91,2;962,4;24,6;6;1,2;
2018-05-31;8;9;963,5;25,5;6,3;2,1;
2018-06-30;2;1,2;965;24,8;6,6;2,3;
2018-07-31;2;,6;965,4;24,5;6,5;2,5;
2018-08-31;2;,8;965,2;25,7;6,2;2,6;
2018-09-30;0;0;962,7;27,4;6,4;3;
2018-10-31;7;18,2;961,3;28,6;6,6;2,5;
2018-11-30;0;0;960,5;29,2;6,5;2,8;
2018-12-31;10;225,2;962;27,4;6;1,6;
2019-01-31;4;20,6;962,4;28,1;6,2;1,8;
2019-02-28;9;165,6;961,2;27,9;7,4;1,7;
2019-03-31;15;179,2;961,9;27,6;6,8;1,3;
2019-04-30;10;65,4;961,9;27,8;5;1;
2019-05-31;1;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;9;28,8;965,5;23,4;7,1;2,2;
2019-08-31;4;3,2;966,6;24,1;7,1;2,7;
2019-09-30;null;0;964;27,1;6,9;2,8;
2019-10-31;2;,8;961,7;28,6;6,7;3,1;
2019-11-30;4;19,6;960;29,5;6,4;2,5;
2019-12-31;2;12,2;960,4;28,9;6,2;2,4;
2020-01-31;7;null;null;null;5,1;null;
2020-02-29;null;null;null;null;4,7;null;
2020-03-31;null;null;null;null;4,9;null;
2020-04-30;null;null;null;null;4,6;null;
2020-05-31;null;null;null;null;4,2;null;
2020-06-30;null;null;null;null;6,1;null;
2020-07-31;null;null;null;null;6,5;null;
2020-08-31;null;null;null;null;6,8;null;
2020-09-30;null;null;null;null;6,5;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;5,9;null;
2020-12-31;null;null;null;null;4,9;null;
2021-01-31;null;null;null;null;4,3;null;
2021-02-28;null;null;null;null;5,7;null;
2021-03-31;null;null;null;null;4,6;null;
2021-04-30;null;null;null;null;5,3;null;
2021-05-31;null;null;null;null;5,6;null;
2021-06-30;null;null;null;null;5,5;null;
2021-07-31;null;null;null;null;6,4;null;
2021-08-31;null;null;null;null;6,1;null;
2021-09-30;null;null;null;null;6;null;
2021-10-31;null;null;null;null;5;null;
2021-11-30;null;null;null;null;4,8;null;
2021-12-31;null;null;null;null;5,5;null;
2022-01-31;null;null;null;null;4,9;null;
2022-02-28;null;null;null;null;4,4;null;
2022-03-31;null;null;null;null;5,2;null;
2022-04-30;null;null;null;null;4,6;null;
2022-05-31;null;null;null;null;5,6;null;
2022-06-30;null;null;null;null;5,7;null;
2022-07-31;null;null;null;null;6;null;
2022-08-31;null;null;null;null;5,8;null;
2022-09-30;2;46,2;963,5;26;5,8;2,3;
2022-10-31;1;null;961,9;27,9;5,5;2,6;
2022-11-30;7;null;960,9;25,6;6,1;1,4;
2022-12-31;5;85,2;960,7;26;5,4;1,5;
2023-01-31;7;null;961,3;26,4;7,3;1,5;
2023-02-28;7;null;961,2;27,3;5,6;1,7;
2023-03-31;15;157,8;961,6;26,2;6,2;1,4;
2023-04-30;9;50,2;961,2;24,9;5,3;1;
2023-05-31;7;49;963,2;24,8;5,3;1,4;
2023-06-30;9;26,6;965,2;23,9;5,6;1,8;
2023-07-31;2;8;965,8;24;5,8;1,9;
2023-08-31;1;,2;964,2;26,1;5,7;2,3;
2023-09-30;1;,4;963,5;27,4;6,1;2,9;
2023-10-31;null;null;961,5;29,2;5,6;2,5;
2023-11-30;2;null;960,6;29,9;5,6;2,5;
2023-12-31;3;null;960,7;29;7,8;2,3;
2024-01-31;4;null;961,6;28,2;5,4;1,8;
2024-02-29;8;null;962,2;27,6;5,6;1,6;
2024-03-31;9;85,6;961,5;27,8;6,5;1;
2024-04-30;11;70,6;961,3;26,4;4,7;,9;
2024-05-31;2;3,8;962,8;26,1;5,5;1,6;
2024-06-30;1;,6;964,6;25,3;6,2;2,2;
2024-07-31;2;null;null;null;6;null;

