Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Pane
Data Inicial: 2011-04-17
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;236,6;1001,7;25,6;9,1;1,7;
2011-06-30;null;134,6;1003;25,2;6,1;1,7;
2011-07-31;null;122,8;1003;25,3;6,1;1,8;
2011-08-31;null;101;1003,4;25,8;7;2,2;
2011-09-30;null;54,6;1003,2;26,1;6,1;2,4;
2011-10-31;null;130,2;1000,6;26,3;6,9;2,4;
2011-11-30;null;1,6;1000,5;26,7;5,7;2,5;
2011-12-31;null;23,2;1000,6;27;6,6;2,8;
2012-01-31;null;102;1001,2;26,3;6,8;2,4;
2012-02-29;null;338;1001,2;25;6,9;1,9;
2012-03-31;null;256,8;1002;24,9;6,5;1,8;
2012-04-30;null;224,4;1001,6;25,4;6,6;1,8;
2012-05-31;null;191,2;1002,6;25,4;7,6;1,9;
2012-06-30;null;152,2;1003,9;25,2;6,7;1,9;
2012-07-31;null;156,6;1003,4;25,3;5,7;2;
2012-08-31;null;62,2;1004,1;25,5;6;2,3;
2012-09-30;null;36,6;1003,9;26;5,9;2,5;
2012-10-31;null;16,2;1001,4;26,5;6,2;2,7;
2012-11-30;null;38,6;1000,7;27,1;6,7;2,6;
2012-12-31;null;101,2;1000,5;26,8;9,1;2,4;
2013-01-31;null;118,8;1001,8;26,1;6,4;2,1;
2013-02-28;null;270,4;1000,9;25,7;7,2;2;
2013-03-31;null;431,6;1001,7;25,6;7;1,8;
2013-04-30;null;496,6;1002,3;25,5;6,3;1,6;
2013-05-31;null;284;1002,7;25,5;5,6;1,6;
2013-06-30;null;139;1003,3;25,7;8;1,8;
2013-07-31;null;255,4;1004,2;25,2;6,5;1,8;
2013-08-31;null;182,6;1002,9;25,8;6;2,1;
2013-09-30;null;110,2;1002,7;25,9;6,1;2,4;
2013-10-31;null;33;1002;26,3;6;2,5;
2013-11-30;null;120,2;1000,4;26,1;7,1;2,3;
2013-12-31;null;54;1001;26,6;6,3;2,4;
2014-01-31;null;null;null;null;5,2;null;
2014-02-28;null;null;null;null;6;null;
2014-03-31;null;386,2;1002,1;25,2;7;1,8;
2014-04-30;null;116,8;1002,5;25,2;7,6;1,6;
2014-05-31;null;null;1002,6;25,5;6,2;1,6;
2014-06-30;null;null;1003,2;25,7;8,4;1,8;
2014-07-31;null;null;1005,1;25,4;6;1,9;
2014-08-31;null;13,6;1004,1;25,6;5,7;2,1;
2014-09-30;null;40,2;1003,3;25,9;5,8;2,3;
2014-10-31;null;46,2;1002,1;26,5;8,1;2,4;
2014-11-30;null;20,6;1001,2;27;6,1;2,5;
2014-12-31;null;78,2;1001,6;26,8;6,3;2,5;
2015-01-31;null;180,2;1002,6;26;5,2;2;
2015-02-28;null;20;1002,4;25,6;6,2;1,8;
2015-03-31;null;null;1002,3;25,2;6,2;1,7;
2015-04-30;null;122,6;1002,6;25,2;5,8;1,6;
2015-05-31;null;null;1002,9;25,8;6,2;1,7;
2015-06-30;null;265,6;1004,3;25,5;6,4;1,8;
2015-07-31;null;64;1004,1;25,5;7,1;2;
2015-08-31;null;1;1003,5;26,1;5,5;2,2;
2015-09-30;null;4,4;1003;26,7;6,3;2,6;
2015-10-31;null;16,6;1002,5;27,3;6;2,7;
2015-11-30;null;,8;1001,1;27,7;5,9;2,7;
2015-12-31;null;35;1002,2;27,8;8,1;2,7;
2016-01-31;null;null;null;null;4,5;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;302,8;1002,9;26;6,4;1,7;
2016-04-30;null;176,6;1001,8;26,5;5,8;1,7;
2016-05-31;null;129,8;1003,5;26,4;5,4;1,7;
2016-06-30;null;null;1004,7;25,8;6,7;1,8;
2016-07-31;null;null;1004,1;25,7;6,8;1,8;
2016-08-31;null;4,8;1003,8;26,3;5,4;2,2;
2016-09-30;null;60;1003,4;26,6;7,7;2,3;
