Nome: AQUIDAUANA
Codigo Estacao: A719
Latitude: -20.47555554
Longitude: -55.78388888
Altitude: 151.35
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;309,8;991,6;27,1;6,1;1,5;
2010-02-28;15;83,2;992;28;7,3;1,5;
2010-03-31;10;117;992,3;27,5;7,8;1,3;
2010-04-30;5;21,4;995,4;25,1;5;1,4;
2010-05-31;12;120;997,2;20,2;4,1;1,1;
2010-06-30;3;4,8;998,1;21,8;5,7;1,3;
2010-07-31;2;null;997;21,5;6,5;1,4;
2010-08-31;null;0;997,3;22,3;6,8;1,3;
2010-09-30;8;58,8;993,4;25,9;6,6;1,9;
2010-10-31;7;119,4;992,9;25,4;8,3;1,5;
2010-11-30;8;203,6;991,3;25,2;6,4;1,5;
2010-12-31;8;95;989,1;27,8;8,2;1,6;
2011-01-31;20;351,4;990,6;26,7;6,7;1,2;
2011-02-28;17;null;992;26,4;6,6;1,1;
2011-03-31;16;null;991,2;25,7;4,7;1,3;
2011-04-30;5;null;994,3;25,2;4,5;,8;
2011-05-31;10;4,6;997,4;21,6;5,1;,8;
2011-06-30;7;null;997,2;20,6;5;1,1;
2011-07-31;7;23,6;996,7;21,6;5,4;1,3;
2011-08-31;3;19,2;996,3;23;6,6;1,4;
2011-09-30;5;67,6;995,8;25,8;6,4;1,6;
2011-10-31;13;160,8;991,8;26,7;8,2;1,6;
2011-11-30;6;82,2;991,5;27,1;6,7;1,5;
2011-12-31;11;79,8;991,1;27,6;7,3;1,4;
2012-01-31;14;null;991,3;27,3;7;1,1;
2012-02-29;8;null;null;27;6,9;null;
2012-03-31;14;145,8;994,2;25,9;6,3;,7;
2012-04-30;9;104,8;994,1;25,3;5;,8;
2012-05-31;11;35;996,8;22,5;5,3;,8;
