Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2017-07-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;0;889,7;22,9;8,2;2,9;
2017-09-30;1;null;890,1;22,6;7,5;3,6;
2017-10-31;3;28,4;887,2;25,2;8,2;3,1;
2017-11-30;19;299,4;886,2;21,7;7,1;2,3;
2017-12-31;21;294,6;886,5;21,4;8,3;2,1;
2018-01-31;19;167,2;887,2;21,8;7,9;2,1;
2018-02-28;20;139;886,7;21,5;7;2,2;
2018-03-31;20;323,8;887,3;21,8;6;1,9;
2018-04-30;14;107,2;889;20,8;5,8;2,1;
2018-05-31;1;58,4;890,1;20,4;6,5;2,5;
2018-06-30;null;0;891,1;20,4;5,8;2,4;
2018-07-31;0;0;891;20,4;6,2;2,5;
2018-08-31;5;11,4;890,4;22,5;8,1;2,5;
2018-09-30;7;44,6;887,8;23,9;7,1;2,5;
2018-10-31;17;196,4;887,1;23,3;6,2;2;
2018-11-30;23;513,8;886,8;21;7,4;2,2;
2018-12-31;16;161,2;887,9;21,6;8,4;2,4;
2019-01-31;9;null;null;22,5;7,8;null;
2019-02-28;21;131,8;887,8;22,3;7,6;1,9;
2019-03-31;21;333,2;888,4;21,7;5,7;1,6;
2019-04-30;13;247;888,5;21,8;6,8;1,5;
2019-05-31;7;128,2;889;22;5,5;2;
2019-06-30;1;1;891,5;20,2;6,8;2,6;
2019-07-31;0;0;891,1;20,1;7,3;2,7;
2019-08-31;null;0;891,6;22,1;8,8;2,8;
2019-09-30;1;1;889;25,1;7,7;2,6;
2019-10-31;12;73,6;887,3;24,5;6,3;2,2;
2019-11-30;17;176,2;886,3;22,9;7;2,1;
2019-12-31;9;null;887;22,9;7,9;2,2;
2020-01-31;20;474,6;887;22;9,2;2,6;
2020-02-29;22;386,2;888;21,6;6,8;1,9;
2020-03-31;22;543,2;887,8;21,4;6,4;2;
2020-04-30;16;267;889,2;21,5;8,3;1,9;
2020-05-31;2;12;890,2;20,1;5,1;2,1;
2020-06-30;0;0;890,9;20,1;6,2;2,4;
2020-07-31;0;0;890,7;20;8,3;2,5;
2020-08-31;0;0;890,2;21,1;6,4;2,7;
2020-09-30;2;23,8;889,3;24,1;7;2,6;
2020-10-31;10;100;887;24,5;6,6;2,4;
2020-11-30;19;201;887,1;21,8;9,7;2,2;
2020-12-31;13;173,4;886,9;22,6;7,4;1,9;
2021-01-31;15;144;887,1;22,3;5,6;1,8;
2021-02-28;21;null;886,5;20,8;6,6;1,8;
2021-03-31;15;113;887,7;21,9;6,8;1,8;
2021-04-30;9;175,6;888,1;21,2;5,8;1,7;
2021-05-31;0;0;889,9;21;5,9;1,7;
2021-06-30;2;16,4;890,3;20,4;6,7;2,2;
2021-07-31;0;0;891,5;19,8;6;2,4;
2021-08-31;1;20;890,5;21,7;6,6;2,8;
2021-09-30;4;12,4;888,6;25,4;7,3;2,3;
2021-10-31;17;169;887,3;23,3;7,7;2,3;
2021-11-30;23;346;886,3;21,3;9,2;2;
2021-12-31;25;440,8;885,4;21,1;5,6;1,8;
2022-01-31;15;252;887;21,3;7,3;2,2;
2022-02-28;22;null;887,3;21,3;6,8;1,5;
2022-03-31;12;78,2;887,5;22,3;7,1;1,7;
2022-04-30;4;3,4;888;22,8;5,8;1,9;
2022-05-31;2;11,4;889,7;20,5;6,4;2,1;
2022-06-30;0;0;889,7;20,7;5,4;1,9;
2022-07-31;0;0;890,7;20,3;6,4;2,2;
2022-08-31;0;0;890;22;8,8;2,5;
2022-09-30;5;50,6;888,6;23,5;7,3;2,3;
2022-10-31;9;46,8;887,5;23,8;8,4;2,5;
2022-11-30;20;267,6;886,4;21;10,7;2;
2022-12-31;24;536;886,1;20,6;7,3;1,8;
2023-01-31;20;159;887,6;20,9;7,2;1,6;
2023-02-28;9;12,6;887,9;22,6;7;1,8;
2023-03-31;19;260,4;888,3;21,6;7,3;1,9;
2023-04-30;12;126,6;887,9;21,5;6,6;2;
2023-05-31;2;7,2;889,7;21,3;6,7;2,4;
2023-06-30;0;0;891,2;20,5;6,4;2,8;
2023-07-31;0;0;891,4;20,9;6,9;2,8;
2023-08-31;5;71,8;889,8;22,6;7,6;2,7;
2023-09-30;5;88,8;888,8;24,6;10,6;2,5;
2023-10-31;11;87;887,3;24,9;7,2;1,9;
2023-11-30;14;143;887;24,3;6,1;1,8;
2023-12-31;15;305;887,2;23,4;6,7;1,6;
2024-01-31;10;null;887,4;22,1;8,1;1,5;
2024-02-29;8;null;888,5;22,6;6,4;1,7;
2024-03-31;13;null;888,2;22,7;7,2;1,4;
2024-04-30;9;66,4;888,4;22,9;6,5;2,1;
2024-05-31;0;0;889,8;22,1;6,4;2,5;
2024-06-30;0;0;891;20,5;7,5;2,7;
2024-07-31;null;null;null;null;6,6;null;

