Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;250;949,1;23,7;7,9;1,8;
2010-02-28;15;119,4;949,2;24,8;11,1;2;
2010-03-31;12;162,4;948,3;23,8;9,8;2,1;
2010-04-30;9;83,8;951,6;21,6;8;2,1;
2010-05-31;11;27,2;951,6;18,7;6,3;1,9;
2010-06-30;10;19,2;954,9;17;7,2;1,9;
2010-07-31;8;63,6;954,9;18,9;6,8;1,9;
2010-08-31;0;0;954,4;18,6;7,5;2;
2010-09-30;8;109,6;951,3;21,5;7,1;2,4;
2010-10-31;12;92,2;949,2;21;9,1;2,6;
2010-11-30;11;34,4;946,7;22,9;8,3;2,4;
2010-12-31;12;null;945,4;24;7,9;2,4;
2011-01-31;14;null;946,4;24;6,5;1,8;
2011-02-28;4;null;948,6;null;7,6;1,7;
2011-03-31;null;null;null;null;6,9;null;
2011-04-30;1;null;950,9;null;5,9;1,5;
2011-05-31;3;null;952,9;null;6;1,3;
2011-06-30;10;null;953,1;15,4;12,5;1,8;
2011-07-31;5;3,4;953,2;18,6;6;1,6;
2011-08-31;4;null;null;null;7,1;null;
2011-09-30;2;null;952,8;20,4;8,6;2,2;
2011-10-31;15;211;948,9;22,1;12,8;2,5;
2011-11-30;8;153,8;948,7;21,8;8,1;2,5;
2011-12-31;14;162,2;947;23,3;7,1;2,1;
2012-01-31;24;251,4;948,6;22,1;8,1;2;
2012-02-29;11;151;948,9;24,9;6,6;1,5;
2012-03-31;9;66,2;949,9;23,6;8,1;1,7;
2012-04-30;10;167,8;949,9;22,4;7,4;1,7;
2012-05-31;15;72,2;953,5;18,6;6,8;1,6;
2012-06-30;20;174,8;953,3;18,2;8,3;1,2;
2012-07-31;12;27;953,8;17,6;6,2;1,5;
2012-08-31;1;,2;956,4;19,5;5,9;1,6;
2012-09-30;5;44;952,7;21,7;9,1;2;
2012-10-31;10;76,6;949,1;24,3;8,4;1,9;
2012-11-30;10;109,6;947,6;23,1;11,2;2,3;
2012-12-31;18;195,6;947,6;25,3;7,3;1,6;
2013-01-31;19;257,2;948,8;22,7;7,4;2,1;
2013-02-28;23;128,4;949,2;23,7;7,5;1,5;
2013-03-31;13;150,8;949,8;23,3;7,9;1,8;
2013-04-30;10;184,4;951,5;20,9;7,1;1,5;
2013-05-31;10;89,2;952,2;19,3;6,1;1,3;
2013-06-30;23;133;953,1;18,2;5,8;,9;
2013-07-31;21;55,8;955;16,8;11;1,4;
2013-08-31;2;2,6;953,5;18,3;8,5;1,9;
2013-09-30;7;30,4;952,1;20,8;7,5;1,9;
2013-10-31;13;167,4;950,6;21,8;8,9;2,2;
2013-11-30;11;124,4;948,6;23,2;8,3;2,3;
2013-12-31;10;127,2;946,4;24,7;13;2,3;
2014-01-31;13;86,6;949,9;25,7;8,2;1,7;
2014-02-28;13;53,6;949,1;26,2;7,8;1,9;
2014-03-31;10;127;950;23,9;7,2;1,8;
2014-04-30;10;28,6;951,3;22,1;6,7;1,9;
2014-05-31;6;39,4;952,3;19,2;7,5;1,5;
2014-06-30;5;2,4;953,5;18,9;6,8;1,7;
2014-07-31;8;null;955,6;18,2;7,3;1,8;
2014-08-31;1;null;null;null;9,4;null;
2014-09-30;null;null;null;null;7,9;null;
2014-10-31;5;21,8;951;24;10,6;2,5;
2014-11-30;12;167,4;948,6;23,3;7,7;2,3;
2014-12-31;17;279,8;948,9;24;8,9;2;
2015-01-31;14;116;950;26;9,9;1,8;
2015-02-28;19;247;949,2;23,7;7,6;1,6;
2015-03-31;21;139,4;949,8;22,8;6,8;1,5;
2015-04-30;4;13;950,9;22,1;6,8;2;
2015-05-31;15;84,4;953,1;19,3;6,2;1,7;
2015-06-30;5;6,6;955,5;18,7;6,6;2;
2015-07-31;12;40;954,2;18,3;6,2;1,3;
2015-08-31;5;33,4;953,8;20,1;7,7;1,8;
2015-09-30;7;null;null;19,7;8,9;null;
2015-10-31;9;100,6;950,3;23,9;7,6;2,4;
2015-11-30;20;267,8;948;23,7;7,7;1,8;
2015-12-31;20;238,4;949,5;24,2;8,4;1,7;
2016-01-31;16;278,4;947,8;24,2;8,4;2,3;
2016-02-29;19;194,2;949,9;24,9;7,7;1,7;
2016-03-31;16;130,6;950,9;23,9;6,2;1,7;
2016-04-30;4;6;951;24;7,7;1,7;
2016-05-31;9;null;953,8;19;7,2;1,7;
2016-06-30;null;null;null;null;5,5;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;3;null;952;20,6;9,7;2,4;
2016-10-31;11;102,4;949,8;22,2;8,5;2,4;
2016-11-30;15;193,8;948,8;22,5;7,8;2,3;
2016-12-31;19;180,6;948,6;23,9;8,3;2;
2017-01-31;22;316,6;949,2;23,9;8,5;1,4;
2017-02-28;10;98;949;25,1;9,2;1,8;
2017-03-31;14;131;950,1;23,3;10,8;1,9;
2017-04-30;8;124;951,5;21,8;6,7;2;
2017-05-31;13;152,4;952,3;19,8;6,2;1,4;
2017-06-30;3;null;null;null;null;null;
2017-07-31;1;,2;958,7;17;6,5;2;
2017-08-31;3;23,8;953,5;19,3;7,2;2,1;
2017-09-30;2;null;null;null;7,8;null;
2017-10-31;14;77,4;949,7;23,2;7,3;2,1;
2017-11-30;15;226,6;947,9;22,6;9,4;2,3;
2017-12-31;22;59,2;947,6;24,2;8,9;1,9;
2018-01-31;26;177,4;948,9;23,6;6,9;1,6;
2018-02-28;9;69,6;948,7;23,5;8,5;2;
2018-03-31;12;164,6;948,4;24,7;8,1;,9;
2018-04-30;5;56,4;952,5;22,4;6,9;1;
2018-05-31;8;13;953,6;19,7;7,1;1,2;
2018-06-30;7;9,4;954,3;19,5;5,6;1,2;
2018-07-31;1;2,4;954,2;18,9;6,2;1,5;
2018-08-31;10;100,8;954,4;18,2;6,7;1,6;
2018-09-30;12;46,8;950,5;21,1;7,8;1,4;
2018-10-31;17;159,6;949,4;22,5;11,9;2;
2018-11-30;15;178;949,1;23;8,2;2,2;
2018-12-31;13;81,2;949;25;7,7;1,9;
2019-01-31;14;110,6;950,6;26;14;1,3;
2019-02-28;14;138,2;948,8;24;8,8;1,3;
2019-03-31;16;62,4;950,7;23,8;6,9;1,3;
2019-04-30;13;150,4;950,2;23;5,8;1,3;
2019-05-31;8;51,6;951,5;20,8;7;1;
2019-06-30;2;11;955,3;19;7,1;1,2;
2019-07-31;7;42,8;954,7;17,2;7;1,2;
2019-08-31;2;null;null;19,1;8,5;null;
2019-09-30;null;null;null;null;7,8;null;
2019-10-31;2;null;null;null;7,9;null;
2019-11-30;14;173,8;948,3;23,5;11;2,3;
2019-12-31;14;203,2;948,5;24;6,9;1,6;
2020-01-31;15;164,2;947,6;24,1;8,6;1,6;
2020-02-29;18;375,2;949,4;23,2;7,5;1,1;
2020-03-31;8;65,6;950,5;23,1;7,7;1,6;
2020-04-30;2;3;952;21,2;6,2;1,1;
2020-05-31;3;11,8;953,3;17,9;6,6;1,1;
2020-06-30;8;48;953,9;19,4;6,9;null;
2020-07-31;2;null;null;null;7,3;null;
2020-08-31;null;null;null;null;7;null;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
