Nome: TAUBATE
Codigo Estacao: A728
Latitude: -23.04166666
Longitude: -45.52083332
Altitude: 582.26
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;7;null;null;null;10;null;
2010-02-28;9;null;948;25,3;10,2;1,8;
2010-03-31;10;null;null;24,1;7,3;null;
2010-04-30;4;null;null;21,6;5,8;null;
2010-05-31;3;null;950,7;18,7;6,6;1,6;
2010-06-30;1;null;953,9;15,9;6;1,4;
2010-07-31;null;null;954,2;17,7;6,7;1,6;
2010-08-31;null;null;953,7;18,3;7;1,9;
2010-09-30;2;null;952;20,3;7,4;2,2;
2010-10-31;6;null;null;20,8;9,6;null;
2010-11-30;8;null;null;23,3;7,3;null;
2010-12-31;7;null;944,7;24,4;8,1;null;
2011-01-31;4;null;null;25,5;7;null;
2011-02-28;16;null;947,5;24,2;13,1;1,9;
2011-03-31;21;248,6;948,1;22,2;6,6;1,7;
2011-04-30;12;160,8;950,2;21,8;6,2;1,7;
2011-05-31;8;38,8;952,2;17,8;8,2;1,6;
2011-06-30;6;40;952,4;15,3;13,2;1,6;
2011-07-31;3;2,8;952,9;16,5;6,4;1,5;
2011-08-31;8;12,6;952;18,6;8,6;2,1;
2011-09-30;3;20;953,4;19;7,4;2,4;
2011-10-31;12;115,6;948,4;21,3;9,3;2,5;
2011-11-30;12;123,6;948,2;20,5;6,9;2,5;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;6;null;null;24,3;6;null;
2012-03-31;12;116,2;948,7;22,5;7,4;1,8;
2012-04-30;12;73,4;948,6;21,7;7,5;1,8;
2012-05-31;8;86,2;952,3;17,9;6,3;1,6;
2012-06-30;13;121,4;952;17,7;6,2;1,5;
2012-07-31;10;60,2;952,5;16,5;5,9;1,5;
2012-08-31;2;9,6;955,6;18,1;8,4;2,1;
2012-09-30;7;15,6;951,8;20,2;7,8;2,3;
2012-10-31;13;76;948,2;22,9;7,6;2,2;
2012-11-30;16;99,8;946,7;21,7;7,2;2,4;
2012-12-31;25;312,6;946,1;24,6;7,8;1,9;
2013-01-31;23;171;947,6;22,5;7,2;2;
2013-02-28;21;240,2;947,8;23,2;9,1;1,7;
2013-03-31;null;null;null;null;null;null;
2013-04-30;null;null;null;18,4;5,5;null;
2013-05-31;9;53,2;950,9;18,6;4,8;1,5;
2013-06-30;10;27,8;951,7;18,4;6;1,6;
2013-07-31;14;67,6;953,7;16,2;5,5;1,6;
2013-08-31;3;3,2;952,4;17,6;7,9;2;
2013-09-30;8;40;951,1;19,8;8;2,2;
2013-10-31;10;141,8;949,8;20,7;7,3;2,4;
2013-11-30;18;145,8;947,7;22;7,4;2;
2013-12-31;15;111,2;945,2;23,6;6,3;1,6;
2014-01-31;11;164,8;948,5;25;7,7;1,5;
2014-02-28;7;74,4;947,8;25,7;7,2;1,8;
2014-03-31;16;104,6;948,8;23,5;10,4;1,9;
2014-04-30;12;63,6;950,2;21,2;5,3;1,7;
2014-05-31;7;20;951,1;18,5;5,6;1,7;
2014-06-30;8;22,2;952,4;18;6,1;1,5;
2014-07-31;5;26;955,1;16,8;5,7;1,7;
2014-08-31;8;10,4;953,3;17,8;7,3;1,8;
2014-09-30;8;50,2;950,6;20,8;7,8;2,3;
2014-10-31;6;41,6;950,3;22,2;8,3;2,5;
2014-11-30;17;156,8;947,5;22,7;11,8;2,3;
2014-12-31;14;100;947,5;24;9,3;1,9;
2015-01-31;13;136,8;948,6;25,7;7,9;1,9;
2015-02-28;18;199,8;947,7;23,6;10;1,8;
2015-03-31;18;139,6;948,5;22,7;7,7;1,7;
2015-04-30;3;null;null;null;7;null;
2015-05-31;null;null;null;null;5,8;null;
2015-06-30;10;null;null;17,2;5,9;null;
2015-07-31;7;31;952,9;17,8;6,6;1,6;
2015-08-31;3;14,8;952,8;18,7;6,3;1,6;
2015-09-30;15;93,2;949,1;21,2;7,3;2;
2015-10-31;9;69,8;949,5;23,3;7,5;2,5;
2015-11-30;21;180,2;946,6;23,5;7,1;2,1;
2015-12-31;22;172,4;948;23,9;9,5;1,9;
2016-01-31;17;224,8;946,8;23,6;6,8;2;
2016-02-29;19;183,8;948,5;24,4;9;1,8;
2016-03-31;22;220,8;949,7;23,2;9,8;1,8;
2016-04-30;4;13;949,7;23,2;6,3;1,5;
2016-05-31;9;61,6;952,3;18,5;7,3;1,7;
2016-06-30;16;112;954,1;15,8;7,8;1,5;
2016-07-31;4;,8;953,2;17;6,4;1,7;
2016-08-31;6;41,8;951,9;18,2;8,9;1,9;
2016-09-30;8;15,6;951,3;20,1;6,8;2,3;
2016-10-31;14;110;948,8;21,8;7,3;2,5;
2016-11-30;14;183,8;947,7;21,8;7,8;2,3;
2016-12-31;17;120,8;947,2;23,5;10,8;2,2;
2017-01-31;27;349,4;947,8;23,5;8,2;1,7;
2017-02-28;4;null;null;null;7,6;null;
2017-03-31;9;null;949,3;21,7;6,9;2;
2017-04-30;10;53;950,5;21;6,2;1,9;
2017-05-31;11;82,6;951,2;18,9;6,9;1,7;
2017-06-30;13;24,6;953,5;17,3;6,2;1,5;
2017-07-31;4;1,4;957,9;15,8;7,2;1,8;
2017-08-31;8;52,4;952,7;17,5;6,7;2,1;
2017-09-30;1;33,6;952,8;20,8;7,1;2;
2017-10-31;10;148,8;948,4;22,6;13;2,5;
2017-11-30;5;null;null;null;6,9;null;
2017-12-31;8;null;null;null;null;null;
2018-01-31;24;361;947,4;23,2;10,7;1,9;
2018-02-28;12;53,8;947,4;23,1;7,9;1,9;
2018-03-31;17;208,2;947,1;24,2;8,5;1,8;
2018-04-30;6;39;951,3;21,5;6;1,7;
2018-05-31;5;10,8;952,5;18,9;6,9;1,8;
2018-06-30;7;14;953,2;18,2;6,2;1,5;
2018-07-31;5;10;953,2;17,3;5,5;1,3;
2018-08-31;12;62;953,2;17,9;6,8;1,9;
2018-09-30;9;60,6;949,5;20,1;8,8;2,2;
2018-10-31;20;186,8;948,5;21,3;9,9;2,2;
2018-11-30;18;174,6;948,4;22;8,8;2,4;
2018-12-31;17;145,6;947,8;23,6;10,5;2;
2019-01-31;19;231,6;949,2;25;9;1,8;
2019-02-28;19;235,4;947,4;23,5;8,4;1,8;
2019-03-31;22;202,6;949,4;23,2;6,4;1,8;
2019-04-30;12;69,6;948,9;22,6;6,5;1,7;
2019-05-31;13;87,2;950,1;20,6;6,6;1,5;
2019-06-30;9;24;954,1;18,1;5,9;1,3;
2019-07-31;12;62,4;953,6;15,9;6,2;1,5;
2019-08-31;6;23,8;955,3;17,6;6,7;1,9;
2019-09-30;10;42,8;951,3;20,7;8,3;2,2;
2019-10-31;11;34,4;948,9;22,9;6,8;2,2;
2019-11-30;15;89,2;947,4;22,8;6,9;2,6;
2019-12-31;14;173;947,3;23,4;7;2,3;
2020-01-31;20;269,8;946,3;23,6;8;1,9;
2020-02-29;22;333,8;948,1;22,8;6,3;1,8;
2020-03-31;15;110,6;949,6;22,2;6,5;1,9;
2020-04-30;2;4,6;950,9;20,7;5,6;1,8;
2020-05-31;6;9,2;951,8;17,4;6,7;1,6;
2020-06-30;10;34,6;952,7;18,4;6,2;1,5;
2020-07-31;6;5,4;952,7;17,8;7,1;1,7;
2020-08-31;7;47;953,5;17,9;8,2;1,8;
2020-09-30;5;32,4;950,9;22,5;7,3;2;
2020-10-31;9;48,4;948,2;22,8;8,5;2,3;
2020-11-30;14;192,4;948,4;21,7;7,1;2,2;
2020-12-31;24;351,6;947,2;23,1;8,9;1,9;
2021-01-31;17;178,8;947,2;24,7;8,2;1,9;
2021-02-28;18;null;946,3;22,9;7;1,7;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;5,7;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;8,7;null;
2022-01-31;null;null;null;null;7,4;null;
2022-02-28;3;null;null;null;6;null;
2022-03-31;17;115,8;948,1;24,3;7,1;1,8;
2022-04-30;8;84,4;949,6;21,6;9,8;1,8;
2022-05-31;10;34,6;951,1;17,6;7,8;1,7;
2022-06-30;6;7,8;951,8;16,7;5,6;1,5;
2022-07-31;1;3,4;952,8;17,5;8,7;1,3;
2022-08-31;4;22,2;953,1;17,6;7,9;2,1;
2022-09-30;10;164,2;951,3;18;7,6;2,2;
2022-10-31;16;126,8;948,7;21,9;9,5;2,1;
2022-11-30;18;135,2;948,6;20,3;8,9;2,1;
2022-12-31;23;280;946,2;22,1;8,9;2;
2023-01-31;21;215,6;947,1;22,9;9,1;1,7;
2023-02-28;24;369;947,9;23,6;7,8;1,8;
2023-03-31;19;140,4;949,3;23,2;9;1,8;
2023-04-30;16;94,2;949,2;20,7;5,6;1,7;
2023-05-31;6;27,4;952,1;18,6;6,2;1,5;
2023-06-30;6;24,4;953,8;16,5;4,7;1,2;
2023-07-31;2;,8;953,8;17,5;6,3;1,7;
2023-08-31;4;24,6;951,3;19,4;7,7;1,8;
2023-09-30;7;47,2;949,7;22,8;6,6;2,1;
2023-10-31;18;276,2;947,7;22,8;8,2;2,3;
2023-11-30;16;138,2;947,1;24,1;7,9;2,1;
