Nome: CHAPADAO DO SUL
Codigo Estacao: A730
Latitude: -18.80222222
Longitude: -52.6025
Altitude: 820.82
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;7,6;null;
2010-02-28;null;null;null;null;8,4;null;
2010-03-31;4;null;920,9;24,3;8,3;2,1;
2010-04-30;1;null;923,1;23,4;6,5;2,3;
2010-05-31;4;16,8;923,7;19,6;6,7;1,9;
2010-06-30;1;,8;925,8;20,9;5,8;2,3;
2010-07-31;3;1,4;925,3;21,4;9,5;2,5;
2010-08-31;2;3,4;925;22,5;7,3;2,8;
2010-09-30;4;5,4;921,9;25;9,6;3,2;
2010-10-31;2;null;null;null;10,5;null;
2010-11-30;null;null;null;null;8,5;null;
2010-12-31;null;null;null;null;7,5;null;
2011-01-31;1;null;null;null;7,9;null;
2011-02-28;null;null;null;null;7,7;null;
2011-03-31;null;null;null;null;7,6;null;
2011-04-30;7;65,8;922,5;23;6,4;2,3;
2011-05-31;4;28,8;924,2;20,4;7,3;2,3;
2011-06-30;4;23,8;924,4;19,5;11,4;2,3;
2011-07-31;0;0;924,3;21,3;9,4;2,5;
2011-08-31;4;6,6;923,9;22,6;8,9;2,9;
2011-09-30;2;11;923,8;24,7;8,9;3;
2011-10-31;16;161;920,4;23,1;9,9;2,9;
2011-11-30;12;91;920,1;23,2;9,1;2,5;
2011-12-31;13;137,2;919,7;23,6;6,9;2,1;
2012-01-31;22;370,8;920,4;22,3;9;2,2;
2012-02-29;17;286,6;921,3;23,5;8,4;1,6;
2012-03-31;20;217,6;922,3;22,6;7,3;1,5;
2012-04-30;16;194,6;922,2;22,7;10;1,8;
2012-05-31;12;157,4;924,4;19,9;8,1;2,1;
2012-06-30;7;81,6;924,9;20,1;9,9;2,4;
2012-07-31;2;5,8;925,3;19,8;6,7;2,1;
2012-08-31;null;0;926,1;22,4;8,9;3,1;
2012-09-30;6;50,4;923,8;24,6;11,7;3;
2012-10-31;11;41,8;920,9;25;9,6;2,5;
2012-11-30;10;125,6;919,4;23,8;7,1;2,2;
2012-12-31;10;103;920,3;24,1;8,5;2,3;
2013-01-31;14;166;920,4;23,2;7,8;2,2;
2013-02-28;7;47;921,4;22,9;8;2,2;
2013-03-31;2;27,4;921,6;23,5;6,6;2,4;
2013-04-30;2;24;923,3;21,7;8;2,3;
2013-05-31;1;null;923,9;21,7;9,4;2,1;
2013-06-30;4;81,6;924,6;21,2;7,4;2,1;
2013-07-31;2;2,6;926;19,4;8,1;2,7;
2013-08-31;1;,2;924,8;20,8;7,4;2,5;
2013-09-30;4;5;923,3;23,3;9;2,7;
2013-10-31;15;106,6;922;23,2;9,2;2,1;
2013-11-30;16;106;920,1;23,5;7,1;1,6;
2013-12-31;18;115,4;919,1;23,8;8,2;1,3;
2014-01-31;18;170,4;922,4;23,1;7;1,2;
2014-02-28;14;147,2;921,1;23,5;6,7;1,2;
2014-03-31;17;319;921,9;23;7;,8;
2014-04-30;7;37,6;922,9;23;5,7;,7;
2014-05-31;4;1,6;923,9;20,4;7,6;,9;
2014-06-30;1;14;925;20,6;6,6;1,2;
2014-07-31;5;117,6;926,7;20;7,4;1,5;
2014-08-31;0;0;925,3;23;7,1;1,1;
2014-09-30;7;59,6;922,8;24;8,8;1,1;
2014-10-31;7;13,2;922,3;25,1;11,1;1,2;
2014-11-30;7;42,8;920,7;22,7;7,9;,6;
2014-12-31;11;105;920,8;23;9,9;,8;
2015-01-31;15;97,8;922,7;24,6;7,6;,4;
2015-02-28;23;195,4;921,6;23,3;7,5;,8;
2015-03-31;26;292,8;921,9;22,7;6,4;,4;
2015-04-30;16;226,4;922,8;23;8;,5;
2015-05-31;8;93,8;924,4;20,7;8,1;2,1;
2015-06-30;4;9,8;926,3;20,4;7,5;2,4;
2015-07-31;5;20,8;925,4;21;9;2,3;
2015-08-31;2;11;924,6;23,3;7,8;2,6;
2015-09-30;9;73,4;922,2;24,8;13,7;2,6;
2015-10-31;14;99,8;921,9;25,4;8,8;2,6;
2015-11-30;22;295,2;920,6;23,8;8,9;2,5;
2015-12-31;26;300,8;922,3;23,7;8,8;2,3;
2016-01-31;23;249,2;919,8;23,5;8,7;2,6;
2016-02-29;8;168,8;922,5;24,3;7,3;1,9;
2016-03-31;5;28;923,2;24;7;2,3;
2016-04-30;2;85;923,1;24,4;5,7;2;
2016-05-31;4;29,4;925,3;20,8;5,9;2,4;
2016-06-30;2;null;926,4;19,1;6,8;2,2;
2016-07-31;null;null;null;null;null;null;
2016-08-31;2;null;null;null;null;null;
2016-09-30;1;12,8;924,2;22,4;7;2,6;
2016-10-31;5;17,6;921,7;23,1;7,6;2,4;
2016-11-30;12;58;920,7;22,8;9,9;2,4;
2016-12-31;18;54,4;921;23,4;7,1;2,6;
2017-01-31;7;null;null;22;6,8;null;
2017-02-28;7;83,6;921,3;23,6;7,2;2,3;
2017-03-31;10;null;921,6;23,5;7,7;2;
2017-04-30;null;null;923;22,6;7,7;2,2;
2017-05-31;null;null;923,7;22,7;8,3;2,2;
2017-06-30;null;null;925,2;20,2;7,2;2,4;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;2;null;null;null;null;null;
2017-10-31;7;63,2;921,3;24,2;9,9;2,8;
2017-11-30;8;134;919,8;23,2;7,6;2,5;
2017-12-31;12;289,2;920,1;23;9,1;2,2;
2018-01-31;6;49;921,1;23,2;10;1,9;
2018-02-28;7;97;920,7;23,1;7,3;1,9;
2018-03-31;2;null;921,3;24,1;8,3;1,4;
2018-04-30;null;null;923,9;22,9;7,3;2;
2018-05-31;null;null;925;21,1;6;1,4;
2018-06-30;null;0;926;20,5;7;1,4;
2018-07-31;null;0;925,9;21,3;5,9;1,7;
2018-08-31;null;null;null;null;7,1;null;
2018-09-30;null;null;null;null;8,7;null;
2018-10-31;8;null;921,2;23,8;10,6;2;
2018-11-30;22;318;920,2;23,2;6,8;2,1;
2018-12-31;14;135,4;921,7;24;6,7;1,6;
2019-01-31;18;205,4;923,2;24,1;6,7;1,7;
2019-02-28;18;null;921,2;23,7;6,4;2,1;
2019-03-31;16;276;922,8;23,5;9,9;2,2;
2019-04-30;18;210;922,7;23,4;5,4;1,8;
2019-05-31;8;27,6;923,8;21,6;5,1;1,9;
2019-06-30;3;4,2;926,2;21;8,5;2,2;
2019-07-31;2;,6;925,7;20,4;7,3;2,3;
2019-08-31;4;21,6;926,4;22,3;6,7;2,9;
2019-09-30;7;67,4;922,8;26,1;9,7;2,8;
2019-10-31;18;160,4;921,6;24,6;10,1;2,4;
2019-11-30;17;259,6;920,3;23,9;7,5;2,3;
2019-12-31;20;192,8;920,9;23,9;7,9;2,1;
2020-01-31;19;76,2;920,5;24,4;6,4;2;
2020-02-29;null;null;null;23,4;6,5;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;5,8;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;6;null;
2022-04-30;null;null;null;null;7,3;null;
2022-05-31;null;null;null;null;6;null;
2022-06-30;null;null;null;null;6,3;null;
2022-07-31;null;null;null;null;6,2;null;
2022-08-31;2;null;null;21;9,3;null;
2022-09-30;8;68;922,3;23,2;8,4;2,6;
2022-10-31;10;null;921,2;23,5;8,2;2,6;
2022-11-30;9;null;920,4;22;6,7;2,4;
2022-12-31;17;null;919;23,3;5,9;2,1;
2023-01-31;28;401;920,4;22,7;7,4;2,2;
2023-02-28;14;106;921,7;22,9;9,3;1,8;
2023-03-31;11;140,2;922;23,5;7;1,9;
2023-04-30;17;261,2;921,9;22,6;7,3;1,6;
2023-05-31;2;41,8;924,3;21,4;5,1;1,6;
2023-06-30;6;35,4;925,9;19,2;4,6;1,5;
2023-07-31;1;12,4;925,6;21,4;6;2,1;
2023-08-31;4;39,4;923,4;23,6;8,7;2,3;
2023-09-30;11;84,6;922;25,4;8,2;2,3;
2023-10-31;11;null;920,2;26,5;11,2;2,8;
2023-11-30;8;null;920,1;26,3;8;2,7;
2023-12-31;12;null;920,5;25,5;6,9;1,7;
2024-01-31;15;null;920,7;24,5;7,2;1,8;
2024-02-29;13;null;922;24,4;7,3;1,9;
2024-03-31;23;292,4;921,8;24,3;6;1,6;
2024-04-30;14;220;922,1;24,3;5;1,6;
2024-05-31;4;2,6;924;22,3;5,7;1,7;
2024-06-30;0;0;924,7;22,9;6;1,9;
2024-07-31;null;null;null;null;5,4;null;

